Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,26,"2,743,350","105,513","81,000",336,8.3
Feb 2011,28,"3,356,000","119,857","107,500",332,8.1
Mar 2011,39,"5,389,800","138,200","130,000",332,8.3
Apr 2011,38,"4,971,840","130,838","92,500",357,9.1
May 2011,50,"5,663,425","113,268","94,500",360,9.2
Jun 2011,56,"6,888,655","123,012","100,000",368,9.4
Jul 2011,43,"6,259,397","145,567","120,000",353,8.9
Aug 2011,60,"8,017,097","133,618","113,500",339,8.2
Sep 2011,60,"7,437,250","123,954","109,000",349,8.1
Oct 2011,37,"4,643,544","125,501","90,000",339,7.9
Nov 2011,37,"4,634,082","125,245","115,000",338,7.9
Dec 2011,29,"3,763,100","129,762","117,500",313,7.5
Jan 2012,26,"3,584,800","137,877","118,500",325,7.8
Feb 2012,33,"4,441,032","134,577","104,500",354,8.4
Mar 2012,51,"7,495,755","146,976","115,000",353,8.1
Apr 2012,40,"5,542,976","138,574","119,500",357,8.2
May 2012,51,"7,187,050","140,923","125,000",357,8.2
Jun 2012,54,"7,774,205","143,967","128,500",374,8.6
Jul 2012,46,"5,904,600","128,361","125,500",388,8.9
Aug 2012,53,"7,975,479","150,481","142,500",382,8.9
Sep 2012,56,"7,500,850","133,944","125,875",389,9.1
Oct 2012,37,"4,699,949","127,026","107,500",357,8.4
Nov 2012,32,"4,271,779","133,493","135,000",354,8.4
Dec 2012,41,"5,666,090","138,197","120,000",347,8.0
Jan 2013,33,"4,424,325","134,070","105,000",341,7.8
Feb 2013,30,"3,902,900","130,097","105,000",357,8.2
Mar 2013,43,"6,860,400","159,544","154,500",356,8.3
Apr 2013,65,"10,294,801","158,382","142,000",344,7.6
May 2013,55,"7,979,923","145,090","95,000",356,7.8
Jun 2013,51,"6,271,785","122,976","116,000",379,8.4
Jul 2013,52,"9,141,934","175,806","160,000",375,8.2
Aug 2013,52,"7,435,749","142,995","107,100",392,8.6
Sep 2013,44,"5,590,900","127,066","108,000",378,8.5
Oct 2013,43,"6,840,000","159,070","145,000",389,8.6
Nov 2013,44,"5,644,475","128,284","107,500",382,8.3
Dec 2013,45,"7,351,959","163,377","120,000",352,7.6
Jan 2014,35,"4,268,302","121,951","116,000",361,7.7
Feb 2014,33,"3,663,300","111,009","84,000",381,8.1
Mar 2014,46,"7,245,650","157,514","137,750",395,8.4
Apr 2014,55,"7,633,321","138,788","116,900",415,9.0
May 2014,56,"7,701,400","137,525","121,375",433,9.3
Jun 2014,62,"10,473,368","168,925","151,250",433,9.2
Jul 2014,54,"8,664,824","160,460","139,000",431,9.1
Aug 2014,50,"8,569,550","171,391","155,750",430,9.1
Sep 2014,65,"8,868,160","136,433","129,900",424,8.7
Oct 2014,62,"10,190,050","164,356","155,950",395,7.8
Nov 2014,50,"7,156,020","143,120","125,000",394,7.7
Dec 2014,54,"8,415,800","155,848","150,250",351,6.8
Jan 2015,33,"5,204,850","157,723","125,000",353,6.8
Feb 2015,45,"5,385,148","119,670","105,000",336,6.4
Mar 2015,45,"7,463,585","165,857","155,000",344,6.5
Apr 2015,57,"9,669,268","169,636","154,872",341,6.5
May 2015,49,"7,180,336","146,537","137,000",332,6.4
Jun 2015,64,"10,531,345","164,552","152,500",344,6.6
Jul 2015,76,"13,569,864","178,551","141,000",342,6.3
Aug 2015,57,"8,340,641","146,327","140,000",344,6.3
Sep 2015,54,"8,799,914","162,961","159,500",354,6.6
Oct 2015,41,"5,381,663","131,260","107,928",364,7.0
Nov 2015,34,"4,377,000","128,735","134,750",365,7.2
Dec 2015,44,"7,273,333","165,303","117,750",354,7.1
Jan 2016,35,"4,645,505","132,729","130,000",361,7.2
Feb 2016,44,"6,116,315","139,007","120,925",349,7.0
Mar 2016,71,"9,887,280","139,257","118,000",335,6.4
Apr 2016,63,"10,764,750","170,869","145,650",326,6.2
May 2016,58,"10,173,900","175,412","158,000",352,6.6
Jun 2016,64,"11,951,995","186,750","184,000",343,6.4
Jul 2016,60,"10,075,114","167,919","154,500",351,6.7
Aug 2016,57,"9,201,540","161,431","120,000",354,6.8
Sep 2016,54,"8,124,398","150,452","139,875",346,6.6
Oct 2016,51,"7,521,350","147,477","133,000",339,6.4
Nov 2016,56,"8,014,427","143,115","149,000",333,6.1
Dec 2016,44,"6,887,877","156,543","143,000",307,5.6
Jan 2017,40,"7,132,225","178,306","175,000",297,5.4
Feb 2017,52,"9,120,454","175,393","133,250",294,5.3
Mar 2017,70,"11,245,100","160,644","157,500",312,5.6
Apr 2017,54,"8,954,360","165,821","143,450",314,5.7
May 2017,55,"8,560,510","155,646","150,000",326,6.0
Jun 2017,79,"15,239,850","192,909","157,500",317,5.7
Jul 2017,58,"8,723,976","150,413","136,000",300,5.4
Aug 2017,73,"11,177,101","153,111","147,500",304,5.3
Sep 2017,69,"11,288,210","163,597","145,000",318,5.5
Oct 2017,50,"7,561,245","151,225","129,000",335,5.7
Nov 2017,57,"9,753,813","171,120","164,000",318,5.4
Dec 2017,49,"8,210,121","167,553","149,921",291,4.9
Jan 2018,32,"5,188,162","162,130","152,406",307,5.3
Feb 2018,41,"6,826,225","166,493","145,000",300,5.2
Mar 2018,39,"7,159,100","183,567","155,000",293,5.4
Apr 2018,87,"14,904,334","171,314","139,000",270,4.7
May 2018,80,"13,715,231","171,440","146,450",298,5.0
Jun 2018,62,"10,361,272","167,117","149,825",304,5.2
Jul 2018,68,"11,780,175","173,238","152,000",307,5.2
Aug 2018,72,"12,556,741","174,399","155,000",283,4.8
Sep 2018,62,"10,720,995","172,919","159,500",274,4.7
Oct 2018,78,"13,775,541","176,610","187,000",270,4.5
Nov 2018,45,"8,200,824","182,241","166,500",251,4.2
