Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,14,"1,079,600","77,114","71,700",344,33.6
Feb 2011,21,"2,286,934","108,902","74,000",371,31.6
Mar 2011,25,"3,013,550","120,542","92,000",369,27.3
Apr 2011,27,"3,203,350","118,643","119,500",362,23.2
May 2011,28,"2,414,161","86,220","71,250",381,22.6
Jun 2011,20,"1,563,605","78,180","73,950",415,23.1
Jul 2011,14,"1,398,148","99,868","76,000",440,24.1
Aug 2011,18,"2,389,823","132,768","73,250",428,22.5
Sep 2011,22,"2,639,550","119,980","108,500",437,22.3
Oct 2011,21,"1,991,877","94,851","89,900",416,21.0
Nov 2011,17,"1,742,772","102,516","100,000",406,19.9
Dec 2011,20,"3,315,780","165,789","100,500",383,18.6
Jan 2012,10,"916,954","91,695","67,850",359,17.7
Feb 2012,18,"2,100,776","116,710","117,700",345,17.2
Mar 2012,27,"4,842,523","179,353","110,000",346,17.2
Apr 2012,26,"3,217,400","123,746","112,000",343,17.1
May 2012,18,"2,252,183","125,121","89,450",364,18.9
Jun 2012,31,"3,692,400","119,110","78,000",360,17.9
Jul 2012,25,"2,860,225","114,409","101,000",384,18.2
Aug 2012,44,"5,302,123","120,503","96,000",375,16.1
Sep 2012,43,"5,451,740","126,785","125,000",371,14.8
Oct 2012,27,"3,553,513","131,612","125,000",360,14.1
Nov 2012,33,"3,854,698","116,809","84,000",349,13.0
Dec 2012,22,"2,622,600","119,209","78,450",335,12.4
Jan 2013,13,"1,483,900","114,146","83,500",336,12.3
Feb 2013,16,"1,663,500","103,969","81,500",336,12.4
Mar 2013,32,"3,088,170","96,505","88,500",340,12.4
Apr 2013,33,"3,839,645","116,353","115,000",355,12.6
May 2013,29,"3,521,510","121,431","91,450",330,11.4
Jun 2013,31,"4,230,756","136,476","108,000",356,12.3
Jul 2013,22,"3,943,235","179,238","110,775",368,12.8
Aug 2013,29,"3,525,583","121,572","87,800",343,12.5
Sep 2013,25,"3,647,805","145,912","97,900",337,13.0
Oct 2013,27,"2,802,399","103,793","96,000",346,13.3
Nov 2013,21,"2,291,950","109,140","83,000",338,13.5
Dec 2013,17,"1,561,700","91,865","87,000",321,13.1
Jan 2014,22,"2,386,409","108,473","82,500",7,0.3
Feb 2014,34,"4,033,566","118,634","91,250",315,11.7
Mar 2014,34,"4,467,469","131,396","96,250",320,11.9
Apr 2014,29,"2,950,400","101,738","89,000",326,12.2
May 2014,32,"4,843,504","151,360","134,250",339,12.6
Jun 2014,28,"3,478,545","124,234","88,500",331,12.4
Jul 2014,30,"3,353,423","111,781","89,750",328,12.0
Aug 2014,24,"2,284,400","95,183","82,000",317,11.8
Sep 2014,34,"5,017,840","147,584","112,500",298,10.8
Oct 2014,33,"5,455,800","165,327","108,500",285,10.1
Nov 2014,15,"1,729,900","115,327","99,000",274,9.9
Dec 2014,31,"5,787,030","186,678","146,000",258,8.9
Jan 2015,17,"2,239,625","131,743","90,000",208,7.3
Feb 2015,21,"3,131,868","149,137","91,000",205,7.5
Mar 2015,21,"3,370,350","160,493","99,500",218,8.3
Apr 2015,32,"3,924,910","122,653","86,605",219,8.3
May 2015,25,"2,869,850","114,794","115,900",230,8.9
Jun 2015,38,"5,563,100","146,397","156,750",258,9.6
Jul 2015,41,"5,270,055","128,538","116,500",263,9.5
Aug 2015,39,"5,089,058","130,489","119,000",265,9.2
