Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,6,"1,142,500","190,417","208,500",,
Feb 2011,10,"1,266,550","126,655","133,025",,
Mar 2011,13,"2,271,440","174,726","118,000",,
Apr 2011,12,"1,507,000","125,583","148,250",,
May 2011,6,"720,300","120,050","125,000",,
Jun 2011,8,"995,000","124,375","112,250",,
Jul 2011,7,"1,025,500","146,500","138,000",,
Aug 2011,11,"1,516,400","137,855","128,000",,
Sep 2011,16,"2,237,300","139,831","134,000",,
Oct 2011,7,"963,000","137,571","160,000",,
Nov 2011,5,"472,000","94,400","63,000",,
Dec 2011,7,"1,479,400","211,343","205,000",,
Jan 2012,9,"1,237,816","137,535","132,900",,
Feb 2012,5,"620,600","124,120","143,500",,
Mar 2012,6,"1,269,400","211,567","226,250",,
Apr 2012,12,"1,982,600","165,217","165,500",,
May 2012,14,"2,492,300","178,021","167,500",,
Jun 2012,12,"1,807,300","150,608","133,700",,
Jul 2012,12,"2,309,200","192,433","179,950",,
Aug 2012,10,"1,380,950","138,095","155,325",,
Sep 2012,9,"1,830,000","203,333","207,000",,
Oct 2012,7,"1,147,000","163,857","157,500",,
Nov 2012,13,"2,031,500","156,269","145,000",,
Dec 2012,9,"1,627,500","180,833","173,000",,
Jan 2013,11,"1,427,000","129,727","134,900",,
Feb 2013,11,"1,908,822","173,529","187,000",,
Mar 2013,15,"3,959,401","263,960","152,000",,
Apr 2013,15,"2,589,900","172,660","142,000",,
May 2013,12,"2,008,300","167,358","142,750",,
Jun 2013,14,"2,436,850","174,061","198,500",,
Jul 2013,21,"3,845,800","183,133","175,000",,
Aug 2013,14,"2,939,000","209,929","190,000",,
Sep 2013,18,"3,421,750","190,097","173,750",,
Oct 2013,8,"1,484,899","185,612","189,500",,
Nov 2013,9,"1,563,250","173,694","156,500",,
Dec 2013,18,"2,291,700","127,317","131,950",,
Jan 2014,10,"1,522,200","152,220","130,000",,
Feb 2014,23,"3,934,350","171,059","172,500",,
Mar 2014,23,"3,745,500","162,848","140,000",,
Apr 2014,21,"5,600,435","266,687","210,000",,
May 2014,41,"7,918,820","193,142","141,250",,
Jun 2014,29,"7,533,219","259,766","170,000",,
Jul 2014,26,"5,828,704","224,181","168,500",,
Aug 2014,35,"8,476,127","242,175","175,000",,
Sep 2014,23,"4,862,529","211,414","169,500",,
Oct 2014,37,"8,268,883","223,483","153,000",,
Nov 2014,11,"3,327,250","302,477","194,500",,
Dec 2014,28,"5,725,650","204,488","165,000",,
Jan 2015,11,"4,057,500","368,864","182,500",185,7.2
Feb 2015,15,"2,461,664","164,111","97,000",191,7.6
Mar 2015,25,"5,719,500","228,780","160,000",213,8.5
Apr 2015,23,"4,806,099","208,961","146,000",228,9.0
May 2015,29,"6,304,400","217,393","138,000",221,9.1
Jun 2015,26,"8,063,088","310,119","197,450",199,8.3
Jul 2015,35,"9,602,875","274,368","193,000",200,8.1
Aug 2015,31,"7,119,700","229,668","195,000",212,8.7
Sep 2015,37,"8,731,190","235,978","165,000",211,8.2
Oct 2015,20,"5,147,883","257,394","270,000",183,7.5
Nov 2015,21,"3,779,800","179,990","194,900",176,7.0
Dec 2015,16,"3,757,900","234,869","162,500",173,7.2
Jan 2016,22,"5,681,550","258,252","216,900",193,6.8
Feb 2016,16,"3,142,300","196,394","187,500",193,6.8
Mar 2016,32,"6,254,500","195,453","173,250",189,6.5
Apr 2016,22,"7,201,424","327,337","209,450",192,6.6
May 2016,26,"5,854,400","225,169","155,000",184,6.5
Jun 2016,35,"9,828,850","280,824","253,000",191,6.6
Jul 2016,28,"7,268,080","259,574","207,500",204,7.3
Aug 2016,29,"7,476,383","257,806","197,950",218,7.8
Sep 2016,17,"4,250,140","250,008","158,000",227,8.8
Oct 2016,25,"6,982,230","279,289","220,000",222,8.6
Nov 2016,21,"7,935,400","377,876","220,000",232,9.4
Dec 2016,18,"4,463,400","247,967","158,500",223,9.2
Jan 2017,25,"4,613,609","184,544","161,595",210,8.6
Feb 2017,28,"7,045,400","251,621","182,500",214,8.4
Mar 2017,32,"7,881,475","246,296","192,500",226,8.9
Apr 2017,21,"5,144,965","244,998","189,000",238,9.4
May 2017,29,"6,833,300","235,631","187,500",263,10.3
Jun 2017,35,"10,806,816","308,766","207,250",265,10.4
Jul 2017,34,"11,431,999","336,235","208,500",266,10.2
Aug 2017,30,"8,938,887","297,963","220,000",272,10.4
Sep 2017,16,"3,111,300","194,456","158,000",284,10.9
Oct 2017,17,"6,556,335","385,667","254,000",280,11.0
Nov 2017,29,"7,230,300","249,321","200,000",236,9.0
Dec 2017,43,"10,865,339","252,682","215,000",215,7.6
Jan 2018,23,"8,084,667","351,507","286,000",204,7.3
Feb 2018,16,"5,634,900","352,181","207,250",214,7.9
Mar 2018,26,"7,004,500","269,404","189,000",231,8.7
Apr 2018,27,"8,041,780","297,844","247,500",253,9.3
May 2018,31,"10,415,475","335,983","217,500",282,10.3
Jun 2018,46,"10,332,191","224,613","190,000",280,9.9
Jul 2018,27,"7,051,275","261,158","205,000",281,10.2
Aug 2018,45,"12,895,460","286,566","255,000",286,9.9
Sep 2018,30,"6,604,552","220,152","197,000",274,9.1
Oct 2018,26,"8,463,942","325,536","228,900",282,9.2
Nov 2018,21,"3,528,442","168,021","130,000",282,9.4
