Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,161,"22,122,222","137,405","117,000",,
Feb 2011,171,"23,636,751","138,227","128,200",,
Mar 2011,225,"28,550,551","126,891","116,500",,
Apr 2011,272,"36,691,440","134,895","126,625",,
May 2011,307,"42,060,480","137,005","124,900",,
Jun 2011,338,"51,560,060","152,545","135,500",,
Jul 2011,272,"39,702,094","145,964","131,000",,
Aug 2011,273,"41,780,036","153,040","130,500",,
Sep 2011,233,"33,162,734","142,329","134,000",,
Oct 2011,208,"31,311,143","150,534","134,695",,
Nov 2011,224,"32,323,995","144,304","125,000",,
Dec 2011,252,"35,041,961","139,055","124,646",,
Jan 2012,211,"29,420,572","139,434","129,800",,
Feb 2012,227,"31,334,057","138,035","130,920",,
Mar 2012,253,"36,451,105","144,076","126,000",,
Apr 2012,254,"35,692,543","140,522","132,475",,
May 2012,329,"50,274,204","152,809","138,300",,
Jun 2012,362,"54,938,218","151,763","141,700",,
Jul 2012,378,"59,242,076","156,725","135,000",,
Aug 2012,352,"51,311,814","145,772","139,590",,
Sep 2012,258,"39,091,515","151,518","142,496",,
Oct 2012,307,"45,194,552","147,214","135,000",,
Nov 2012,236,"32,971,434","139,709","129,450",,
Dec 2012,281,"45,897,177","163,335","145,450",,
Jan 2013,213,"29,625,009","139,085","132,500",,
Feb 2013,259,"38,412,083","148,309","130,000",,
Mar 2013,282,"38,901,512","137,949","125,000",,
Apr 2013,314,"45,563,518","145,107","130,000",,
May 2013,384,"59,835,261","155,821","138,925",,
Jun 2013,388,"61,364,012","158,155","138,750",,
Jul 2013,390,"60,690,818","155,617","135,425",,
Aug 2013,383,"56,743,840","148,156","127,000",,
Sep 2013,281,"41,645,279","148,204","127,500",,
Oct 2013,320,"46,853,520","146,417","130,225",,
Nov 2013,250,"35,594,138","142,377","124,700",,
Dec 2013,293,"45,673,142","155,881","149,000",,
Jan 2014,251,"34,142,989","136,028","119,000",,
Feb 2014,275,"38,153,681","138,741","130,450",,
Mar 2014,327,"43,735,461","133,748","126,400",,
Apr 2014,327,"47,134,788","144,143","133,900",,
May 2014,455,"69,715,517","153,221","135,000",,
Jun 2014,404,"64,760,061","160,297","142,900",,
Jul 2014,394,"60,825,682","154,380","137,250",,
Aug 2014,407,"62,793,346","154,283","148,250",,
Sep 2014,338,"54,315,483","160,697","140,426",,
Oct 2014,335,"51,910,729","154,957","134,270",,
Nov 2014,311,"45,421,433","146,050","136,000",,
Dec 2014,310,"51,203,612","165,173","146,000",,
Jan 2015,273,"46,745,436","171,229","139,434","1,817",5.2
Feb 2015,270,"40,613,457","150,420","139,950","1,895",5.5
Mar 2015,401,"60,095,697","149,865","134,074","1,965",5.6
Apr 2015,385,"62,540,525","162,443","145,000","1,980",5.5
May 2015,411,"69,607,258","169,361","155,500","1,888",5.3
Jun 2015,483,"79,938,326","165,504","150,000","1,983",5.5
Jul 2015,506,"83,459,687","164,940","146,250","1,896",5.1
Aug 2015,456,"80,002,282","175,444","146,500","1,885",5.1
Sep 2015,419,"65,967,234","157,440","143,000","1,830",4.8
Oct 2015,341,"53,728,543","157,562","146,000","1,822",4.8
Nov 2015,300,"50,339,716","167,799","157,250","1,773",4.7
Dec 2015,345,"56,188,851","162,866","139,750","1,716",4.5
Jan 2016,277,"42,480,907","153,361","134,500","1,735",4.5
Feb 2016,289,"44,628,227","154,423","144,922","1,752",4.6
Mar 2016,410,"63,120,689","153,953","142,082","1,746",4.5
Apr 2016,452,"72,450,885","160,290","149,450","1,721",4.4
May 2016,493,"79,369,875","160,994","145,950","1,753",4.4
Jun 2016,565,"96,630,323","171,027","151,424","1,750",4.3
Jul 2016,460,"78,099,581","169,782","150,000","1,735",4.3
Aug 2016,492,"78,408,825","159,368","145,000","1,725",4.3
Sep 2016,424,"65,123,751","153,594","140,250","1,725",4.3
Oct 2016,362,"58,836,632","162,532","149,900","1,707",4.2
Nov 2016,407,"69,339,449","170,367","151,600","1,654",4.0
Dec 2016,361,"58,231,092","161,305","149,000","1,505",3.6
Jan 2017,310,"53,488,033","172,542","147,194","1,536",3.7
Feb 2017,298,"47,943,040","160,883","145,000","1,520",3.6
Mar 2017,426,"69,536,344","163,231","146,264","1,550",3.7
Apr 2017,398,"66,403,847","166,844","150,000","1,499",3.6
May 2017,544,"95,505,973","175,562","162,500","1,517",3.6
Jun 2017,556,"101,327,695","182,244","163,000","1,558",3.7
Jul 2017,509,"91,014,088","178,810","164,900","1,572",3.7
Aug 2017,502,"92,679,878","184,621","159,750","1,555",3.7
Sep 2017,472,"80,989,614","171,588","156,500","1,473",3.4
Oct 2017,402,"73,356,403","182,479","160,500","1,493",3.5
Nov 2017,372,"66,001,898","177,424","155,462","1,494",3.5
Dec 2017,420,"74,149,522","176,546","155,000","1,379",3.2
Jan 2018,271,"44,322,447","163,551","152,000","1,370",3.2
Feb 2018,319,"53,399,912","167,398","153,000","1,361",3.2
Mar 2018,423,"78,151,872","184,756","160,000","1,385",3.2
Apr 2018,460,"84,285,602","183,230","165,000","1,358",3.1
May 2018,538,"103,091,192","191,619","167,000","1,431",3.3
Jun 2018,556,"102,334,033","184,054","165,000","1,414",3.2
Jul 2018,581,"109,279,293","188,088","166,000","1,466",3.3
Aug 2018,549,"104,438,507","190,234","168,500","1,475",3.3
Sep 2018,422,"79,710,258","188,887","168,900","1,482",3.3
Oct 2018,409,"75,043,801","183,481","162,000","1,387",3.1
Nov 2018,401,"76,874,141","191,706","164,900","1,342",3.0
