Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,779,"137,118,616","176,019","140,000",,
Feb 2011,877,"153,568,706","175,107","140,000",,
Mar 2011,"1,266","214,037,498","169,066","139,900",,
Apr 2011,"1,203","209,021,484","173,750","142,000",,
May 2011,"1,463","267,746,994","183,012","146,645",,
Jun 2011,"1,534","279,531,329","182,224","149,700",,
Jul 2011,"1,394","254,030,048","182,231","150,000",,
Aug 2011,"1,424","248,699,781","174,649","144,000",,
Sep 2011,"1,226","215,533,903","175,803","146,000",,
Oct 2011,"1,096","193,337,316","176,403","143,900",,
Nov 2011,"1,008","171,534,532","170,173","140,075",,
Dec 2011,"1,148","204,588,090","178,213","144,900",,
Jan 2012,832,"142,955,016","171,821","134,950",,
Feb 2012,"1,048","189,752,474","181,062","145,000",,
Mar 2012,"1,343","236,005,422","175,730","148,429",,
Apr 2012,"1,363","252,153,338","184,999","150,000",,
May 2012,"1,543","290,382,232","188,193","155,000",,
Jun 2012,"1,679","337,130,536","200,792","162,500",,
Jul 2012,"1,533","291,464,264","190,127","155,000",,
Aug 2012,"1,642","305,812,233","186,244","151,722",,
Sep 2012,"1,324","239,151,238","180,628","148,605",,
Oct 2012,"1,332","243,540,295","182,838","148,000",,
Nov 2012,"1,282","238,544,838","186,072","150,000",,
Dec 2012,"1,211","221,214,517","182,671","152,000",,
Jan 2013,"1,009","174,246,988","172,693","142,000",,
Feb 2013,"1,154","219,730,779","190,408","152,000",,
Mar 2013,"1,499","275,918,897","184,069","153,000",,
Apr 2013,"1,595","305,955,835","191,822","157,000",,
May 2013,"2,005","410,402,462","204,690","165,000",,
Jun 2013,"1,887","397,350,785","210,573","170,000",,
Jul 2013,"1,980","410,584,422","207,366","169,900",,
Aug 2013,"1,926","380,406,077","197,511","165,000",,
Sep 2013,"1,579","309,331,474","195,903","159,000",,
Oct 2013,"1,497","291,501,966","194,724","160,750",,
Nov 2013,"1,340","277,967,863","207,439","163,000",,
Dec 2013,"1,443","294,982,855","204,423","164,950",,
Jan 2014,"1,109","206,197,131","185,931","154,000",,
Feb 2014,"1,237","240,862,147","194,715","164,500",,
Mar 2014,"1,474","301,030,969","204,227","165,000",,
Apr 2014,"1,674","335,373,934","200,343","169,267",,
May 2014,"1,848","396,146,407","214,365","175,000",,
Jun 2014,"1,924","415,254,393","215,829","176,500",,
Jul 2014,"2,021","437,910,052","216,680","175,000",,
Aug 2014,"1,938","400,351,830","206,580","170,950",,
Sep 2014,"1,821","377,507,028","207,308","173,800",,
Oct 2014,"1,703","336,867,793","197,808","165,000",,
Nov 2014,"1,357","292,698,056","215,695","172,000",,
Dec 2014,"1,654","343,047,238","207,405","170,000",,
Jan 2015,"1,149","227,733,209","198,201","167,490","5,139",3.1
Feb 2015,"1,366","283,223,454","207,338","179,000","5,254",3.2
Mar 2015,"1,748","370,917,939","212,196","175,000","5,191",3.1
Apr 2015,"1,916","407,914,263","212,899","177,250","5,445",3.2
May 2015,"2,019","463,241,108","229,441","187,000","5,774",3.4
Jun 2015,"2,313","530,599,174","229,399","188,000","6,078",3.5
Jul 2015,"2,292","517,581,130","225,821","185,000","6,421",3.6
Aug 2015,"2,052","456,296,707","222,367","185,000","6,246",3.5
Sep 2015,"1,930","427,528,700","221,517","182,000","6,182",3.5
Oct 2015,"1,771","387,756,583","218,948","176,500","6,087",3.4
Nov 2015,"1,372","277,899,019","202,550","174,600","5,926",3.3
Dec 2015,"1,771","392,810,426","221,801","183,000","5,346",3.0
Jan 2016,"1,225","260,848,993","212,938","176,000","5,636",3.1
Feb 2016,"1,524","325,739,191","213,740","179,000","5,679",3.1
Mar 2016,"2,032","439,110,483","216,098","185,000","5,875",3.2
Apr 2016,"1,969","439,827,324","223,376","189,000","5,996",3.2
May 2016,"2,183","503,260,145","230,536","195,000","6,066",3.2
Jun 2016,"2,398","559,203,568","233,196","198,000","6,211",3.3
Jul 2016,"2,227","520,648,910","233,789","198,900","6,533",3.5
Aug 2016,"2,250","519,045,626","230,687","194,500","6,431",3.4
Sep 2016,"2,025","461,496,018","227,899","190,500","6,176",3.3
Oct 2016,"1,885","427,311,175","226,690","192,000","6,013",3.2
Nov 2016,"1,681","377,326,869","224,466","187,350","5,794",3.0
Dec 2016,"1,882","425,731,157","226,212","195,000","5,266",2.7
Jan 2017,"1,335","291,402,295","218,279","184,900","5,430",2.8
Feb 2017,"1,528","332,099,809","217,343","190,556","5,445",2.8
Mar 2017,"2,043","466,630,277","228,404","190,000","5,872",3.0
Apr 2017,"1,934","458,507,484","237,077","199,900","5,999",3.1
May 2017,"2,399","580,849,199","242,121","205,000","6,221",3.2
Jun 2017,"2,496","607,036,917","243,204","206,842","6,731",3.4
Jul 2017,"2,307","553,091,447","239,745","202,900","6,809",3.4
Aug 2017,"2,277","543,487,780","238,686","205,000","6,740",3.4
Sep 2017,"2,052","475,308,843","231,632","199,970","6,708",3.4
Oct 2017,"1,977","452,333,808","228,798","194,000","6,443",3.2
Nov 2017,"1,812","434,384,033","239,726","202,000","6,084",3.0
Dec 2017,"1,914","468,057,160","244,544","207,000","5,428",2.7
