Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,111,"19,702,098","177,496","158,500",,
Feb 2011,114,"20,175,189","176,975","155,750",,
Mar 2011,204,"32,658,088","160,089","147,350",,
Apr 2011,214,"35,998,558","168,218","153,750",,
May 2011,227,"39,119,929","172,334","155,000",,
Jun 2011,240,"41,220,369","171,752","156,000",,
Jul 2011,221,"36,627,154","165,734","156,000",,
Aug 2011,232,"37,922,188","163,458","159,002",,
Sep 2011,204,"35,831,928","175,647","161,750",,
Oct 2011,193,"34,495,642","178,734","159,900",,
Nov 2011,155,"27,541,474","177,687","165,900",,
Dec 2011,198,"33,649,881","169,949","156,750",,
Jan 2012,142,"23,864,825","168,062","150,000",,
Feb 2012,140,"23,528,214","168,059","162,500",,
Mar 2012,205,"35,017,028","170,815","159,000",,
Apr 2012,201,"34,511,328","171,698","159,900",,
May 2012,232,"40,670,766","175,305","169,200",,
Jun 2012,262,"47,357,062","180,752","169,250",,
Jul 2012,266,"49,103,740","184,601","164,950",,
Aug 2012,256,"45,579,552","178,045","165,000",,
Sep 2012,210,"37,540,972","178,767","166,450",,
Oct 2012,246,"42,516,404","172,831","164,450",,
Nov 2012,199,"36,633,031","184,086","174,500",,
Dec 2012,209,"37,757,991","180,660","169,700",,
Jan 2013,152,"26,720,114","175,790","165,750",,
Feb 2013,188,"30,293,015","161,133","160,500",,
Mar 2013,241,"44,578,176","184,972","170,000",,
Apr 2013,251,"46,783,257","186,387","174,900",,
May 2013,318,"59,950,798","188,525","175,000",,
Jun 2013,328,"65,594,083","199,982","185,000",,
Jul 2013,361,"71,554,125","198,211","181,500",,
Aug 2013,319,"62,551,853","196,087","186,000",,
Sep 2013,230,"44,058,506","191,559","178,554",,
Oct 2013,229,"43,147,266","188,416","176,900",,
Nov 2013,206,"42,795,213","207,744","185,000",,
Dec 2013,205,"38,660,720","188,589","170,000",,
Jan 2014,166,"33,631,425","202,599","186,000",,
Feb 2014,208,"42,127,740","202,537","186,862",,
Mar 2014,273,"55,605,196","203,682","190,000",,
Apr 2014,252,"52,516,996","208,401","190,000",,
May 2014,325,"68,523,475","210,841","194,900",,
Jun 2014,358,"76,041,425","212,406","195,500",,
Jul 2014,340,"70,495,431","207,340","193,250",,
Aug 2014,341,"73,577,434","215,770","196,000",,
Sep 2014,269,"59,390,535","220,783","205,000",,
Oct 2014,275,"57,577,910","209,374","192,300",,
Nov 2014,205,"45,468,518","221,798","199,500",,
Dec 2014,281,"63,447,228","225,791","206,000",,
Jan 2015,216,"51,599,490","238,887","220,000",577,2.1
Feb 2015,203,"43,522,379","214,396","200,000",604,2.2
Mar 2015,282,"64,083,649","227,247","203,015",557,2.0
Apr 2015,302,"70,782,113","234,378","215,000",554,2.0
May 2015,311,"73,692,451","236,953","223,600",603,2.1
Jun 2015,331,"80,185,272","242,252","227,000",662,2.4
Jul 2015,327,"76,524,125","234,019","218,000",769,2.8
Aug 2015,333,"75,242,995","225,955","209,000",728,2.6
Sep 2015,314,"72,163,033","229,819","212,000",722,2.6
Oct 2015,260,"60,492,572","232,664","212,313",706,2.5
Nov 2015,209,"47,703,613","228,247","216,000",691,2.5
Dec 2015,267,"60,295,637","225,826","214,000",673,2.4
Jan 2016,178,"39,862,031","223,944","220,000",655,2.4
Feb 2016,215,"52,542,451","244,383","229,500",658,2.4
Mar 2016,296,"71,019,912","239,932","229,000",644,2.3
Apr 2016,323,"77,084,290","238,651","215,000",640,2.3
May 2016,334,"84,073,486","251,717","239,122",678,2.4
Jun 2016,371,"94,275,551","254,112","235,000",764,2.7
Jul 2016,305,"73,143,862","239,816","225,000",835,2.9
Aug 2016,340,"83,315,257","245,045","230,000",831,2.9
Sep 2016,322,"80,906,674","251,263","233,250",801,2.8
Oct 2016,267,"62,829,218","235,315","217,000",841,2.9
Nov 2016,281,"68,228,110","242,805","230,000",805,2.8
Dec 2016,304,"73,100,459","240,462","225,500",772,2.6
Jan 2017,187,"46,030,084","246,150","224,000",741,2.5
Feb 2017,251,"60,505,290","241,057","230,000",731,2.4
Mar 2017,451,"104,434,548","231,562","215,000","1,070",2.6
Apr 2017,419,"96,682,777","230,746","225,000","1,160",2.9
May 2017,507,"121,570,317","239,784","229,250","1,213",3.0
Jun 2017,515,"122,913,441","238,667","225,000","1,258",3.0
Jul 2017,447,"109,378,286","244,694","232,200","1,365",3.3
Aug 2017,361,"87,188,244","241,519","235,000","1,349",3.3
Sep 2017,426,"101,192,546","237,541","223,545","1,231",3.0
Oct 2017,417,"99,564,461","238,764","225,000","1,165",2.8
Nov 2017,389,"93,232,209","239,671","225,000","1,158",2.8
Dec 2017,402,"96,596,274","240,289","229,500","1,046",2.5
Jan 2018,272,"64,782,087","238,169","223,500","1,028",2.5
Feb 2018,309,"71,505,023","231,408","220,000",993,2.4
Mar 2018,423,"105,914,556","250,389","230,900","1,059",2.6
Apr 2018,434,"106,037,173","244,325","232,000","1,088",2.7
May 2018,501,"123,243,492","245,995","239,000","1,193",2.9
Jun 2018,470,"121,851,832","259,259","240,000","1,225",3.0
Jul 2018,496,"129,983,628","262,064","245,500","1,262",3.1
Aug 2018,494,"123,792,226","250,592","235,500","1,280",3.1
Sep 2018,352,"88,211,651","250,601","234,950","1,296",3.1
Oct 2018,378,"91,753,896","242,735","230,000","1,340",3.3
Nov 2018,368,"89,723,387","243,814","235,000","1,320",3.2
