Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,78,"12,731,865","163,229","150,750",,
Feb 2011,96,"14,802,381","154,191","143,950",,
Mar 2011,149,"24,889,533","167,044","153,000",,
Apr 2011,174,"30,090,630","172,935","152,000",,
May 2011,228,"40,405,784","177,218","154,000",,
Jun 2011,258,"43,083,770","166,991","149,250",,
Jul 2011,234,"40,481,512","172,998","149,700",,
Aug 2011,177,"29,176,598","164,840","150,000",,
Sep 2011,116,"21,134,332","182,193","159,900",,
Oct 2011,99,"18,005,255","181,871","156,410",,
Nov 2011,107,"21,535,705","201,268","156,500",,
Dec 2011,112,"20,241,727","180,730","151,950",,
Jan 2012,105,"18,350,051","174,762","140,000",,
Feb 2012,118,"19,141,054","162,212","154,750",,
Mar 2012,136,"24,996,422","183,797","155,000",,
Apr 2012,180,"33,662,739","187,015","155,700",,
May 2012,283,"50,732,887","179,268","154,000",,
Jun 2012,262,"44,061,031","168,172","148,750",,
Jul 2012,280,"48,309,342","172,533","149,900",,
Aug 2012,275,"49,668,118","180,611","156,800",,
Sep 2012,138,"26,940,762","195,223","172,645",,
Oct 2012,140,"28,840,025","206,000","161,000",,
Nov 2012,140,"26,161,676","186,869","151,100",,
Dec 2012,122,"20,313,289","166,502","150,000",,
Jan 2013,134,"25,335,513","189,071","155,450",,
Feb 2013,124,"19,920,231","160,647","152,500",,
Mar 2013,187,"34,340,481","183,639","160,100",,
Apr 2013,257,"46,213,501","179,819","159,000",,
May 2013,334,"64,846,749","194,152","159,900",,
Jun 2013,362,"69,349,291","191,573","160,000",,
Jul 2013,387,"75,080,778","194,007","161,160",,
Aug 2013,325,"59,804,260","184,013","161,056",,
Sep 2013,192,"38,252,184","199,230","159,450",,
Oct 2013,145,"28,408,640","195,922","167,425",,
Nov 2013,148,"27,302,331","184,475","158,500",,
Dec 2013,181,"32,733,794","180,850","156,000",,
Jan 2014,142,"24,925,850","175,534","151,000",,
Feb 2014,153,"30,083,880","196,627","169,500",,
Mar 2014,265,"50,821,477","191,779","156,500",,
Apr 2014,309,"62,649,041","202,748","169,700",,
May 2014,342,"67,177,430","196,425","163,250",,
Jun 2014,375,"74,261,472","198,031","166,000",,
Jul 2014,378,"73,457,837","194,333","169,900",,
Aug 2014,286,"59,750,587","208,918","171,900",,
Sep 2014,195,"41,688,123","213,785","182,000",,
Oct 2014,202,"43,163,020","213,678","180,944",,
Nov 2014,147,"29,897,868","203,387","172,500",,
Dec 2014,184,"39,977,264","217,268","181,750",,
Jan 2015,141,"30,461,245","216,037","185,500",539,2.2
Feb 2015,185,"38,819,610","209,836","172,200",569,2.3
Mar 2015,301,"62,306,493","206,998","179,000",542,2.1
Apr 2015,277,"62,957,947","227,285","180,500",560,2.2
May 2015,365,"72,747,838","199,309","176,000",597,2.4
Jun 2015,372,"79,066,265","212,544","190,000",602,2.4
Jul 2015,395,"83,670,749","211,825","189,500",631,2.5
Aug 2015,307,"64,202,945","209,130","193,900",605,2.4
Sep 2015,231,"57,285,440","247,989","199,900",583,2.3
Oct 2015,192,"41,879,331","218,122","182,250",574,2.2
Nov 2015,125,"28,067,223","224,538","195,000",557,2.2
Dec 2015,218,"50,621,459","232,209","214,950",500,1.9
Jan 2016,151,"32,451,339","214,910","193,000",531,2.0
Feb 2016,196,"45,718,297","233,257","213,820",554,2.1
Mar 2016,292,"68,780,218","235,549","202,000",561,2.1
Apr 2016,284,"63,528,407","223,692","199,500",611,2.3
May 2016,314,"74,096,000","235,975","205,000",642,2.5
Jun 2016,400,"96,497,558","241,244","212,000",668,2.5
Jul 2016,302,"74,150,709","245,532","214,950",724,2.9
Aug 2016,359,"83,917,906","233,755","218,000",718,2.8
Sep 2016,199,"47,446,305","238,424","215,000",736,2.9
Oct 2016,173,"44,419,659","256,761","216,000",742,2.9
Nov 2016,192,"49,823,943","259,500","219,950",706,2.7
Dec 2016,207,"48,567,868","234,627","208,500",670,2.6
Jan 2017,182,"42,051,833","231,054","199,950",654,2.5
Feb 2017,175,"38,807,004","221,754","204,000",636,2.5
Mar 2017,342,"85,998,084","251,456","215,000",714,2.7
Apr 2017,292,"76,578,000","262,253","225,450",793,3.0
May 2017,362,"91,174,120","251,862","215,000",826,3.1
Jun 2017,366,"89,864,418","245,531","226,000",906,3.4
Jul 2017,328,"84,484,036","257,573","233,000",918,3.5
Aug 2017,270,"72,346,863","267,951","224,950",950,3.7
Sep 2017,219,"63,318,907","289,127","253,500",958,3.7
Oct 2017,174,"45,229,235","259,938","222,000",931,3.6
Nov 2017,189,"45,933,494","243,034","215,000",915,3.5
Dec 2017,192,"53,054,894","276,328","224,950",862,3.3
Jan 2018,164,"43,901,864","267,694","213,000",941,3.7
Feb 2018,182,"46,204,551","253,871","227,788",956,3.7
Mar 2018,266,"71,490,517","268,761","221,000","1,021",4.1
Apr 2018,347,"88,704,948","255,634","219,575","1,080",4.2
May 2018,356,"91,954,343","258,299","223,900","1,128",4.4
Jun 2018,357,"92,084,107","257,939","222,565","1,180",4.7
Jul 2018,349,"93,870,593","268,970","230,000","1,177",4.6
Aug 2018,265,"72,166,925","272,328","235,000","1,115",4.4
Sep 2018,187,"52,653,521","281,570","237,250","1,075",4.3
Oct 2018,215,"62,561,698","290,985","258,000","1,057",4.1
Nov 2018,214,"54,402,736","254,218","219,900","1,093",4.2
