Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,120,"14,903,121","124,193","85,000",,
Feb 2011,108,"12,133,678","112,349","87,920",,
Mar 2011,164,"21,439,723","130,730","105,000",,
Apr 2011,158,"20,152,537","127,548","94,500",,
May 2011,145,"18,521,074","127,732","119,000",,
Jun 2011,180,"22,544,423","125,247","97,500",,
Jul 2011,119,"15,925,118","133,825","107,000",,
Aug 2011,171,"23,101,711","135,098","115,000",,
Sep 2011,155,"19,262,315","124,273","92,500",,
Oct 2011,128,"15,323,693","119,716","95,000",,
Nov 2011,117,"16,056,565","137,236","123,550",,
Dec 2011,109,"13,031,399","119,554","90,000",,
Jan 2012,108,"12,744,804","118,007","90,000",,
Feb 2012,118,"16,355,474","138,606","111,556",,
Mar 2012,153,"18,062,584","118,056","97,500",,
Apr 2012,173,"22,784,132","131,700","97,425",,
May 2012,176,"22,825,093","129,688","96,750",,
Jun 2012,137,"20,195,929","147,416","94,950",,
Jul 2012,142,"17,387,344","122,446","95,650",,
Aug 2012,201,"29,132,712","144,939","112,000",,
Sep 2012,133,"18,820,701","141,509","107,000",,
Oct 2012,154,"22,600,908","146,759","110,000",,
Nov 2012,114,"17,771,818","155,893","116,500",,
Dec 2012,141,"22,226,619","157,636","126,550",,
Jan 2013,124,"17,602,196","141,953","111,500",,
Feb 2013,122,"14,538,510","119,168","90,375",,
Mar 2013,171,"22,527,477","131,740","106,900",,
Apr 2013,181,"25,653,197","141,730","102,000",,
May 2013,179,"25,580,112","142,906","115,000",,
Jun 2013,171,"27,033,683","158,092","119,500",,
Jul 2013,149,"20,079,936","134,765","104,500",,
Aug 2013,176,"26,297,643","149,418","118,750",,
Sep 2013,137,"21,541,221","157,235","110,000",,
Oct 2013,131,"18,405,973","140,504","108,500",,
Nov 2013,108,"15,570,080","144,167","120,000",,
Dec 2013,141,"20,151,392","142,918","116,000",,
Jan 2014,127,"17,026,354","134,066","105,000",,
Feb 2014,128,"18,011,856","140,718","114,750",,
Mar 2014,153,"19,731,019","128,961","108,000",,
Apr 2014,165,"21,599,294","130,905","115,000",,
May 2014,173,"30,870,247","178,441","124,500",,
Jun 2014,185,"27,654,516","149,484","119,000",,
Jul 2014,212,"30,869,781","145,612","124,000",,
Aug 2014,202,"33,137,229","164,046","111,375",,
Sep 2014,162,"22,610,311","139,570","119,750",,
Oct 2014,179,"29,449,106","164,520","117,000",,
Nov 2014,147,"22,044,894","149,965","129,000",,
Dec 2014,164,"28,877,631","176,083","121,500",,
Jan 2015,126,"16,403,249","130,185","105,093","1,942",11.7
Feb 2015,139,"20,267,723","145,811","117,000","1,945",11.6
Mar 2015,185,"25,890,958","139,951","118,500","1,929",11.4
Apr 2015,201,"27,742,017","138,020","114,500","1,946",11.3
May 2015,174,"26,748,390","153,726","123,785","1,918",11.1
Jun 2015,195,"29,854,323","153,099","128,500","1,984",11.4
Jul 2015,241,"39,279,229","162,984","125,000","1,957",11.1
Aug 2015,205,"33,928,030","165,503","129,900","1,957",11.1
Sep 2015,184,"25,683,576","139,585","118,000","1,936",10.9
Oct 2015,171,"25,165,076","147,164","119,000","1,895",10.7
Nov 2015,153,"22,140,904","144,712","117,000","1,929",10.8
Dec 2015,157,"22,692,592","144,539","115,000","1,812",10.2
Jan 2016,130,"19,752,259","151,940","125,000","1,851",10.4
Feb 2016,172,"23,295,683","135,440","113,600","1,833",10.1
Mar 2016,184,"26,310,362","142,991","113,200","1,874",10.4
Apr 2016,203,"31,334,139","154,355","134,000","1,838",10.2
May 2016,211,"31,334,747","148,506","130,500","1,850",10.1
Jun 2016,197,"33,870,041","171,929","145,000","1,801",9.8
Jul 2016,188,"32,818,696","174,568","135,000","1,785",9.9
Aug 2016,228,"39,289,692","172,323","135,250","1,849",10.2
Sep 2016,165,"27,349,476","165,754","135,000","1,803",10.0
Oct 2016,174,"27,990,186","160,863","136,000","1,774",9.8
Nov 2016,179,"26,730,178","149,331","125,000","1,779",9.8
Dec 2016,144,"22,826,203","158,515","129,000","1,774",9.8
Jan 2017,154,"23,149,908","150,324","117,750","1,840",10.0
Feb 2017,139,"19,544,096","140,605","115,000","1,868",10.3
Mar 2017,205,"29,910,875","145,907","125,000","1,842",10.1
Apr 2017,190,"30,484,778","160,446","125,500","1,805",9.9
May 2017,214,"34,127,909","159,476","131,000","1,810",10.0
Jun 2017,222,"35,199,668","158,557","131,500","1,790",9.7
Jul 2017,193,"31,725,737","164,382","145,000","1,765",9.6
Aug 2017,207,"29,469,804","142,366","125,000","1,752",9.6
Sep 2017,171,"27,748,108","162,270","127,500","1,719",9.4
Oct 2017,190,"33,106,952","174,247","140,000","1,692",9.2
Nov 2017,175,"27,092,483","154,814","128,500","1,676",9.1
Dec 2017,161,"26,089,991","162,050","138,500","1,600",8.6
Jan 2018,139,"21,707,042","156,166","135,000","1,638",8.9
Feb 2018,133,"19,947,482","149,981","126,500","1,612",8.8
Mar 2018,206,"34,989,843","169,854","145,500","1,615",8.8
Apr 2018,206,"33,537,233","162,802","137,200","1,604",8.7
May 2018,261,"45,279,946","173,486","139,950","1,612",8.5
Jun 2018,221,"38,921,057","176,113","149,250","1,690",9.0
Jul 2018,224,"38,468,375","171,734","145,000","1,724",9.0
Aug 2018,209,"37,881,415","181,251","143,500","1,702",8.9
Sep 2018,185,"33,047,757","178,637","148,500","1,640",8.5
Oct 2018,201,"38,566,980","191,876","157,000","1,636",8.5
Nov 2018,177,"35,550,568","200,851","158,000","1,613",8.3
