Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,3,"429,000","143,000","129,000",,
Feb 2011,4,"405,250","101,312","66,625",,
Mar 2011,3,"92,285","30,762","32,160",,
Apr 2011,6,"586,000","97,667","86,000",,
May 2011,5,"778,500","155,700","130,000",,
Jun 2011,,,,,,
Jul 2011,2,"450,000","225,000","225,000",,
Aug 2011,2,"152,500","76,250","76,250",,
Sep 2011,2,"58,000","29,000","29,000",,
Oct 2011,1,"20,000","20,000","20,000",,
Nov 2011,5,"868,400","173,680","99,500",,
Dec 2011,3,"455,800","151,933","160,000",,
Jan 2012,4,"521,800","130,450","135,625",,
Feb 2012,,,,,,
Mar 2012,5,"393,370","78,674","59,000",,
Apr 2012,1,"280,000","280,000","280,000",,
May 2012,3,"516,000","172,000","151,000",,
Jun 2012,3,"136,501","45,500","53,500",,
Jul 2012,2,"160,000","80,000","80,000",,
Aug 2012,3,"512,000","170,667","227,000",,
Sep 2012,7,"458,990","65,570","53,000",,
Oct 2012,7,"623,000","89,000","105,000",,
Nov 2012,6,"893,000","148,833","135,500",,
Dec 2012,3,"246,807","82,269","85,000",,
Jan 2013,5,"504,500","100,900","104,500",,
Feb 2013,3,"262,000","87,333","99,500",,
Mar 2013,9,"798,505","88,723","48,000",,
Apr 2013,5,"1,054,500","210,900","239,500",,
May 2013,3,"449,500","149,833","144,500",,
Jun 2013,7,"1,136,000","162,286","162,500",,
Jul 2013,5,"580,000","116,000","75,000",,
Aug 2013,7,"1,019,900","145,700","88,000",,
Sep 2013,5,"593,500","118,700","137,500",,
Oct 2013,5,"362,500","72,500","61,000",,
Nov 2013,6,"788,500","131,417","82,500",,
Dec 2013,9,"1,529,800","169,978","159,000",,
Jan 2014,5,"508,000","101,600","99,000",,
Feb 2014,3,"532,500","177,500","197,500",,
Mar 2014,5,"773,276","154,655","100,000",,
Apr 2014,10,"2,370,206","237,021","132,500",,
May 2014,8,"6,405,875","800,734","151,000",,
Jun 2014,19,"5,505,958","289,787","204,000",,
Jul 2014,9,"2,693,500","299,278","285,000",,
Aug 2014,14,"1,930,180","137,870","120,750",,
Sep 2014,10,"2,829,500","282,950","154,500",,
Oct 2014,17,"2,611,250","153,603","152,000",,
Nov 2014,17,"4,440,004","261,177","183,000",,
Dec 2014,13,"5,424,688","417,284","151,000",,
Jan 2015,11,"1,213,500","110,318","88,000",117,10.3
Feb 2015,12,"2,167,611","180,634","165,000",118,9.8
Mar 2015,18,"3,071,146","170,619","169,525",128,9.7
Apr 2015,16,"6,469,288","404,330","203,000",119,8.7
May 2015,8,"2,455,500","306,938","106,500",128,9.4
Jun 2015,13,"4,517,470","347,498","155,000",106,8.1
Jul 2015,18,"2,773,900","154,106","119,950",99,7.1
Aug 2015,14,"2,516,500","179,750","168,500",111,8.0
Sep 2015,12,"2,916,541","243,045","132,500",111,7.9
Oct 2015,8,"1,110,000","138,750","132,000",112,8.4
Nov 2015,12,"2,029,750","169,146","186,250",104,8.1
Dec 2015,11,"1,192,340","108,395","80,000",100,7.8
Jan 2016,8,"1,434,341","179,293","155,000",109,7.8
Feb 2016,11,"1,448,500","131,682","91,000",119,8.6
Mar 2016,16,"2,209,000","138,062","133,500",125,9.1
Apr 2016,12,"4,566,413","380,534","191,766",138,10.5
May 2016,15,"2,799,900","186,660","180,000",136,10.0
Jun 2016,19,"2,394,600","126,032","126,700",144,10.2
Jul 2016,19,"3,358,700","176,774","150,000",148,10.4
Aug 2016,13,"2,704,400","208,031","185,000",137,9.8
Sep 2016,16,"2,551,950","159,497","169,475",143,10.2
Oct 2016,7,"1,676,028","239,433","160,000",154,11.1
Nov 2016,5,"733,000","146,600","135,000",159,12.2
Dec 2016,20,"5,715,707","285,785","150,000",148,11.0
Jan 2017,11,"1,823,150","165,741","163,000",157,11.5
Feb 2017,14,"11,437,350","816,954","156,500",144,10.3
Mar 2017,12,"2,212,000","184,333","162,000",158,11.6
Apr 2017,20,"6,891,745","344,587","175,000",162,11.3
May 2017,23,"3,760,094","163,482","163,500",175,11.6
Jun 2017,20,"3,487,747","174,387","195,000",179,11.8
Jul 2017,16,"3,777,300","236,081","200,000",189,12.7
Aug 2017,21,"5,255,962","250,284","242,000",188,12.1
Sep 2017,20,"3,229,739","161,487","134,500",188,11.8
Oct 2017,8,"1,727,000","215,875","200,000",182,11.4
Nov 2017,16,"3,005,900","187,869","139,200",155,9.2
Dec 2017,13,"1,957,648","150,588","123,600",159,9.7
Jan 2018,15,"2,629,416","175,294","155,000",154,9.3
Feb 2018,13,"2,621,100","201,623","180,000",156,9.5
Mar 2018,12,"2,542,500","211,875","205,000",158,9.6
Apr 2018,15,"3,976,050","265,070","282,800",150,9.4
May 2018,27,"5,562,883","206,033","187,000",154,9.4
Jun 2018,22,"4,715,850","214,357","196,900",145,8.8
Jul 2018,23,"4,185,900","181,996","175,000",151,8.8
Aug 2018,26,"6,504,044","250,156","173,000",155,8.9
Sep 2018,14,"3,592,600","256,614","170,000",156,9.2
Oct 2018,21,"4,567,500","217,500","159,000",161,8.9
Nov 2018,19,"5,575,517","293,448","230,500",162,8.8
