Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,74,"16,872,947","228,013","207,500",,
Feb 2011,92,"17,756,974","193,011","171,750",,
Mar 2011,127,"28,920,741","227,722","185,809",,
Apr 2011,150,"33,348,773","222,325","188,425",,
May 2011,134,"31,880,859","237,917","215,000",,
Jun 2011,143,"36,358,240","254,253","198,120",,
Jul 2011,105,"25,769,297","245,422","214,000",,
Aug 2011,159,"37,540,220","236,102","216,200",,
Sep 2011,121,"34,140,225","282,151","218,000",,
Oct 2011,124,"28,314,123","228,340","198,000",,
Nov 2011,97,"22,499,099","231,949","172,000",,
Dec 2011,119,"28,987,124","243,589","190,000",,
Jan 2012,72,"16,581,941","230,305","203,945",,
Feb 2012,98,"20,293,633","207,078","179,950",,
Mar 2012,132,"31,273,091","236,917","206,450",,
Apr 2012,128,"32,929,862","257,265","222,500",,
May 2012,151,"41,313,303","273,598","242,500",,
Jun 2012,148,"35,820,530","242,031","216,250",,
Jul 2012,133,"33,507,174","251,934","202,000",,
Aug 2012,188,"50,363,259","267,890","231,500",,
Sep 2012,135,"35,006,575","259,308","225,000",,
Oct 2012,157,"40,386,067","257,236","234,000",,
Nov 2012,126,"28,917,995","229,508","193,500",,
Dec 2012,138,"32,559,905","235,941","200,000",,
Jan 2013,102,"24,402,437","239,240","190,013",,
Feb 2013,109,"28,026,161","257,121","215,000",,
Mar 2013,151,"36,646,875","242,695","199,000",,
Apr 2013,167,"44,253,156","264,989","240,000",,
May 2013,178,"48,609,877","273,089","233,375",,
Jun 2013,207,"54,821,333","264,837","240,000",,
Jul 2013,186,"52,134,709","280,294","257,750",,
Aug 2013,213,"58,419,573","274,270","239,000",,
Sep 2013,211,"53,504,691","253,577","218,000",,
Oct 2013,148,"40,046,484","270,584","237,050",,
Nov 2013,128,"31,742,924","247,992","216,750",,
Dec 2013,142,"37,276,665","262,512","231,575",,
Jan 2014,108,"25,982,952","240,583","196,000",,
Feb 2014,120,"31,667,859","263,899","252,500",,
Mar 2014,157,"41,961,341","267,270","252,500",,
Apr 2014,177,"46,181,211","260,911","230,000",,
May 2014,227,"60,017,766","264,395","225,000",,
Jun 2014,230,"66,457,779","288,947","264,250",,
Jul 2014,226,"63,540,768","281,154","267,750",,
Aug 2014,250,"69,759,990","279,040","237,812",,
Sep 2014,216,"56,546,864","261,791","229,950",,
Oct 2014,220,"61,702,133","280,464","248,500",,
Nov 2014,152,"42,513,379","279,693","259,250",,
Dec 2014,205,"58,245,042","284,122","270,000",,
Jan 2015,111,"31,180,623","280,907","239,500",859,4.5
Feb 2015,145,"42,401,229","292,422","229,000",912,4.7
Mar 2015,216,"59,335,504","274,701","254,950",907,4.6
Apr 2015,199,"54,318,136","272,955","248,000","1,019",5.1
May 2015,248,"78,735,756","317,483","283,900","1,040",5.2
Jun 2015,270,"78,516,243","290,801","260,000","1,057",5.2
Jul 2015,274,"88,372,647","322,528","270,500","1,114",5.3
Aug 2015,233,"70,245,577","301,483","270,000","1,120",5.4
Sep 2015,206,"64,517,517","313,192","260,500","1,078",5.2
Oct 2015,196,"57,646,385","294,114","265,066","1,035",5.1
Nov 2015,164,"48,168,581","293,711","275,000",994,4.8
Dec 2015,228,"69,479,568","304,735","275,000",989,4.8
Jan 2016,133,"39,814,014","299,353","282,500","1,007",4.8
Feb 2016,188,"56,137,480","298,604","262,750","1,010",4.7
Mar 2016,248,"72,626,092","292,847","265,000","1,085",5.0
Apr 2016,233,"71,938,120","308,747","272,000","1,116",5.1
May 2016,283,"92,725,107","327,651","282,730","1,190",5.4
Jun 2016,322,"98,039,820","304,471","272,500","1,229",5.4
Jul 2016,266,"80,482,051","302,564","272,000","1,201",5.3
Aug 2016,294,"90,329,646","307,244","267,750","1,196",5.2
Sep 2016,265,"75,347,991","284,332","243,900","1,141",4.9
Oct 2016,248,"76,937,434","310,232","265,832","1,118",4.7
Nov 2016,215,"64,242,170","298,801","277,485","1,066",4.4
Dec 2016,228,"68,158,545","298,941","277,250",983,4.0
Jan 2017,154,"45,719,540","296,880","273,782",976,4.0
Feb 2017,204,"61,893,359","303,399","256,000",977,4.0
Mar 2017,246,"76,350,950","310,370","282,222","1,066",4.3
Apr 2017,276,"84,711,281","306,925","269,250","1,094",4.5
May 2017,316,"100,576,609","318,280","280,000","1,084",4.4
Jun 2017,340,"106,841,987","314,241","271,500","1,159",4.6
Jul 2017,320,"102,519,896","320,375","269,950","1,158",4.5
Aug 2017,297,"91,189,801","307,036","254,025","1,220",4.8
Sep 2017,266,"83,015,127","312,087","275,000","1,169",4.6
Oct 2017,261,"79,872,053","306,023","258,000","1,130",4.4
Nov 2017,255,"85,951,412","337,064","283,000","1,068",4.1
Dec 2017,264,"82,969,219","314,277","279,700",946,3.6
Jan 2018,183,"58,950,707","322,135","275,000",960,3.6
Feb 2018,224,"67,295,929","300,428","261,750","1,008",3.7
Mar 2018,274,"88,023,367","321,253","273,250","1,081",4.0
Apr 2018,279,"89,495,640","320,773","282,500","1,136",4.2
May 2018,394,"135,073,261","342,826","299,745","1,175",4.2
Jun 2018,343,"116,870,413","340,730","300,700","1,199",4.3
Jul 2018,335,"110,598,281","330,144","298,774","1,221",4.3
Aug 2018,365,"116,951,784","320,416","291,632","1,241",4.3
Sep 2018,274,"88,877,486","324,370","276,450","1,206",4.2
Oct 2018,279,"91,158,165","326,732","279,500","1,205",4.2
Nov 2018,262,"87,469,932","333,855","285,000","1,225",4.2
