,level_0,index,Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory,County,Oil Price,Unemployment
2185,2185,0,01/01/11,14,1079600,77114,71700,344,33.6,Anderson,89.17,8
2186,2186,1,02/01/11,21,2286934,108902,74000,371,31.6,Anderson,88.58,7.8
2187,2187,2,03/01/11,25,3013550,120542,92000,369,27.3,Anderson,102.86,7.5
2188,2188,3,04/01/11,27,3203350,118643,119500,362,23.2,Anderson,109.53,7.1
2189,2189,4,05/01/11,28,2414161,86220,71250,381,22.6,Anderson,100.9,7.2
2190,2190,5,06/01/11,20,1563605,78180,73950,415,23.1,Anderson,96.26,8
2191,2191,6,07/01/11,14,1398148,99868,76000,440,24.1,Anderson,97.3,7.9
2192,2192,7,08/01/11,18,2389823,132768,73250,428,22.5,Anderson,86.33,7.6
2193,2193,8,09/01/11,22,2639550,119980,108500,437,22.3,Anderson,85.52,7.4
2194,2194,9,10/01/11,21,1991877,94851,89900,416,21,Anderson,86.32,6.8
2195,2195,10,11/01/11,17,1742772,102516,100000,406,19.9,Anderson,97.16,6.4
2196,2196,11,12/01/11,20,3315780,165789,100500,383,18.6,Anderson,98.56,6.2
2197,2197,12,01/01/12,10,916954,91695,67850,359,17.7,Anderson,100.27,6.7
2198,2198,13,02/01/12,18,2100776,116710,117700,345,17.2,Anderson,102.2,6.3
2199,2199,14,03/01/12,27,4842523,179353,110000,346,17.2,Anderson,106.16,#N/A
2200,2200,15,04/01/12,26,3217400,123746,112000,343,17.1,Anderson,103.32,#N/A
2201,2201,16,05/01/12,18,2252183,125121,89450,364,18.9,Anderson,94.66,6.2
2202,2202,17,06/01/12,31,3692400,119110,78000,360,17.9,Anderson,82.3,7.1
2203,2203,18,07/01/12,25,2860225,114409,101000,384,18.2,Anderson,87.9,7
2204,2204,19,08/01/12,44,5302123,120503,96000,375,16.1,Anderson,94.13,#N/A
2205,2205,20,09/01/12,43,5451740,126785,125000,371,14.8,Anderson,94.51,#N/A
2206,2206,21,10/01/12,27,3553513,131612,125000,360,14.1,Anderson,89.49,6.1
2207,2207,22,11/01/12,33,3854698,116809,84000,349,13,Anderson,86.53,5.9
2208,2208,23,12/01/12,22,2622600,119209,78450,335,12.4,Anderson,87.86,#N/A
2209,2209,24,01/01/13,13,1483900,114146,83500,336,12.3,Anderson,94.76,6.6
2210,2210,25,02/01/13,16,1663500,103969,81500,336,12.4,Anderson,95.31,6.1
2211,2211,26,03/01/13,32,3088170,96505,88500,340,12.4,Anderson,92.94,5.7
2212,2212,27,04/01/13,33,3839645,116353,115000,355,12.6,Anderson,92.02,5.4
2213,2213,28,05/01/13,29,3521510,121431,91450,330,11.4,Anderson,94.51,5.5
2214,2214,29,06/01/13,31,4230756,136476,108000,356,12.3,Anderson,95.77,6.4
2215,2215,30,07/01/13,22,3943235,179238,110775,368,12.8,Anderson,104.67,6.3
2216,2216,31,08/01/13,29,3525583,121572,87800,343,12.5,Anderson,106.57,5.9
2217,2217,32,09/01/13,25,3647805,145912,97900,337,13,Anderson,106.29,5.7
2218,2218,33,10/01/13,27,2802399,103793,96000,346,13.3,Anderson,100.54,5.5
2219,2219,34,11/01/13,21,2291950,109140,83000,338,13.5,Anderson,93.86,5.2
2220,2220,35,12/01/13,17,1561700,91865,87000,321,13.1,Anderson,97.63,4.8
2221,2221,36,01/01/14,22,2386409,108473,82500,7,0.3,Anderson,94.62,5.1
2222,2222,37,02/01/14,34,4033566,118634,91250,315,11.7,Anderson,100.82,5.1
2223,2223,38,03/01/14,34,4467469,131396,96250,320,11.9,Anderson,100.8,4.8
2224,2224,39,04/01/14,29,2950400,101738,89000,326,12.2,Anderson,102.07,4.3
2225,2225,40,05/01/14,32,4843504,151360,134250,339,12.6,Anderson,102.18,4.5
2226,2226,41,06/01/14,28,3478545,124234,88500,331,12.4,Anderson,105.79,5.1
2227,2227,42,07/01/14,30,3353423,111781,89750,328,12,Anderson,103.59,5.2
2228,2228,43,08/01/14,24,2284400,95183,82000,317,11.8,Anderson,96.54,5
2229,2229,44,09/01/14,34,5017840,147584,112500,298,10.8,Anderson,93.21,4.5
2230,2230,45,10/01/14,33,5455800,165327,108500,285,10.1,Anderson,84.4,4.3
2231,2231,46,11/01/14,15,1729900,115327,99000,274,9.9,Anderson,75.79,4.1
2232,2232,47,12/01/14,31,5787030,186678,146000,258,8.9,Anderson,59.29,3.7
2233,2233,48,01/01/15,17,2239625,131743,90000,208,7.3,Anderson,47.22,4.1
2234,2234,49,02/01/15,21,3131868,149137,91000,205,7.5,Anderson,50.58,3.9
2235,2235,50,03/01/15,21,3370350,160493,99500,218,8.3,Anderson,47.82,3.8
2236,2236,51,04/01/15,32,3924910,122653,86605,219,8.3,Anderson,54.45,3.5
2237,2237,52,05/01/15,25,2869850,114794,115900,230,8.9,Anderson,59.27,3.8
2238,2238,53,06/01/15,38,5563100,146397,156750,258,9.6,Anderson,59.82,4.2
2239,2239,54,07/01/15,41,5270055,128538,116500,263,9.5,Anderson,50.9,4.4
2240,2240,55,08/01/15,39,5089058,130489,119000,265,9.2,Anderson,42.87,4.1
2241,2241,56,09/01/15,33,5709300,173009,110000,274,9.5,Anderson,45.48,3.8
2242,2242,57,10/01/15,25,2995250,119810,102000,271,9.6,Anderson,46.22,4
2243,2243,58,11/01/15,22,2548375,115835,112000,250,8.7,Anderson,42.44,4.1
2244,2244,59,12/01/15,33,4487007,135970,114000,229,7.9,Anderson,37.19,4.1
2245,2245,60,01/01/16,22,2991895,135995,125000,210,7.2,Anderson,31.68,4.2
2246,2246,61,02/01/16,15,1662800,110853,105000,220,7.6,Anderson,30.32,4.1
2247,2247,62,03/01/16,37,5190890,140294,105000,206,6.8,Anderson,37.55,4.4
2248,2248,63,04/01/16,33,5357742,162356,138000,213,7,Anderson,40.75,4
2249,2249,64,05/01/16,38,4604400,121168,99000,197,6.3,Anderson,46.71,4
