Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,37,"4,118,050","111,299","104,900",,
Feb 2011,36,"4,036,494","112,125","101,000",,
Mar 2011,42,"4,981,492","118,607","110,000",,
Apr 2011,51,"5,327,034","104,452","97,500",,
May 2011,33,"3,524,499","106,803","92,500",,
Jun 2011,49,"6,131,275","125,128","120,000",,
Jul 2011,48,"5,628,625","117,263","109,000",,
Aug 2011,40,"4,756,000","118,900","118,750",,
Sep 2011,41,"4,404,790","107,434","85,500",,
Oct 2011,34,"2,901,700","85,344","81,850",,
Nov 2011,44,"5,335,625","121,264","104,200",,
Dec 2011,36,"3,458,201","96,061","86,250",,
Jan 2012,28,"3,170,657","113,238","115,450",,
Feb 2012,32,"4,119,363","128,730","142,050",,
Mar 2012,31,"3,098,990","99,967","85,000",,
Apr 2012,51,"5,976,113","117,179","99,500",,
May 2012,34,"3,890,624","114,430","108,575",,
Jun 2012,48,"5,741,671","119,618","112,500",,
Jul 2012,59,"7,074,703","119,910","129,000",,
Aug 2012,58,"6,954,789","119,910","123,950",,
Sep 2012,49,"6,041,400","123,294","126,950",,
Oct 2012,40,"7,101,258","177,531","115,200",,
Nov 2012,29,"3,740,010","128,966","129,000",,
Dec 2012,38,"5,200,937","136,867","131,450",,
Jan 2013,46,"5,046,650","109,710","102,750",,
Feb 2013,43,"3,915,338","91,054","70,000",,
Mar 2013,51,"5,654,222","110,867","108,000",,
Apr 2013,62,"8,100,250","130,649","102,000",,
May 2013,85,"9,784,680","115,114","115,500",,
Jun 2013,52,"5,789,885","111,344","114,500",,
Jul 2013,59,"6,826,046","115,696","109,000",,
Aug 2013,67,"7,591,336","113,304","100,000",,
Sep 2013,65,"6,549,210","100,757","98,500",,
Oct 2013,44,"5,265,102","119,661","92,000",,
Nov 2013,52,"6,294,980","121,057","105,500",,
Dec 2013,48,"5,615,263","116,985","103,950",,
Jan 2014,48,"4,840,902","100,852","76,000",,
Feb 2014,41,"4,770,984","116,365","85,000",,
Mar 2014,48,"5,690,938","118,561","98,200",,
Apr 2014,57,"6,515,806","114,312","108,900",,
May 2014,53,"6,737,370","127,120","112,500",,
Jun 2014,63,"7,274,792","115,473","108,000",,
Jul 2014,58,"6,665,563","114,924","105,450",,
Aug 2014,76,"9,080,250","119,477","111,450",,
Sep 2014,58,"6,265,702","108,029","100,550",,
Oct 2014,44,"3,906,711","88,789","74,824",,
Nov 2014,46,"5,100,000","110,870","94,250",,
Dec 2014,54,"6,780,051","125,556","89,250",,
Jan 2015,52,"5,793,999","111,423","97,000",265,4.9
Feb 2015,51,"5,356,004","105,020","97,900",272,4.9
Mar 2015,60,"6,810,732","113,512","96,300",281,5.0
Apr 2015,69,"8,733,772","126,576","125,000",318,5.6
May 2015,57,"6,785,019","119,035","115,000",315,5.5
Jun 2015,64,"10,220,745","159,699","123,950",307,5.3
Jul 2015,85,"10,841,049","127,542","115,600",316,5.3
Aug 2015,64,"9,180,849","143,451","139,750",324,5.5
Sep 2015,52,"6,019,354","115,757","117,000",322,5.5
Oct 2015,55,"6,625,008","120,455","102,500",316,5.3
Nov 2015,41,"3,897,140","95,052","67,700",294,5.0
Dec 2015,67,"8,529,171","127,301","92,500",283,4.7
Jan 2016,50,"6,689,344","133,787","129,200",289,4.9
Feb 2016,64,"7,495,757","117,121","96,750",288,4.7
Mar 2016,65,"8,838,553","135,978","113,900",306,5.0
Apr 2016,56,"6,671,270","119,130","113,300",310,5.2
May 2016,53,"6,566,745","123,901","137,350",308,5.2
Jun 2016,87,"11,752,515","135,086","119,500",303,4.9
Jul 2016,54,"7,002,620","129,678","128,950",291,4.9
Aug 2016,79,"10,703,623","135,489","129,000",303,5.0
Sep 2016,76,"10,067,355","132,465","109,500",299,4.8
Oct 2016,73,"8,750,239","119,866","112,500",276,4.3
Nov 2016,62,"10,489,541","169,186","107,500",270,4.1
Dec 2016,69,"7,736,882","112,129","89,000",266,4.1
Jan 2017,63,"9,593,965","152,285","130,500",261,3.9
Feb 2017,41,"5,781,096","141,002","136,900",283,4.4
Mar 2017,76,"9,998,265","131,556","113,500",250,3.8
Apr 2017,69,"9,656,109","139,944","117,000",242,3.6
May 2017,87,"11,334,376","130,280","108,000",253,3.6
Jun 2017,74,"10,043,283","135,720","138,950",263,3.8
Jul 2017,82,"14,182,313","172,955","141,000",272,3.8
Aug 2017,86,"11,890,022","138,256","136,000",283,4.0
Sep 2017,55,"7,187,190","130,676","117,590",283,4.1
Oct 2017,65,"9,352,734","143,888","145,000",288,4.2
Nov 2017,70,"9,433,580","134,765","144,500",283,4.1
Dec 2017,77,"10,846,595","140,865","120,000",267,3.8
Jan 2018,61,"8,701,269","142,644","132,000",262,3.7
Feb 2018,61,"7,840,460","128,532","104,400",238,3.3
Mar 2018,71,"9,989,819","140,702","128,000",225,3.1
Apr 2018,85,"12,106,122","142,425","135,000",206,2.8
May 2018,89,"11,141,474","125,185","115,000",230,3.2
Jun 2018,112,"17,273,625","154,229","142,500",232,3.0
Jul 2018,85,"12,463,036","146,624","139,000",226,3.0
Aug 2018,96,"15,740,386","163,962","144,950",241,3.1
Sep 2018,88,"12,838,756","145,895","138,900",267,3.3
Oct 2018,65,"9,338,630","143,671","129,950",263,3.3
Nov 2018,71,"10,284,422","144,851","135,000",237,3.0
