Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,957,"185,458,116","193,791","110,000",,
Feb 2011,"1,097","237,608,264","216,598","116,000",,
Mar 2011,"1,617","350,896,253","217,004","115,000",,
Apr 2011,"1,625","379,277,490","233,402","125,250",,
May 2011,"1,783","418,997,964","234,996","132,712",,
Jun 2011,"1,891","420,392,269","222,312","126,000",,
Jul 2011,"1,635","350,957,343","214,653","129,900",,
Aug 2011,"1,843","397,758,500","215,821","129,000",,
Sep 2011,"1,492","277,983,323","186,316","120,000",,
Oct 2011,"1,381","282,353,249","204,456","116,000",,
Nov 2011,"1,402","257,187,807","183,444","118,000",,
Dec 2011,"1,452","318,662,839","219,465","128,000",,
Jan 2012,"1,083","206,280,761","190,472","110,975",,
Feb 2012,"1,295","267,703,555","206,721","125,500",,
Mar 2012,"1,722","412,985,439","239,829","145,000",,
Apr 2012,"1,817","411,380,435","226,406","134,000",,
May 2012,"2,083","515,423,240","247,443","147,000",,
Jun 2012,"2,033","488,521,881","240,296","146,000",,
Jul 2012,"1,978","475,758,374","240,525","145,000",,
Aug 2012,"2,068","462,320,680","223,559","145,000",,
Sep 2012,"1,699","373,390,713","219,771","136,100",,
Oct 2012,"1,694","347,799,394","205,313","133,750",,
Nov 2012,"1,641","366,164,739","223,135","135,000",,
Dec 2012,"1,628","391,015,305","240,181","147,000",,
Jan 2013,"1,315","254,506,203","193,541","122,000",,
Feb 2013,"1,483","310,858,416","209,615","140,000",,
Mar 2013,"2,107","531,951,609","252,469","157,000",,
Apr 2013,"2,192","622,997,108","284,214","169,000",,
May 2013,"2,444","675,907,016","276,558","176,100",,
Jun 2013,"2,332","670,135,489","287,365","176,000",,
Jul 2013,"2,385","634,117,266","265,877","175,000",,
Aug 2013,"2,331","613,819,958","263,329","169,900",,
Sep 2013,"1,892","460,029,198","243,144","160,000",,
Oct 2013,"1,904","456,988,716","240,015","156,250",,
Nov 2013,"1,566","397,359,546","253,742","152,000",,
Dec 2013,"1,764","471,823,342","267,474","166,500",,
Jan 2014,"1,291","304,176,663","235,613","149,900",,
Feb 2014,"1,544","425,419,907","275,531","162,950",,
Mar 2014,"1,901","515,830,410","271,347","170,000",,
Apr 2014,"2,101","590,728,679","281,165","170,000",,
May 2014,"2,276","676,424,269","297,199","176,650",,
Jun 2014,"2,376","661,946,906","278,597","180,000",,
