Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,422,"90,232,240","213,820","171,250","3,890",5.5
Feb 2011,489,"111,345,399","227,700","185,000","3,914",5.6
Mar 2011,655,"144,456,590","220,544","171,450","4,107",6.0
Apr 2011,756,"164,966,827","218,210","172,534","4,194",6.3
May 2011,850,"191,694,415","225,523","186,000","4,158",6.4
Jun 2011,933,"214,374,313","229,769","185,000","4,114",6.4
Jul 2011,905,"208,346,219","230,217","187,326","4,060",6.1
Aug 2011,913,"211,015,242","231,123","179,000","3,818",5.5
Sep 2011,755,"190,270,313","252,014","175,000","3,644",5.2
Oct 2011,633,"141,854,435","224,099","184,400","3,530",5.0
Nov 2011,631,"141,189,910","223,756","172,000","3,383",4.8
Dec 2011,688,"169,949,916","247,020","174,960","3,138",4.4
Jan 2012,499,"105,630,501","211,684","170,500","3,128",4.3
Feb 2012,624,"138,029,765","221,202","179,995","3,201",4.3
Mar 2012,836,"181,372,058","216,952","179,750","3,316",4.4
Apr 2012,957,"251,309,394","262,601","185,000","3,378",4.4
May 2012,"1,053","246,052,058","233,668","190,000","3,467",4.4
Jun 2012,"1,100","263,278,818","239,344","199,000","3,389",4.2
Jul 2012,"1,054","247,790,130","235,095","190,000","3,294",4.1
Aug 2012,"1,214","282,818,714","232,964","193,654","3,097",3.7
Sep 2012,839,"200,586,914","239,079","194,000","2,967",3.5
Oct 2012,931,"203,000,128","218,045","179,500","2,817",3.2
Nov 2012,774,"181,093,095","233,970","188,000","2,695",3.1
Dec 2012,794,"186,750,685","235,202","194,000","2,482",2.8
Jan 2013,683,"149,944,864","219,539","182,500","2,466",2.7
Feb 2013,747,"164,325,268","219,980","180,000","2,454",2.7
Mar 2013,"1,058","258,594,509","244,418","198,500","2,500",2.7
Apr 2013,"1,219","306,707,684","251,606","207,500","2,523",2.6
May 2013,"1,395","349,481,102","250,524","213,000","2,604",2.6
Jun 2013,"1,333","346,291,523","259,784","215,000","2,687",2.7
Jul 2013,"1,417","364,234,873","257,046","214,300","2,771",2.7
Aug 2013,"1,432","374,368,022","261,430","215,950","2,703",2.6
Sep 2013,"1,099","267,445,559","243,354","196,000","2,633",2.5
Oct 2013,969,"239,621,119","247,287","203,750","2,543",2.4
Nov 2013,864,"207,104,058","239,704","202,000","2,408",2.2
Dec 2013,861,"213,745,624","248,253","202,000","2,268",2.1
Jan 2014,614,"146,887,416","239,230","197,350","2,290",2.1
Feb 2014,765,"189,160,713","247,269","204,900","2,344",2.2
Mar 2014,"1,047","272,482,498","260,251","215,000","2,334",2.2
Apr 2014,"1,123","294,024,890","261,821","220,000","2,437",2.3
May 2014,"1,315","358,924,928","272,947","225,500","2,613",2.4
Jun 2014,"1,458","399,615,866","274,085","235,000","2,679",2.5
Jul 2014,"1,453","392,502,975","270,133","230,000","2,747",2.5
Aug 2014,"1,396","365,408,869","261,754","224,450","2,683",2.5
Sep 2014,"1,126","317,175,410","281,683","220,950","2,513",2.3
Oct 2014,"1,108","289,538,260","261,316","215,000","2,439",2.2
Nov 2014,823,"221,363,623","268,972","225,000","2,296",2.1
Dec 2014,"1,032","290,413,664","281,409","235,000","2,131",1.9
Jan 2015,655,"186,249,624","284,351","232,000","1,925",1.7
Feb 2015,803,"221,332,155","275,632","228,736","1,931",1.7
Mar 2015,"1,066","307,190,471","288,171","247,132","2,001",1.8
