Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,50,"6,387,255","127,745","122,412",,
Feb 2011,46,"6,552,420","142,444","133,500",,
Mar 2011,110,"15,771,577","143,378","139,500",,
Apr 2011,94,"13,235,019","140,798","135,000",,
May 2011,93,"13,546,137","145,657","136,000",,
Jun 2011,90,"14,223,291","158,037","137,320",,
Jul 2011,82,"12,714,765","155,058","139,500",,
Aug 2011,85,"12,862,792","151,327","145,000",,
Sep 2011,82,"12,483,320","152,236","136,870",,
Oct 2011,86,"12,840,290","149,306","149,500",,
Nov 2011,80,"10,463,541","130,794","115,675",,
Dec 2011,70,"10,769,100","153,844","136,000",,
Jan 2012,73,"11,867,255","162,565","144,565",,
Feb 2012,90,"14,754,485","163,939","138,495",,
Mar 2012,106,"16,775,666","158,261","140,250",,
Apr 2012,96,"14,562,328","151,691","136,000",,
May 2012,103,"16,902,824","164,105","157,000",,
Jun 2012,112,"18,709,983","167,053","150,000",,
Jul 2012,99,"15,055,580","152,077","140,000",,
Aug 2012,124,"21,731,590","175,255","153,375",,
Sep 2012,104,"16,655,887","160,153","154,500",,
Oct 2012,90,"14,266,376","158,515","151,600",,
Nov 2012,96,"15,174,404","158,067","149,950",,
Dec 2012,68,"12,256,163","180,238","157,002",,
Jan 2013,75,"13,582,297","181,097","150,305",,
Feb 2013,69,"10,963,619","158,893","148,000",,
Mar 2013,106,"18,031,145","170,105","152,692",,
Apr 2013,118,"19,153,006","162,314","151,092",,
May 2013,106,"20,802,507","196,250","164,950",,
Jun 2013,117,"22,395,159","191,412","155,900",,
Jul 2013,111,"20,562,760","185,250","166,000",,
Aug 2013,133,"24,245,742","182,299","168,000",,
Sep 2013,83,"15,126,844","182,251","169,500",,
Oct 2013,99,"19,207,001","194,010","152,600",,
Nov 2013,73,"13,377,581","183,255","160,000",,
Dec 2013,103,"19,887,185","193,079","170,000",,
Jan 2014,67,"10,018,518","149,530","141,900",,
Feb 2014,63,"10,544,599","167,375","150,000",,
Mar 2014,104,"19,539,816","187,883","163,450",,
Apr 2014,106,"20,372,700","192,195","160,000",,
May 2014,114,"21,499,386","188,591","174,950",,
Jun 2014,142,"27,562,518","194,102","173,500",,
Jul 2014,130,"24,811,444","190,857","175,000",,
Aug 2014,113,"21,470,286","190,003","173,500",,
Sep 2014,107,"21,218,849","198,307","183,500",,
Oct 2014,106,"19,515,793","184,111","171,250",,
Nov 2014,104,"24,254,990","233,221","194,950",,
Dec 2014,107,"20,954,767","195,839","173,000",,
Jan 2015,65,"10,040,440","154,468","159,000",290,2.8
Feb 2015,65,"11,290,784","173,704","165,000",284,2.7
Mar 2015,95,"19,068,774","200,724","184,500",280,2.7
Apr 2015,114,"21,025,881","184,438","169,950",290,2.8
May 2015,93,"18,891,588","203,135","179,500",283,2.7
Jun 2015,115,"22,112,644","192,284","178,000",283,2.8
Jul 2015,125,"22,640,120","181,121","179,900",291,2.9
Aug 2015,93,"20,179,790","216,987","195,000",320,3.2
Sep 2015,110,"21,293,874","193,581","170,500",361,3.6
Oct 2015,95,"18,282,011","192,442","175,000",370,3.8
Nov 2015,64,"12,121,530","189,399","152,500",401,4.2
Dec 2015,82,"15,816,417","192,883","180,500",393,4.2
Jan 2016,57,"10,646,754","186,785","170,000",402,4.4
Feb 2016,72,"13,418,654","186,370","162,450",429,4.6
Mar 2016,91,"16,525,284","181,597","169,900",453,4.9
Apr 2016,112,"20,598,632","183,916","165,000",451,4.9
May 2016,100,"16,577,673","165,777","161,000",462,5.0
Jun 2016,121,"23,949,189","197,927","175,000",460,4.9
Jul 2016,74,"12,854,172","173,705","164,750",495,5.5
Aug 2016,123,"21,527,406","175,020","156,500",521,5.7
Sep 2016,79,"14,408,912","182,391","170,000",478,5.4
Oct 2016,97,"16,998,224","175,239","169,000",493,5.5
Nov 2016,77,"13,987,157","181,651","175,000",459,5.1
Dec 2016,95,"16,854,058","177,411","165,000",427,4.7
Jan 2017,67,"11,842,201","176,749","164,000",431,4.7
Feb 2017,76,"14,371,342","189,097","179,450",419,4.5
Mar 2017,121,"23,198,317","191,722","171,000",414,4.3
Apr 2017,90,"14,987,518","166,528","155,000",408,4.4
May 2017,113,"21,173,561","187,377","167,000",400,4.2
Jun 2017,135,"27,129,418","200,959","190,000",403,4.2
Jul 2017,135,"24,854,108","184,105","172,900",416,4.1
Aug 2017,118,"23,021,320","195,096","179,000",383,3.8
Sep 2017,126,"25,160,093","199,683","179,900",367,3.5
Oct 2017,119,"22,966,063","192,992","180,000",325,3.1
Nov 2017,101,"20,139,803","199,404","178,000",284,2.6
Dec 2017,127,"26,498,469","208,649","185,900",252,2.3
Jan 2018,86,"17,873,653","207,833","197,500",208,1.9
Feb 2018,118,"23,365,891","198,016","185,000",177,1.5
Mar 2018,152,"30,864,825","203,058","187,000",173,1.5
Apr 2018,148,"29,784,398","201,246","189,500",204,1.7
May 2018,157,"36,141,707","230,202","200,000",180,1.4
Jun 2018,155,"35,085,802","226,360","215,000",193,1.5
Jul 2018,154,"35,347,812","229,531","222,550",197,1.5
Aug 2018,152,"34,207,170","225,047","202,500",197,1.5
Sep 2018,152,"33,891,440","222,970","220,000",221,1.6
Oct 2018,142,"31,198,857","219,710","204,250",225,1.6
Nov 2018,135,"31,775,834","235,377","205,500",210,1.5
