Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,299,"43,598,723","145,815","128,100",,
Feb 2011,296,"44,707,658","151,039","131,725",,
Mar 2011,437,"66,720,863","152,679","129,500",,
Apr 2011,438,"65,298,699","149,084","129,475",,
May 2011,429,"63,363,839","147,701","129,450",,
Jun 2011,474,"72,139,301","152,193","130,000",,
Jul 2011,469,"72,869,007","155,371","129,950",,
Aug 2011,556,"87,924,399","158,137","139,800",,
Sep 2011,449,"65,879,753","146,726","130,000",,
Oct 2011,442,"68,195,166","154,288","134,950",,
Nov 2011,384,"60,580,560","157,762","134,975",,
Dec 2011,435,"67,663,971","155,549","135,950",,
Jan 2012,308,"45,245,293","146,900","129,475",,
Feb 2012,373,"58,197,233","156,025","135,950",,
Mar 2012,417,"59,649,713","143,045","125,000",,
Apr 2012,490,"72,696,043","148,359","132,000",,
May 2012,491,"74,274,902","151,273","132,500",,
Jun 2012,517,"78,049,202","150,966","135,000",,
Jul 2012,507,"78,304,222","154,446","140,000",,
Aug 2012,536,"87,345,749","162,958","142,475",,
Sep 2012,510,"78,803,125","154,516","134,950",,
Oct 2012,529,"85,214,421","161,086","138,950",,
Nov 2012,468,"73,100,620","156,198","141,958",,
Dec 2012,532,"85,868,174","161,406","146,975",,
Jan 2013,393,"56,550,766","143,895","134,000",,
Feb 2013,343,"53,014,938","154,563","136,500",,
Mar 2013,457,"71,057,159","155,486","140,000",,
Apr 2013,514,"79,729,487","155,116","135,000",,
May 2013,481,"72,328,208","150,370","135,000",,
Jun 2013,493,"80,787,835","163,870","140,880",,
Jul 2013,614,"102,477,001","166,901","144,950",,
Aug 2013,528,"85,801,981","162,504","143,975",,
Sep 2013,488,"77,701,996","159,225","139,010",,
Oct 2013,469,"78,461,903","167,296","145,000",,
Nov 2013,382,"58,322,305","152,676","136,500",,
Dec 2013,509,"80,589,556","158,329","143,450",,
Jan 2014,355,"54,001,154","152,116","131,000",,
Feb 2014,385,"57,299,754","148,831","133,000",,
Mar 2014,511,"77,944,012","152,532","135,000",,
Apr 2014,549,"83,092,037","151,352","134,900",,
May 2014,510,"82,055,331","160,893","145,000",,
Jun 2014,623,"101,632,027","163,133","144,000",,
Jul 2014,581,"96,981,864","166,922","146,000",,
Aug 2014,531,"82,607,166","155,569","138,000",,
Sep 2014,487,"72,645,553","149,170","136,450",,
Oct 2014,504,"80,529,764","159,781","148,950",,
Nov 2014,458,"69,614,835","151,997","138,925",,
Dec 2014,533,"82,978,084","155,681","143,900",,
Jan 2015,402,"60,688,319","150,966","134,690","3,812",7.5
Feb 2015,383,"61,381,696","160,266","138,950","3,848",7.6
Mar 2015,588,"91,600,797","155,784","139,000","3,814",7.4
Apr 2015,623,"93,942,233","150,790","135,700","3,821",7.4
May 2015,591,"93,132,482","157,585","142,950","3,770",7.2
Jun 2015,682,"116,113,711","170,255","146,700","3,908",7.4
Jul 2015,665,"110,954,394","166,849","146,900","3,971",7.4
Aug 2015,624,"99,024,197","158,693","142,000","3,845",7.1
Sep 2015,572,"88,527,897","154,769","140,000","3,920",7.1
Oct 2015,578,"87,811,266","151,923","139,450","3,874",6.9
Nov 2015,477,"78,074,793","163,679","147,950","3,717",6.6
Dec 2015,568,"92,063,622","162,084","144,600","3,702",6.6
Jan 2016,387,"58,995,710","152,444","137,207","3,728",6.6
Feb 2016,449,"67,519,229","150,377","136,950","3,541",6.2
Mar 2016,635,"96,545,788","152,041","138,000","3,481",6.1
Apr 2016,590,"88,459,503","149,931","137,050","3,536",6.2
May 2016,674,"108,006,385","160,247","145,000","3,643",6.3
Jun 2016,691,"112,251,067","162,447","148,000","3,554",6.2
Jul 2016,660,"107,060,662","162,213","144,925","3,522",6.1
Aug 2016,695,"114,309,765","164,474","146,450","3,466",6.0
Sep 2016,580,"93,610,587","161,398","142,950","3,529",6.1
Oct 2016,621,"105,089,419","169,226","151,870","3,627",6.2
Nov 2016,553,"90,097,600","162,925","145,950","3,506",5.9
Dec 2016,628,"101,416,188","161,491","150,250","3,326",5.6
Jan 2017,482,"76,030,530","157,740","146,950","3,434",5.7
Feb 2017,472,"74,759,751","158,389","144,725","3,530",5.8
Mar 2017,662,"110,072,460","166,273","145,475","3,406",5.6
Apr 2017,612,"97,985,235","160,107","145,325","3,489",5.7
May 2017,747,"119,249,039","159,637","147,000","3,413",5.5
Jun 2017,791,"129,617,719","163,866","150,950","3,523",5.6
Jul 2017,661,"108,957,898","164,838","151,000","3,593",5.7
Aug 2017,753,"128,529,757","170,690","153,025","3,497",5.5
Sep 2017,641,"106,370,920","165,945","149,000","3,575",5.6
Oct 2017,693,"110,719,538","159,768","147,250","3,664",5.7
Nov 2017,646,"108,857,804","168,511","152,500","3,615",5.6
Dec 2017,677,"113,390,452","167,490","157,950","3,333",5.1
Jan 2018,471,"75,692,414","160,706","146,500","3,382",5.2
Feb 2018,523,"84,063,580","160,733","145,000","3,424",5.2
Mar 2018,725,"116,993,297","161,370","148,721","3,244",4.9
Apr 2018,782,"134,907,913","172,517","154,000","3,117",4.6
May 2018,824,"142,800,067","173,301","154,000","3,070",4.5
Jun 2018,836,"147,155,271","176,023","154,975","3,052",4.4
Jul 2018,857,"154,098,753","179,812","157,500","3,023",4.3
Aug 2018,822,"144,922,432","176,305","154,000","2,958",4.2
Sep 2018,653,"112,215,358","171,846","155,000","2,976",4.2
Oct 2018,726,"125,114,029","172,333","155,000","3,104",4.4
Nov 2018,620,"108,284,039","174,652","155,000","2,921",4.1
