Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,64,"8,573,030","133,954","125,950",,
Feb 2011,82,"13,214,119","161,148","150,600",,
Mar 2011,126,"17,420,097","138,255","118,000",,
Apr 2011,106,"14,773,888","139,376","130,000",,
May 2011,133,"18,886,825","142,006","134,000",,
Jun 2011,144,"23,279,171","161,661","133,650",,
Jul 2011,112,"16,087,827","143,641","129,000",,
Aug 2011,159,"25,853,614","162,601","143,500",,
Sep 2011,119,"16,649,008","139,908","122,500",,
Oct 2011,105,"16,216,322","154,441","135,000",,
Nov 2011,90,"12,112,218","134,580","130,148",,
Dec 2011,144,"19,305,261","134,064","121,500",,
Jan 2012,97,"14,441,723","148,884","150,000",,
Feb 2012,99,"14,391,618","145,370","136,500",,
Mar 2012,139,"19,444,302","139,887","124,900",,
Apr 2012,126,"19,026,055","151,000","135,000",,
May 2012,158,"26,846,799","169,916","154,075",,
Jun 2012,166,"29,575,191","178,164","147,450",,
Jul 2012,142,"24,344,681","171,441","143,250",,
Aug 2012,184,"28,610,088","155,490","141,815",,
Sep 2012,134,"21,262,416","158,675","143,500",,
Oct 2012,134,"23,137,720","172,670","159,500",,
Nov 2012,109,"17,412,036","159,743","150,000",,
Dec 2012,129,"20,339,693","157,672","142,000",,
Jan 2013,108,"17,263,110","159,844","136,950",,
Feb 2013,110,"16,488,718","149,897","139,500",,
Mar 2013,141,"22,377,378","158,705","146,500",,
Apr 2013,178,"29,167,004","163,860","149,458",,
May 2013,187,"33,693,836","180,181","164,500",,
Jun 2013,172,"28,983,058","168,506","149,750",,
Jul 2013,193,"34,857,592","180,609","159,900",,
Aug 2013,203,"36,308,824","178,861","165,000",,
Sep 2013,168,"31,380,293","186,787","168,950",,
Oct 2013,138,"26,246,709","190,194","160,850",,
Nov 2013,134,"24,209,519","180,668","151,750",,
Dec 2013,127,"21,359,279","168,183","150,000",,
Jan 2014,127,"21,101,342","166,152","155,000",,
Feb 2014,144,"24,309,849","168,818","154,950",,
Mar 2014,174,"32,141,132","184,719","164,500",,
Apr 2014,166,"30,034,017","180,928","164,995",,
May 2014,203,"37,716,282","185,794","166,000",,
Jun 2014,201,"39,410,345","196,071","165,000",,
Jul 2014,210,"40,948,284","194,992","180,000",,
Aug 2014,216,"41,885,939","193,916","158,775",,
Sep 2014,171,"33,783,736","197,566","166,000",,
Oct 2014,174,"31,342,247","180,128","163,000",,
Nov 2014,152,"28,256,025","185,895","159,500",,
Dec 2014,171,"32,711,711","191,297","170,000",,
Jan 2015,123,"22,259,460","180,971","175,000",547,3.1
Feb 2015,141,"27,938,616","198,146","174,000",526,3.0
Mar 2015,201,"40,328,006","200,637","175,000",498,2.8
Apr 2015,167,"34,432,100","206,180","193,000",556,3.1
May 2015,228,"46,895,537","205,682","189,890",543,3.0
Jun 2015,227,"48,754,309","214,777","190,000",600,3.3
Jul 2015,255,"55,747,552","218,618","190,000",655,3.5
Aug 2015,229,"46,169,421","201,613","185,000",568,3.0
Sep 2015,224,"47,443,139","211,800","189,900",598,3.1
Oct 2015,200,"39,772,578","198,863","182,150",562,2.9
Nov 2015,178,"34,286,753","192,622","180,750",522,2.7
Dec 2015,187,"41,100,734","219,790","204,900",448,2.3
Jan 2016,133,"28,189,289","211,950","187,000",496,2.5
Feb 2016,144,"32,264,822","224,061","199,812",530,2.7
Mar 2016,216,"48,099,284","222,682","209,975",503,2.5
Apr 2016,221,"63,873,976","289,023","208,000",508,2.5
May 2016,236,"54,582,380","231,281","215,000",524,2.6
Jun 2016,294,"69,850,694","237,587","220,500",550,2.6
Jul 2016,243,"57,440,524","236,381","223,000",552,2.6
Aug 2016,252,"59,687,585","236,855","219,500",565,2.7
Sep 2016,253,"58,594,208","231,598","221,000",547,2.6
Oct 2016,192,"45,600,697","237,504","219,000",536,2.5
Nov 2016,208,"50,929,374","244,853","237,000",479,2.2
Dec 2016,197,"47,834,359","242,814","220,000",420,1.9
Jan 2017,144,"34,934,025","242,597","226,591",412,1.9
Feb 2017,166,"41,244,735","248,462","220,000",458,2.1
Mar 2017,216,"52,558,727","243,327","237,012",473,2.2
Apr 2017,220,"53,463,898","243,018","237,500",487,2.2
May 2017,257,"64,920,796","252,610","236,000",547,2.5
Jun 2017,247,"62,799,098","254,247","240,993",601,2.8
Jul 2017,235,"61,484,207","261,635","243,750",637,3.0
Aug 2017,266,"68,064,369","255,881","246,700",640,3.0
Sep 2017,218,"59,111,477","271,154","253,500",670,3.1
Oct 2017,226,"55,033,857","243,513","238,250",643,2.9
Nov 2017,237,"60,269,732","254,303","235,544",606,2.7
Dec 2017,224,"57,957,514","258,739","244,500",518,2.3
Jan 2018,143,"39,673,131","277,434","270,000",516,2.3
Feb 2018,188,"49,520,288","263,406","245,000",507,2.2
Mar 2018,217,"58,397,905","269,115","259,000",545,2.4
Apr 2018,221,"58,307,217","263,834","250,000",609,2.7
May 2018,269,"75,162,592","279,415","265,000",670,3.0
Jun 2018,282,"78,772,803","279,336","258,000",748,3.3
Jul 2018,310,"83,882,114","270,587","247,224",748,3.2
Aug 2018,290,"81,183,120","279,942","242,500",740,3.1
Sep 2018,252,"65,899,393","261,506","238,269",687,2.9
Oct 2018,258,"71,025,573","275,293","256,500",667,2.8
Nov 2018,201,"56,286,927","280,034","278,916",671,2.8
