Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,2,"509,500","254,750","254,750",,
Feb 2011,3,"362,000","120,667","85,000",,
Mar 2011,2,"325,500","162,750","162,750",,
Apr 2011,1,"146,000","146,000","146,000",,
May 2011,4,"298,350","74,588","54,675",,
Jun 2011,,,,,,
Jul 2011,4,"1,371,000","342,750","338,000",,
Aug 2011,2,"218,000","109,000","109,000",,
Sep 2011,3,"1,134,500","378,167","427,000",,
Oct 2011,3,"348,000","116,000","137,000",,
Nov 2011,2,"204,000","102,000","102,000",,
Dec 2011,1,"77,000","77,000","77,000",,
Jan 2012,3,"1,429,760","476,587","269,900",,
Feb 2012,1,"99,500","99,500","99,500",,
Mar 2012,3,"504,192","168,064","170,000",,
Apr 2012,5,"928,600","185,720","124,500",,
May 2012,3,"574,000","191,333","230,000",,
Jun 2012,2,"915,000","457,500","457,500",,
Jul 2012,,,,,,
Aug 2012,3,"454,000","151,333","170,000",,
Sep 2012,2,"359,000","179,500","179,500",,
Oct 2012,2,"512,500","256,250","256,250",,
Nov 2012,2,"328,000","164,000","164,000",,
Dec 2012,1,"233,564","233,564","233,564",,
Jan 2013,3,"330,000","110,000","45,000",,
Feb 2013,5,"1,006,000","201,200","134,000",,
Mar 2013,2,"221,500","110,750","110,750",,
Apr 2013,4,"1,087,000","271,750","226,500",,
May 2013,4,"1,331,500","332,875","312,750",,
Jun 2013,4,"990,930","247,732","183,750",,
Jul 2013,4,"537,900","134,475","136,450",,
Aug 2013,1,"79,900","79,900","79,900",,
Sep 2013,5,"952,050","190,410","174,900",,
Oct 2013,4,"978,589","244,647","289,500",,
Nov 2013,1,"225,500","225,500","225,500",,
Dec 2013,2,"635,000","317,500","317,500",,
Jan 2014,5,"1,306,700","261,340","275,000",,
Feb 2014,6,"1,978,000","329,667","335,500",,
Mar 2014,5,"1,299,360","259,872","218,000",,
Apr 2014,22,"5,335,409","242,519","175,250",,
May 2014,25,"6,378,500","255,140","235,000",,
Jun 2014,15,"3,245,000","216,333","135,500",,
Jul 2014,18,"5,214,952","289,720","238,500",,
Aug 2014,21,"4,682,068","222,956","193,000",,
Sep 2014,19,"3,540,500","186,342","149,500",,
Oct 2014,17,"8,539,500","502,324","145,000",,
Nov 2014,18,"3,246,750","180,375","133,750",,
Dec 2014,17,"3,568,898","209,935","165,000",,
Jan 2015,14,"2,774,539","198,181","184,950",147,9.0
Feb 2015,12,"3,760,010","313,334","230,000",162,9.6
Mar 2015,21,"6,790,789","323,371","150,555",166,9.1
Apr 2015,13,"2,910,532","223,887","235,000",190,10.9
May 2015,31,"9,289,040","299,646","190,000",197,10.9
Jun 2015,27,"3,784,300","140,159","125,000",173,9.1
Jul 2015,29,"8,456,534","291,605","225,000",164,8.2
Aug 2015,17,"4,599,830","270,578","207,000",179,9.1
Sep 2015,19,"3,390,500","178,447","200,000",195,10.0
Oct 2015,27,"6,168,611","228,467","189,500",177,8.7
Nov 2015,3,"649,900","216,633","134,900",174,9.1
Dec 2015,7,"1,256,500","179,500","185,000",174,9.5
Jan 2016,18,"4,769,711","264,984","214,500",181,7.8
Feb 2016,20,"4,389,500","219,475","182,250",186,7.8
Mar 2016,16,"4,404,750","275,297","171,000",186,8.0
Apr 2016,19,"6,746,850","355,097","180,000",205,8.7
May 2016,17,"3,301,500","194,206","160,000",216,9.7
Jun 2016,31,"8,032,823","259,123","174,000",216,9.7
Jul 2016,27,"7,768,463","287,721","215,000",213,9.8
Aug 2016,31,"7,248,754","233,831","155,000",206,9.1
Sep 2016,19,"5,379,938","283,155","224,500",221,9.9
Oct 2016,17,"4,059,550","238,797","208,750",223,10.5
Nov 2016,15,"4,404,322","293,621","209,000",215,10.0
Dec 2016,32,"5,817,300","181,791","157,000",196,9.0
Jan 2017,20,"4,533,200","226,660","125,250",208,9.5
Feb 2017,17,"3,108,850","182,874","164,000",206,9.5
Mar 2017,31,"7,401,948","238,773","186,500",209,9.1
Apr 2017,26,"6,772,349","260,475","173,000",212,9.0
May 2017,27,"6,106,875","226,181","170,000",209,8.6
Jun 2017,28,"6,584,167","235,149","200,000",208,8.6
Jul 2017,29,"8,609,451","296,878","180,000",210,8.7
Aug 2017,24,"8,831,800","367,992","227,000",210,8.9
Sep 2017,22,"7,672,231","348,738","247,500",211,8.8
Oct 2017,15,"3,190,300","212,687","200,000",211,8.9
Nov 2017,18,"3,453,645","191,869","145,000",190,7.9
Dec 2017,16,"5,852,000","365,750","175,000",201,8.9
Jan 2018,21,"4,348,500","207,071","187,500",205,9.0
Feb 2018,13,"2,865,000","220,385","158,500",202,9.0
Mar 2018,21,"5,254,750","250,226","245,000",218,10.1
Apr 2018,34,"8,582,344","252,422","220,000",222,9.9
May 2018,25,"8,207,590","328,304","255,870",221,10.0
Jun 2018,19,"5,440,150","286,324","190,000",240,11.2
Jul 2018,32,"7,871,650","245,989","172,000",252,11.6
Aug 2018,22,"5,586,664","253,939","240,000",263,12.2
Sep 2018,24,"6,731,624","280,484","139,000",286,13.2
Oct 2018,21,"7,196,595","342,695","169,800",282,12.7
Nov 2018,21,"7,512,917","357,758","180,000",290,12.9
