Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,385,"87,609,620","227,557","189,000","3,972",6.4
Feb 2011,496,"111,789,629","225,382","190,000","3,971",6.3
Mar 2011,659,"156,506,795","237,491","212,500","4,216",6.8
Apr 2011,637,"142,998,255","224,487","190,000","4,292",7.0
May 2011,764,"183,857,008","240,651","202,500","4,280",7.0
Jun 2011,869,"225,011,168","258,931","229,000","4,367",7.0
Jul 2011,782,"196,331,184","251,063","213,464","4,307",6.9
Aug 2011,823,"193,182,729","234,730","207,055","4,073",6.4
Sep 2011,693,"160,189,098","231,153","205,000","3,967",6.1
Oct 2011,559,"123,251,761","220,486","200,000","3,741",5.7
Nov 2011,629,"148,170,193","235,565","207,500","3,526",5.3
Dec 2011,705,"172,390,060","244,525","209,000","3,291",4.9
Jan 2012,434,"94,884,926","218,629","190,600","3,372",5.0
Feb 2012,585,"134,477,107","229,875","194,000","3,360",5.0
Mar 2012,751,"177,821,581","236,780","209,000","3,454",5.0
Apr 2012,767,"187,247,369","244,130","214,900","3,581",5.1
May 2012,947,"234,590,920","247,720","212,000","3,524",4.9
Jun 2012,"1,024","259,580,649","253,497","215,000","3,468",4.8
Jul 2012,"1,071","276,555,436","258,222","223,667","3,347",4.5
Aug 2012,"1,047","256,787,327","245,260","209,900","3,150",4.1
Sep 2012,756,"173,650,037","229,696","207,000","2,908",3.8
Oct 2012,819,"195,698,041","238,948","216,391","2,707",3.4
Nov 2012,781,"195,483,636","250,299","215,000","2,511",3.1
Dec 2012,842,"214,481,738","254,729","216,720","2,269",2.8
Jan 2013,583,"136,151,185","233,535","204,900","2,278",2.7
Feb 2013,640,"151,629,526","236,921","208,250","2,318",2.8
Mar 2013,870,"215,057,103","247,192","225,000","2,152",2.5
Apr 2013,"1,004","270,178,670","269,102","235,650","2,055",2.4
May 2013,"1,400","389,244,882","278,032","254,000","2,076",2.3
Jun 2013,"1,188","346,230,011","291,439","250,000","2,206",2.4
Jul 2013,"1,237","350,767,736","283,563","250,000","2,255",2.4
Aug 2013,"1,190","339,128,818","284,982","249,500","2,179",2.3
Sep 2013,965,"272,034,548","281,901","242,911","2,170",2.3
Oct 2013,895,"245,962,574","274,819","236,250","2,084",2.2
Nov 2013,768,"218,433,397","284,418","245,000","1,909",2.0
Dec 2013,921,"269,687,767","292,821","259,000","1,716",1.8
Jan 2014,603,"162,257,974","269,085","238,000","1,791",1.8
Feb 2014,707,"196,222,291","277,542","249,464","1,803",1.8
Mar 2014,912,"267,791,452","293,631","260,000","1,937",2.0
Apr 2014,959,"290,016,127","302,415","260,502","1,977",2.0
May 2014,"1,054","318,598,246","302,275","263,650","2,221",2.3
Jun 2014,"1,242","399,121,912","321,354","285,386","2,375",2.5
Jul 2014,"1,122","355,975,695","317,269","274,680","2,328",2.5
Aug 2014,"1,180","366,650,490","310,721","279,000","2,281",2.4
