Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,219,"39,587,675","180,766","135,000",,
Feb 2011,248,"46,362,050","186,944","159,950",,
Mar 2011,331,"62,899,817","190,030","156,800",,
Apr 2011,370,"69,930,402","189,001","159,250",,
May 2011,367,"68,828,419","187,543","160,000",,
Jun 2011,387,"72,872,471","188,301","160,000",,
Jul 2011,348,"62,852,357","180,610","146,500",,
Aug 2011,411,"74,293,428","180,763","149,900",,
Sep 2011,344,"66,380,664","192,967","162,200",,
Oct 2011,303,"59,813,914","197,406","163,500",,
Nov 2011,277,"52,579,572","189,818","147,000",,
Dec 2011,322,"61,263,581","190,260","160,000",,
Jan 2012,224,"39,455,016","176,138","135,000",,
Feb 2012,301,"57,858,475","192,221","158,000",,
Mar 2012,348,"63,352,443","182,047","160,000",,
Apr 2012,380,"71,158,413","187,259","159,950",,
May 2012,482,"95,188,960","197,487","168,000",,
Jun 2012,457,"91,902,057","201,099","172,500",,
Jul 2012,448,"86,747,799","193,633","170,000",,
Aug 2012,458,"84,593,302","184,702","152,000",,
Sep 2012,346,"67,460,072","194,971","167,625",,
Oct 2012,388,"76,079,750","196,082","165,000",,
Nov 2012,340,"68,868,168","202,553","165,850",,
Dec 2012,339,"70,422,803","207,737","168,000",,
Jan 2013,264,"45,975,530","174,150","141,995",,
Feb 2013,331,"66,998,487","202,412","160,000",,
Mar 2013,408,"82,014,920","201,017","168,500",,
Apr 2013,447,"91,061,191","203,716","170,000",,
May 2013,547,"114,880,191","210,019","173,200",,
Jun 2013,523,"118,968,581","227,473","185,900",,
Jul 2013,597,"133,509,325","223,634","179,800",,
Aug 2013,580,"130,577,247","225,133","183,750",,
Sep 2013,439,"93,612,030","213,239","179,000",,
Oct 2013,440,"97,375,761","221,309","174,500",,
Nov 2013,348,"70,092,586","201,415","169,900",,
Dec 2013,403,"87,757,913","217,762","172,000",,
Jan 2014,281,"57,383,149","204,210","165,000",,
Feb 2014,388,"83,212,151","214,464","177,514",,
Mar 2014,445,"94,342,999","212,007","182,500",,
Apr 2014,543,"111,834,878","205,957","175,500",,
May 2014,574,"133,166,926","231,998","195,800",,
Jun 2014,625,"142,177,828","227,485","190,000",,
Jul 2014,604,"134,556,591","222,776","180,000",,
Aug 2014,611,"143,811,918","235,371","198,000",,
Sep 2014,494,"110,800,325","224,292","192,750",,
Oct 2014,489,"108,930,626","222,762","178,000",,
Nov 2014,404,"88,283,925","218,525","185,000",,
Dec 2014,460,"105,867,188","230,146","195,000",,
Jan 2015,297,"63,042,001","212,263","185,000","1,831",3.7
Feb 2015,392,"86,296,611","220,144","192,500","1,872",3.8
Mar 2015,485,"109,049,528","224,844","185,000","1,843",3.7
Apr 2015,515,"127,550,762","247,671","200,000","1,914",3.9
May 2015,537,"127,711,907","237,825","206,000","2,034",4.1
Jun 2015,580,"141,193,100","243,436","207,350","2,069",4.2
Jul 2015,632,"146,507,557","231,816","202,375","2,069",4.2
Aug 2015,544,"124,020,638","227,979","200,000","2,039",4.2
Sep 2015,533,"127,010,796","238,294","205,000","1,992",4.1
Oct 2015,472,"111,635,936","236,517","200,000","1,911",3.9
Nov 2015,353,"78,419,006","222,150","188,000","1,800",3.7
Dec 2015,457,"104,033,574","227,645","195,475","1,629",3.4
Jan 2016,295,"67,728,209","229,587","190,000","1,688",3.5
Feb 2016,386,"88,422,167","229,073","204,000","1,721",3.6
Mar 2016,556,"126,650,920","227,789","204,166","1,805",3.7
Apr 2016,528,"129,193,041","244,684","215,000","1,817",3.7
May 2016,620,"156,713,954","252,764","215,000","1,866",3.8
Jun 2016,629,"158,646,197","252,220","219,900","1,985",4.0
Jul 2016,591,"140,077,088","237,017","210,000","2,035",4.1
Aug 2016,623,"151,844,546","243,731","207,100","2,051",4.1
Sep 2016,517,"130,155,548","251,752","218,909","2,054",4.1
Oct 2016,502,"123,623,016","246,261","217,945","2,006",4.0
Nov 2016,423,"103,391,326","244,424","214,900","1,917",3.8
Dec 2016,449,"113,143,140","251,989","220,619","1,799",3.5
Jan 2017,304,"75,232,007","247,474","205,000","1,833",3.6
Feb 2017,399,"99,769,095","250,048","217,746","1,881",3.7
Mar 2017,529,"140,560,800","265,710","238,750","1,975",3.9
Apr 2017,492,"121,276,884","246,498","215,000","2,065",4.1
May 2017,633,"170,505,377","269,361","235,000","2,177",4.3
Jun 2017,678,"178,368,572","263,080","228,750","2,258",4.4
Jul 2017,566,"147,913,256","261,331","230,000","2,292",4.5
Aug 2017,460,"127,603,320","277,399","248,500","2,227",4.5
Sep 2017,563,"150,340,233","267,034","237,810","2,081",4.2
Oct 2017,459,"123,075,805","268,139","235,000","1,965",4.0
Nov 2017,468,"113,232,521","241,950","220,000","1,863",3.7
Dec 2017,522,"133,436,291","255,625","225,510","1,749",3.5
Jan 2018,334,"79,689,434","238,591","215,000","1,837",3.6
Feb 2018,432,"106,214,619","245,867","225,950","1,809",3.5
Mar 2018,525,"139,832,521","266,348","229,900","1,895",3.7
Apr 2018,605,"155,968,738","257,800","235,000","2,024",3.9
May 2018,687,"187,347,711","272,704","228,000","2,126",4.0
Jun 2018,691,"189,069,276","273,617","239,300","2,255",4.3
Jul 2018,584,"158,735,412","271,807","229,500","2,328",4.4
Aug 2018,645,"180,579,168","279,968","232,000","2,352",4.3
Sep 2018,531,"139,634,304","262,965","220,500","2,306",4.3
Oct 2018,524,"145,825,735","278,293","240,000","2,291",4.2
Nov 2018,457,"124,854,282","273,204","233,750","2,210",4.1
