Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,2,"437,400","218,700","218,700",,
Feb 2011,1,"45,000","45,000","45,000",,
Mar 2011,5,"558,200","111,640","63,000",,
Apr 2011,,,,,,
May 2011,8,"776,500","97,062","84,250",,
Jun 2011,8,"1,270,000","158,750","132,750",,
Jul 2011,8,"1,814,870","226,859","83,485",,
Aug 2011,6,"844,900","140,817","106,000",,
Sep 2011,4,"1,112,344","278,086","288,961",,
Oct 2011,5,"526,000","105,200","104,000",,
Nov 2011,3,"875,750","291,917","248,500",,
Dec 2011,5,"544,000","108,800","116,000",,
Jan 2012,4,"650,500","162,625","121,000",,
Feb 2012,4,"719,900","179,975","124,950",,
Mar 2012,5,"352,500","70,500","78,000",,
Apr 2012,6,"596,300","99,383","100,000",,
May 2012,1,"235,000","235,000","235,000",,
Jun 2012,4,"476,900","119,225","129,950",,
Jul 2012,6,"642,939","107,156","79,970",,
Aug 2012,6,"358,000","59,667","41,000",,
Sep 2012,4,"514,900","128,725","94,500",,
Oct 2012,5,"879,950","175,990","225,000",,
Nov 2012,4,"309,750","77,438","45,125",,
Dec 2012,3,"358,900","119,633","75,000",,
Jan 2013,2,"618,924","309,462","309,462",,
Feb 2013,2,"177,462","88,731","88,731",,
Mar 2013,2,"583,000","291,500","291,500",,
Apr 2013,3,"294,900","98,300","64,900",,
May 2013,6,"912,000","152,000","143,500",,
Jun 2013,10,"1,532,420","153,242","166,700",,
Jul 2013,3,"482,000","160,667","127,000",,
Aug 2013,6,"785,400","130,900","98,950",,
Sep 2013,9,"1,144,500","127,167","114,000",,
Oct 2013,6,"446,900","74,483","58,000",,
Nov 2013,8,"1,833,711","229,214","219,000",,
Dec 2013,4,"621,000","155,250","135,000",,
Jan 2014,2,"261,400","130,700","130,700",,
Feb 2014,9,"1,361,458","151,273","157,759",,
Mar 2014,7,"1,170,400","167,200","120,000",,
Apr 2014,3,"399,800","133,267","74,900",,
May 2014,2,"424,900","212,450","212,450",,
Jun 2014,4,"613,000","153,250","128,500",,
Jul 2014,6,"1,096,539","182,756","177,046",,
Aug 2014,10,"1,056,473","105,647","86,000",,
Sep 2014,7,"1,161,900","165,986","169,900",,
Oct 2014,8,"1,188,500","148,562","143,750",,
Nov 2014,2,"414,000","207,000","207,000",,
Dec 2014,6,"744,452","124,075","121,750",,
Jan 2015,2,"122,500","61,250","61,250",38,6.9
Feb 2015,6,"2,950,000","491,667","250,000",31,5.9
Mar 2015,8,"1,160,555","145,069","158,036",38,7.1
Apr 2015,6,"1,744,997","290,833","179,998",49,8.8
May 2015,5,"937,416","187,483","181,574",47,8.1
Jun 2015,6,"2,065,248","344,208","335,000",48,8.0
Jul 2015,4,"523,500","130,875","117,500",50,8.6
Aug 2015,5,"741,827","148,365","167,000",52,9.6
Sep 2015,8,"1,691,432","211,429","207,500",51,9.3
Oct 2015,4,"461,400","115,350","107,500",59,11.4
Nov 2015,7,"1,109,720","158,531","165,000",61,10.9
Dec 2015,7,"1,013,400","144,771","110,000",61,10.8
Jan 2016,4,"552,500","138,125","126,500",65,11.1
Feb 2016,6,"1,375,500","229,250","137,500",60,10.3
Mar 2016,5,"1,290,000","258,000","310,000",53,9.5
Apr 2016,8,"1,171,763","146,470","141,882",55,9.6
May 2016,7,"1,789,000","255,571","135,000",54,9.1
Jun 2016,12,"2,140,945","178,412","154,750",49,7.6
Jul 2016,12,"2,391,500","199,292","205,250",58,8.2
Aug 2016,8,"2,918,500","364,812","320,000",63,8.6
Sep 2016,6,"929,100","154,850","162,450",68,9.5
Oct 2016,6,"1,245,800","207,633","187,450",62,8.5
Nov 2016,17,"1,464,632","86,155","49,244",55,6.7
Dec 2016,5,"845,400","169,080","207,500",58,7.2
Jan 2017,4,"333,900","83,475","83,500",72,9.0
Feb 2017,2,"300,000","150,000","150,000",75,9.8
Mar 2017,7,"1,286,000","183,714","195,000",64,8.2
Apr 2017,8,"1,246,000","155,750","105,250",65,8.3
May 2017,13,"2,167,500","166,731","150,000",69,8.3
Jun 2017,5,"865,400","173,080","175,000",72,9.3
Jul 2017,7,"1,431,600","204,514","121,500",72,9.8
Aug 2017,11,"3,941,290","358,299","195,000",67,8.8
Sep 2017,11,"1,922,300","174,755","175,000",74,9.2
Oct 2017,6,"1,317,000","219,500","217,000",83,10.4
Nov 2017,11,"1,983,500","180,318","163,000",80,10.7
Dec 2017,10,"2,552,523","255,252","163,012",67,8.5
Jan 2018,9,"1,316,693","146,299","145,500",59,7.1
Feb 2018,12,"2,487,775","207,315","192,500",58,6.3
Mar 2018,9,"5,523,358","613,706","80,000",59,6.3
Apr 2018,12,"1,286,110","107,176","99,278",71,7.3
May 2018,8,"1,349,000","168,625","154,250",82,8.9
Jun 2018,12,"2,468,800","205,733","184,000",85,8.6
Jul 2018,11,"2,803,402","254,855","195,000",66,6.5
Aug 2018,11,"1,841,900","167,445","158,000",61,6.0
Sep 2018,12,"1,917,650","159,804","141,250",51,5.0
Oct 2018,9,"1,764,000","196,000","190,000",59,5.6
Nov 2018,6,"854,000","142,333","150,000",57,5.7
