Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,70,"11,926,588","170,380","168,052",,
Feb 2011,88,"13,808,445","156,914","150,000",,
Mar 2011,131,"20,943,149","159,871","157,000",,
Apr 2011,133,"21,632,252","162,649","156,990",,
May 2011,159,"26,333,193","165,618","156,000",,
Jun 2011,185,"35,019,237","189,293","162,990",,
Jul 2011,155,"32,300,989","208,393","165,925",,
Aug 2011,128,"22,430,970","175,242","167,600",,
Sep 2011,168,"30,291,312","180,305","158,250",,
Oct 2011,123,"21,225,210","172,563","156,433",,
Nov 2011,116,"19,646,657","169,368","168,950",,
Dec 2011,105,"18,747,486","178,547","164,900",,
Jan 2012,84,"12,124,011","144,333","150,000",,
Feb 2012,91,"14,102,612","154,974","152,767",,
Mar 2012,129,"23,381,171","181,249","166,000",,
Apr 2012,127,"23,080,816","181,739","167,000",,
May 2012,144,"26,268,491","182,420","159,450",,
Jun 2012,154,"28,081,653","182,348","170,000",,
Jul 2012,165,"31,299,615","189,695","169,000",,
Aug 2012,208,"40,226,139","193,395","173,500",,
Sep 2012,159,"30,568,951","192,258","169,000",,
Oct 2012,133,"23,405,267","175,979","175,000",,
Nov 2012,121,"24,547,317","202,870","181,500",,
Dec 2012,123,"21,151,076","171,960","157,500",,
Jan 2013,103,"18,959,283","184,071","164,500",,
Feb 2013,99,"17,161,349","173,347","160,000",,
Mar 2013,139,"26,359,171","189,634","168,000",,
Apr 2013,150,"28,447,115","189,647","167,250",,
May 2013,218,"44,466,623","203,975","179,450",,
Jun 2013,192,"37,699,887","196,354","178,250",,
Jul 2013,191,"38,428,501","201,196","187,000",,
Aug 2013,189,"39,424,686","208,596","185,000",,
Sep 2013,171,"32,717,494","191,330","176,000",,
Oct 2013,176,"34,346,454","195,150","177,200",,
Nov 2013,137,"27,073,881","197,620","178,750",,
Dec 2013,158,"29,056,591","183,902","171,750",,
Jan 2014,129,"23,635,646","183,222","172,000",,
Feb 2014,116,"22,322,582","192,436","168,716",,
Mar 2014,173,"33,920,075","196,070","184,000",,
Apr 2014,203,"37,823,881","186,325","179,900",,
May 2014,211,"43,109,934","204,312","190,000",,
Jun 2014,241,"50,285,602","208,654","190,000",,
Jul 2014,210,"47,260,938","225,052","188,125",,
Aug 2014,242,"51,392,604","212,366","189,500",,
Sep 2014,182,"40,331,883","221,604","195,846",,
Oct 2014,199,"39,750,118","199,749","183,000",,
Nov 2014,145,"29,360,411","202,486","200,400",,
Dec 2014,214,"43,360,728","202,620","186,350",,
Jan 2015,137,"29,776,849","217,349","190,000",608,3.2
Feb 2015,177,"37,639,077","212,650","210,990",619,3.2
Mar 2015,204,"43,899,449","215,193","191,558",632,3.2
Apr 2015,234,"50,027,069","213,791","199,750",683,3.4
May 2015,263,"63,203,051","240,316","217,900",685,3.4
Jun 2015,253,"57,470,790","227,157","206,000",710,3.5
Jul 2015,283,"59,827,482","211,405","210,000",749,3.5
Aug 2015,249,"53,309,972","214,096","199,900",745,3.5
Sep 2015,230,"49,694,898","216,065","200,000",742,3.4
Oct 2015,207,"43,038,219","207,914","189,000",720,3.3
Nov 2015,164,"33,807,314","206,142","192,315",674,3.1
Dec 2015,216,"46,064,496","213,262","195,000",615,2.8
Jan 2016,133,"26,963,051","202,730","190,334",683,3.1
Feb 2016,169,"37,302,942","220,727","202,000",705,3.2
Mar 2016,227,"47,523,438","209,354","202,000",756,3.4
Apr 2016,243,"53,368,243","219,622","204,000",775,3.5
May 2016,291,"65,694,383","225,754","215,000",797,3.6
Jun 2016,287,"65,886,759","229,571","212,500",814,3.6
Jul 2016,260,"61,548,287","236,724","215,000",814,3.6
Aug 2016,319,"76,156,675","238,736","211,000",805,3.5
Sep 2016,285,"66,582,178","233,622","209,000",754,3.2
Oct 2016,208,"49,880,484","239,810","221,212",741,3.2
Nov 2016,221,"51,148,875","231,443","211,000",690,2.9
Dec 2016,225,"51,871,571","230,540","219,000",603,2.5
Jan 2017,174,"41,404,301","237,956","212,500",625,2.6
Feb 2017,204,"45,169,731","221,420","213,550",626,2.5
Mar 2017,248,"58,095,790","234,257","224,000",710,2.9
Apr 2017,212,"48,038,936","226,599","210,000",801,3.2
May 2017,319,"76,301,682","239,190","226,000",794,3.2
Jun 2017,345,"80,833,751","234,301","220,140",815,3.2
Jul 2017,283,"67,603,673","238,882","222,000",855,3.3
Aug 2017,283,"67,503,350","238,528","224,500",869,3.4
Sep 2017,243,"59,749,713","245,884","227,500",803,3.2
Oct 2017,256,"60,899,331","237,888","219,950",787,3.1
Nov 2017,202,"48,615,249","240,670","217,500",762,3.0
Dec 2017,214,"51,559,020","240,930","219,900",667,2.7
Jan 2018,171,"39,002,282","228,084","219,900",658,2.6
Feb 2018,172,"40,765,420","237,008","225,312",662,2.7
Mar 2018,226,"52,899,762","234,070","219,950",751,3.1
Apr 2018,269,"69,677,819","259,025","249,000",780,3.1
May 2018,290,"73,249,682","252,585","241,000",835,3.4
Jun 2018,336,"84,085,890","250,256","227,345",875,3.6
Jul 2018,338,"84,615,410","250,341","239,900",868,3.5
Aug 2018,329,"79,705,595","242,266","225,000",877,3.5
Sep 2018,214,"53,029,089","247,799","219,400",850,3.4
Oct 2018,205,"50,616,245","246,909","223,500",821,3.3
Nov 2018,259,"67,903,116","262,174","242,000",773,3.1
