Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,"1,982","366,083,483","184,704","123,250",,
Feb 2011,"2,216","466,244,991","210,399","135,000",,
Mar 2011,"3,137","655,257,800","208,880","135,000",,
Apr 2011,"3,201","633,020,887","197,757","135,000",,
May 2011,"3,277","700,183,040","213,666","140,000",,
Jun 2011,"3,732","832,003,156","222,938","145,000",,
Jul 2011,"3,311","721,657,496","217,958","142,500",,
Aug 2011,"3,606","755,451,578","209,498","143,530",,
Sep 2011,"3,056","621,498,695","203,370","140,720",,
Oct 2011,"2,728","556,164,921","203,873","135,455",,
Nov 2011,"2,601","531,355,842","204,289","137,000",,
Dec 2011,"3,047","664,718,968","218,155","145,000",,
Jan 2012,"2,071","379,769,855","183,375","124,995",,
Feb 2012,"2,550","502,593,618","197,096","135,400",,
Mar 2012,"3,310","756,689,832","228,607","148,625",,
Apr 2012,"3,471","762,015,541","219,538","147,000",,
May 2012,"3,995","951,986,082","238,294","155,500",,
Jun 2012,"4,174","970,130,351","232,422","154,353",,
Jul 2012,"4,092","909,621,557","222,293","153,875",,
Aug 2012,"4,264","945,111,898","221,649","151,872",,
Sep 2012,"3,308","722,637,072","218,451","149,795",,
Oct 2012,"3,496","778,951,072","222,812","149,945",,
Nov 2012,"3,334","770,898,888","231,223","154,900",,
Dec 2012,"3,424","830,218,118","242,470","156,988",,
Jan 2013,"2,625","513,815,684","195,739","138,000",,
Feb 2013,"2,981","663,216,022","222,481","151,835",,
Mar 2013,"3,870","917,159,024","236,992","160,000",,
Apr 2013,"4,302","1,104,446,768","256,729","169,738",,
May 2013,"4,848","1,244,042,781","256,609","169,925",,
Jun 2013,"4,584","1,205,418,142","262,962","175,000",,
Jul 2013,"4,926","1,264,565,202","256,712","171,250",,
Aug 2013,"4,755","1,228,152,507","258,287","172,000",,
Sep 2013,"3,989","983,344,440","246,514","168,000",,
Oct 2013,"3,959","912,335,610","230,446","162,900",,
Nov 2013,"3,399","834,711,703","245,576","169,900",,
Dec 2013,"3,887","1,038,895,102","267,274","175,000",,
Jan 2014,"2,671","635,934,184","238,088","160,000",,
Feb 2014,"3,194","779,873,169","244,168","169,900",,
Mar 2014,"3,888","1,018,535,040","261,969","177,871",,
Apr 2014,"4,144","1,133,373,880","273,498","179,000",,
May 2014,"4,647","1,307,795,503","281,428","185,000",,
Jun 2014,"4,815","1,364,975,716","283,484","191,500",,
Jul 2014,"4,901","1,350,439,553","275,544","188,000",,
Aug 2014,"4,694","1,260,661,552","268,569","185,000",,
Sep 2014,"4,160","1,121,993,060","269,710","179,096",,
Oct 2014,"4,353","1,136,514,587","261,088","179,945",,
Nov 2014,"3,350","902,923,996","269,530","180,000",,
Dec 2014,"4,251","1,209,850,931","284,604","190,000",,
Jan 2015,"2,586","665,483,117","257,341","172,995","9,231",2.3
Feb 2015,"2,906","756,281,599","260,248","180,000","9,475",2.3
Mar 2015,"3,887","1,087,898,495","279,881","190,000","9,470",2.3
Apr 2015,"4,141","1,145,776,854","276,691","189,990","9,845",2.4
May 2015,"4,258","1,246,310,660","292,699","203,000","10,394",2.6
Jun 2015,"4,897","1,459,319,255","298,003","200,000","10,953",2.7
Jul 2015,"5,056","1,477,068,563","292,142","200,000","12,238",3.0
Aug 2015,"4,566","1,280,433,268","280,428","196,000","12,432",3.1
Sep 2015,"4,263","1,150,904,551","269,975","190,000","12,501",3.1
Oct 2015,"3,759","1,013,152,610","269,527","185,000","12,399",3.1
Nov 2015,"2,981","771,465,753","258,794","184,900","12,066",3.0
Dec 2015,"4,025","1,124,357,471","279,343","195,959","11,340",2.9
Jan 2016,"2,647","671,473,104","253,673","184,900","11,721",3.0
Feb 2016,"3,052","811,180,301","265,786","189,000","12,316",3.1
Mar 2016,"3,981","1,080,312,071","271,367","195,000","12,918",3.3
Apr 2016,"4,080","1,139,042,877","279,177","200,000","13,084",3.3
May 2016,"4,606","1,325,836,721","287,850","206,000","13,347",3.3
Jun 2016,"4,850","1,463,162,877","301,683","215,000","14,076",3.5
Jul 2016,"4,523","1,321,865,677","292,254","215,000","14,295",3.6
Aug 2016,"4,960","1,430,454,395","288,398","208,908","14,283",3.6
Sep 2016,"4,191","1,158,911,493","276,524","204,000","14,272",3.6
Oct 2016,"3,740","1,038,501,170","277,674","200,000","13,867",3.5
Nov 2016,"3,645","1,031,833,116","283,082","206,000","13,412",3.3
Dec 2016,"4,262","1,276,081,976","299,409","211,950","12,353",3.1
Jan 2017,"2,647","708,149,077","267,529","190,000","12,319",3.0
Feb 2017,"3,190","890,935,658","279,290","203,250","12,676",3.1
Mar 2017,"4,498","1,286,564,342","286,030","209,900","13,673",3.3
Apr 2017,"4,220","1,237,510,794","293,249","210,000","14,339",3.5
May 2017,"4,984","1,529,177,302","306,817","215,000","15,072",3.6
Jun 2017,"5,097","1,559,200,988","305,906","220,000","15,969",3.8
Jul 2017,"4,551","1,359,709,969","298,772","211,800","16,711",4.0
Aug 2017,"3,713","1,082,512,863","291,547","210,000","16,086",4.0
Sep 2017,"4,210","1,233,229,007","292,929","214,000","14,447",3.6
Oct 2017,"4,007","1,141,240,279","284,812","210,000","13,936",3.4
Nov 2017,"3,897","1,110,843,423","285,051","210,000","13,522",3.3
Dec 2017,"4,256","1,261,861,099","296,490","215,000","11,859",2.9
Jan 2018,"2,768","751,047,305","271,332","200,250","11,998",2.9
Feb 2018,"3,341","949,185,563","284,102","213,000","12,052",2.9
Mar 2018,"4,199","1,224,138,044","291,531","219,900","12,892",3.1
Apr 2018,"4,287","1,320,630,025","308,055","220,000","13,846",3.4
May 2018,"4,932","1,506,897,212","305,535","225,000","15,030",3.7
Jun 2018,"5,302","1,684,019,220","317,620","225,330","15,317",3.7
Jul 2018,"4,824","1,477,955,179","306,375","225,000","15,810",3.8
Aug 2018,"4,998","1,483,257,153","296,770","219,999","15,919",3.7
Sep 2018,"3,929","1,157,595,564","294,629","214,300","15,795",3.7
Oct 2018,"4,078","1,222,111,800","299,684","216,000","15,653",3.7
