Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,67,"11,701,752","174,653","146,000",,
Feb 2011,110,"22,421,282","203,830","164,995",,
Mar 2011,165,"37,262,206","225,832","173,000",,
Apr 2011,147,"31,305,961","212,966","157,000",,
May 2011,209,"44,450,083","212,680","175,000",,
Jun 2011,206,"38,483,625","186,814","150,000",,
Jul 2011,186,"43,503,909","233,892","160,000",,
Aug 2011,198,"49,939,739","252,221","163,000",,
Sep 2011,152,"33,625,817","221,222","165,325",,
Oct 2011,117,"22,498,383","192,294","167,000",,
Nov 2011,114,"27,428,046","240,597","169,620",,
Dec 2011,127,"24,378,639","191,958","158,500",,
Jan 2012,99,"22,093,268","223,164","162,500",,
Feb 2012,111,"23,476,930","211,504","158,000",,
Mar 2012,163,"44,416,348","272,493","193,200",,
Apr 2012,183,"39,753,447","217,232","178,000",,
May 2012,221,"49,596,267","224,417","177,700",,
Jun 2012,252,"59,750,876","237,107","178,998",,
Jul 2012,214,"51,422,886","240,294","208,078",,
Aug 2012,222,"48,716,534","219,444","180,400",,
Sep 2012,185,"38,891,568","210,225","165,000",,
Oct 2012,202,"45,558,263","225,536","178,000",,
Nov 2012,147,"29,647,951","201,687","169,500",,
Dec 2012,174,"41,536,624","238,716","184,000",,
Jan 2013,148,"31,577,484","213,361","169,250",,
Feb 2013,149,"32,404,165","217,478","173,500",,
Mar 2013,217,"47,745,848","220,027","177,500",,
Apr 2013,234,"59,909,245","256,022","205,950",,
May 2013,297,"76,372,967","257,148","207,500",,
Jun 2013,259,"65,241,292","251,897","212,150",,
Jul 2013,301,"74,462,221","247,383","190,000",,
Aug 2013,327,"79,819,551","244,096","184,900",,
Sep 2013,258,"61,745,150","239,322","194,250",,
Oct 2013,228,"60,033,642","263,305","211,300",,
Nov 2013,178,"44,198,165","248,304","187,000",,
Dec 2013,201,"46,997,529","233,819","189,000",,
Jan 2014,147,"35,016,502","238,207","185,000",,
Feb 2014,184,"44,319,633","240,868","188,995",,
Mar 2014,237,"59,813,166","252,376","196,359",,
Apr 2014,266,"70,992,501","266,889","204,000",,
May 2014,342,"96,079,780","280,935","215,000",,
Jun 2014,329,"89,522,963","272,106","215,000",,
Jul 2014,335,"85,598,326","255,517","196,811",,
Aug 2014,279,"70,634,416","253,170","214,000",,
Sep 2014,246,"61,409,259","249,631","200,550",,
Oct 2014,247,"71,096,446","287,840","210,000",,
Nov 2014,194,"52,667,006","271,479","217,926",,
Dec 2014,283,"73,070,815","258,201","217,200",,
Jan 2015,193,"53,256,758","275,942","217,500",567,2.2
Feb 2015,200,"55,478,873","277,394","226,000",556,2.1
Mar 2015,267,"75,939,942","284,419","226,000",579,2.2
Apr 2015,288,"79,601,229","276,393","232,400",637,2.4
May 2015,304,"94,143,281","309,682","235,000",650,2.5
Jun 2015,337,"103,842,634","308,138","240,000",668,2.5
Jul 2015,373,"109,912,759","294,672","225,000",725,2.7
Aug 2015,306,"94,768,073","309,700","234,125",739,2.7
Sep 2015,261,"70,539,472","270,266","219,600",732,2.7
Oct 2015,252,"72,794,999","288,869","210,250",712,2.6
Nov 2015,181,"51,892,929","286,701","235,000",664,2.5
Dec 2015,268,"78,061,502","291,274","242,500",593,2.2
Jan 2016,161,"49,377,630","306,693","230,000",615,2.3
Feb 2016,200,"59,903,925","299,520","232,875",618,2.3
Mar 2016,278,"84,727,215","304,774","243,500",657,2.5
Apr 2016,317,"94,633,106","298,527","246,377",729,2.7
May 2016,322,"93,788,054","291,267","232,986",793,2.9
Jun 2016,375,"116,399,619","310,399","249,000",861,3.1
Jul 2016,322,"92,850,987","288,357","237,000",844,3.1
Aug 2016,353,"108,129,838","306,317","245,000",863,3.1
Sep 2016,293,"81,781,334","279,117","226,900",812,2.9
Oct 2016,248,"73,747,486","297,369","243,125",828,3.0
Nov 2016,235,"78,627,192","334,584","245,000",723,2.6
Dec 2016,287,"88,528,754","308,463","241,000",625,2.2
Jan 2017,179,"51,840,469","289,612","229,000",668,2.4
Feb 2017,201,"59,171,466","294,385","237,222",702,2.5
Mar 2017,296,"91,669,491","309,694","252,000",744,2.6
Apr 2017,312,"104,680,067","335,513","260,000",796,2.8
May 2017,337,"110,680,444","328,429","252,000",895,3.1
Jun 2017,405,"129,009,532","318,542","263,153",955,3.3
Jul 2017,351,"116,123,364","330,836","268,000","1,002",3.4
Aug 2017,353,"113,862,188","322,556","260,000","1,012",3.5
Sep 2017,276,"88,315,999","319,986","248,170",969,3.3
Oct 2017,265,"86,240,192","325,435","252,531",886,3.0
Nov 2017,267,"79,983,701","299,564","255,000",830,2.8
Dec 2017,308,"104,203,351","338,323","264,145",699,2.4
Jan 2018,196,"61,739,197","314,996","258,000",683,2.3
Feb 2018,233,"76,973,455","330,358","248,000",673,2.2
Mar 2018,305,"96,678,811","316,980","254,900",761,2.5
Apr 2018,289,"89,997,382","311,410","248,500",813,2.7
May 2018,368,"120,574,637","327,648","272,075",914,3.0
Jun 2018,365,"127,111,250","348,250","282,000",988,3.3
Jul 2018,351,"111,979,880","319,031","258,000","1,038",3.5
Aug 2018,365,"124,618,188","341,420","280,000","1,049",3.5
Sep 2018,301,"100,470,575","333,789","256,580","1,027",3.4
Oct 2018,284,"90,786,608","319,671","247,990","1,020",3.4
Nov 2018,275,"95,283,021","346,484","258,500",963,3.2
