Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,83,"11,582,360","139,547","125,000",,
Feb 2011,87,"12,130,741","139,434","115,000",,
Mar 2011,135,"18,099,344","134,069","108,500",,
Apr 2011,137,"17,083,296","124,696","111,500",,
May 2011,115,"14,091,849","122,538","109,000",,
Jun 2011,140,"18,769,807","134,070","113,450",,
Jul 2011,143,"20,797,212","145,435","123,500",,
Aug 2011,124,"17,824,391","143,745","127,750",,
Sep 2011,116,"14,268,367","123,003","115,000",,
Oct 2011,116,"15,072,936","129,939","116,825",,
Nov 2011,101,"12,399,731","122,770","100,000",,
Dec 2011,116,"16,029,370","138,184","107,500",,
Jan 2012,92,"10,684,621","116,137","92,500",,
Feb 2012,110,"13,454,962","122,318","105,000",,
Mar 2012,145,"19,681,734","135,736","115,000",,
Apr 2012,134,"17,565,127","131,083","114,000",,
May 2012,151,"21,477,796","142,237","125,000",,
Jun 2012,137,"19,809,544","144,595","116,000",,
Jul 2012,144,"18,832,060","130,778","104,500",,
Aug 2012,161,"21,850,767","135,719","120,250",,
Sep 2012,131,"16,935,651","129,280","106,000",,
Oct 2012,147,"20,178,866","137,271","121,200",,
Nov 2012,127,"17,162,757","135,140","122,500",,
Dec 2012,126,"20,450,476","162,305","134,000",,
Jan 2013,102,"14,335,110","140,540","110,000",,
Feb 2013,120,"16,464,212","137,202","117,500",,
Mar 2013,134,"18,300,233","136,569","100,943",,
Apr 2013,142,"19,985,237","140,741","120,000",,
May 2013,181,"26,137,792","144,408","126,950",,
Jun 2013,154,"21,064,963","136,785","121,000",,
Jul 2013,158,"23,127,229","146,375","121,000",,
Aug 2013,195,"29,991,653","153,803","129,900",,
Sep 2013,139,"21,753,405","156,499","136,000",,
Oct 2013,141,"18,285,188","129,682","107,000",,
Nov 2013,131,"17,700,779","135,120","114,900",,
Dec 2013,152,"21,207,526","139,523","114,950",,
Jan 2014,103,"13,714,840","133,154","120,000",,
Feb 2014,130,"17,671,216","135,932","126,000",,
Mar 2014,142,"20,128,831","141,752","119,000",,
Apr 2014,145,"19,447,518","134,121","118,000",,
May 2014,180,"25,072,480","139,292","118,325",,
Jun 2014,182,"25,641,723","140,889","124,000",,
Jul 2014,156,"25,350,748","162,505","139,316",,
Aug 2014,180,"25,999,446","144,441","132,000",,
Sep 2014,162,"25,034,789","154,536","122,750",,
Oct 2014,170,"26,833,558","157,844","130,000",,
Nov 2014,141,"19,027,374","134,946","118,500",,
Dec 2014,160,"23,469,684","146,686","118,500",,
Jan 2015,112,"15,331,741","136,891","100,000",969,6.3
Feb 2015,145,"20,338,300","140,264","116,000",921,5.9
Mar 2015,187,"28,111,125","150,327","129,500",919,5.7
Apr 2015,172,"25,809,635","150,056","123,450",928,5.7
May 2015,190,"28,087,693","147,830","128,950",924,5.7
Jun 2015,224,"36,578,093","163,295","138,625",922,5.5
Jul 2015,211,"35,817,250","169,750","136,500",930,5.4
Aug 2015,192,"28,751,266","149,746","129,900",922,5.4
Sep 2015,212,"33,332,671","157,230","129,900",887,5.0
Oct 2015,187,"25,934,062","138,685","126,750",837,4.7
Nov 2015,140,"22,288,936","159,207","130,500",808,4.5
Dec 2015,186,"29,080,632","156,347","129,950",693,3.9
Jan 2016,136,"17,685,241","130,039","117,500",662,3.6
Feb 2016,148,"22,006,432","148,692","121,900",650,3.6
Mar 2016,178,"27,349,352","153,648","132,750",672,3.7
Apr 2016,176,"26,515,183","150,654","128,950",638,3.5
May 2016,181,"28,768,666","158,943","132,000",618,3.4
Jun 2016,186,"32,583,490","175,180","147,000",665,3.7
Jul 2016,163,"25,189,714","154,538","134,900",711,4.1
Aug 2016,223,"36,035,503","161,594","135,000",681,3.9
Sep 2016,184,"27,821,908","151,206","125,500",694,4.0
Oct 2016,178,"29,324,681","164,745","140,500",693,4.0
Nov 2016,149,"22,130,624","148,528","135,000",657,3.8
Dec 2016,153,"23,601,569","154,259","124,900",624,3.6
Jan 2017,153,"23,581,315","154,126","128,000",645,3.7
Feb 2017,153,"22,672,345","148,185","135,000",622,3.6
Mar 2017,179,"25,589,796","142,960","121,500",641,3.7
Apr 2017,159,"26,871,661","169,004","132,500",665,3.9
May 2017,208,"34,315,547","164,979","149,000",694,4.0
Jun 2017,223,"37,707,033","169,090","144,950",708,4.0
Jul 2017,204,"35,782,690","175,405","150,000",734,4.1
Aug 2017,140,"22,670,564","161,933","148,168",752,4.3
Sep 2017,219,"38,906,153","177,654","150,000",626,3.5
Oct 2017,212,"34,042,354","160,577","134,450",588,3.3
Nov 2017,208,"32,282,553","155,205","130,000",576,3.1
Dec 2017,225,"34,981,546","155,474","137,500",490,2.6
Jan 2018,169,"24,976,584","147,790","126,000",484,2.5
Feb 2018,146,"23,706,834","162,376","129,000",462,2.4
Mar 2018,210,"32,812,837","156,252","139,000",436,2.3
Apr 2018,210,"34,535,983","164,457","148,250",470,2.4
May 2018,201,"33,485,984","166,597","145,000",536,2.7
Jun 2018,193,"32,677,544","169,314","142,500",552,2.8
Jul 2018,211,"35,619,570","168,813","150,000",572,2.9
Aug 2018,237,"43,436,121","183,275","155,500",615,3.0
Sep 2018,212,"33,573,413","158,365","146,000",615,3.0
Oct 2018,210,"33,400,050","159,048","141,450",644,3.2
Nov 2018,167,"29,633,132","177,444","163,628",630,3.2
