Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,86,"9,869,998","114,767","93,000",,
Feb 2011,78,"8,593,305","110,171","99,700",,
Mar 2011,130,"15,646,058","120,354","106,000",,
Apr 2011,122,"12,428,285","101,871","90,500",,
May 2011,120,"13,597,542","113,313","110,000",,
Jun 2011,144,"16,929,990","117,569","107,000",,
Jul 2011,113,"13,761,524","121,783","106,001",,
Aug 2011,145,"19,536,262","134,733","124,900",,
Sep 2011,113,"16,039,538","141,943","115,400",,
Oct 2011,99,"11,566,874","116,837","97,000",,
Nov 2011,93,"9,654,028","103,807","94,900",,
Dec 2011,117,"14,602,146","124,805","104,000",,
Jan 2012,77,"7,299,114","94,794","72,000",,
Feb 2012,90,"10,252,388","113,915","98,950",,
Mar 2012,143,"20,059,626","140,277","115,000",,
Apr 2012,113,"13,730,628","121,510","106,300",,
May 2012,155,"19,743,661","127,378","105,000",,
Jun 2012,146,"16,912,838","115,841","103,000",,
Jul 2012,135,"18,264,955","135,296","118,000",,
Aug 2012,148,"19,508,910","131,817","115,000",,
Sep 2012,133,"16,404,219","123,340","112,000",,
Oct 2012,141,"16,630,862","117,949","108,900",,
Nov 2012,117,"14,780,419","126,328","112,500",,
Dec 2012,123,"18,486,535","150,297","123,400",,
Jan 2013,103,"13,010,427","126,315","113,187",,
Feb 2013,119,"16,195,703","136,098","124,975",,
Mar 2013,162,"22,655,679","139,850","115,000",,
Apr 2013,160,"22,816,222","142,601","126,000",,
May 2013,156,"20,487,881","131,333","109,450",,
Jun 2013,142,"20,063,603","141,293","134,250",,
Jul 2013,150,"22,454,832","149,699","135,000",,
Aug 2013,201,"29,380,040","146,169","129,900",,
Sep 2013,147,"20,201,974","137,428","126,500",,
Oct 2013,141,"19,478,345","138,144","126,250",,
Nov 2013,133,"19,798,945","148,864","130,000",,
Dec 2013,151,"21,638,263","143,300","128,000",,
Jan 2014,124,"17,104,065","137,936","113,555",,
Feb 2014,137,"19,902,804","145,276","127,101",,
Mar 2014,154,"21,498,009","139,597","129,450",,
Apr 2014,181,"26,259,431","145,080","129,000",,
May 2014,207,"33,523,311","161,948","145,000",,
Jun 2014,203,"33,606,514","165,549","144,900",,
Jul 2014,195,"33,091,308","169,699","148,000",,
Aug 2014,219,"36,985,275","168,883","145,000",,
Sep 2014,173,"26,651,965","154,058","140,250",,
Oct 2014,150,"21,488,342","143,256","132,700",,
Nov 2014,135,"21,219,636","157,182","140,000",,
Dec 2014,163,"28,217,859","173,116","157,500",,
Jan 2015,108,"18,527,319","171,549","132,500",579,3.4
Feb 2015,132,"22,347,989","169,303","140,450",518,3.1
Mar 2015,175,"29,163,106","166,646","138,000",529,3.1
Apr 2015,173,"27,901,955","161,283","146,000",527,3.1
May 2015,208,"36,627,062","176,092","147,250",514,3.0
Jun 2015,220,"37,443,441","170,197","150,000",532,3.1
Jul 2015,229,"38,297,247","167,237","158,000",584,3.4
Aug 2015,218,"38,968,931","178,757","160,950",548,3.2
Sep 2015,202,"35,466,722","175,578","160,500",545,3.1
Oct 2015,190,"35,008,897","184,257","167,400",540,3.0
Nov 2015,142,"24,335,282","171,375","165,075",535,3.0
Dec 2015,178,"31,451,186","176,692","163,500",497,2.7
Jan 2016,130,"23,075,523","177,504","155,000",463,2.5
Feb 2016,165,"29,627,085","179,558","157,000",479,2.6
Mar 2016,218,"40,276,230","184,753","168,819",436,2.3
Apr 2016,222,"40,580,130","182,793","173,000",463,2.4
May 2016,231,"43,790,650","189,570","176,900",423,2.2
Jun 2016,244,"47,457,099","194,496","175,950",439,2.2
Jul 2016,236,"44,374,991","188,030","173,950",451,2.3
Aug 2016,240,"46,166,661","192,361","179,950",480,2.4
Sep 2016,219,"41,078,863","187,575","171,500",448,2.2
Oct 2016,191,"38,340,683","200,737","179,000",462,2.3
Nov 2016,188,"36,137,495","192,221","169,000",447,2.2
Dec 2016,175,"32,250,817","184,290","165,000",423,2.1
Jan 2017,125,"22,663,157","181,305","162,900",437,2.1
Feb 2017,165,"31,424,553","190,452","175,000",447,2.2
Mar 2017,218,"41,512,986","190,427","189,000",452,2.2
Apr 2017,214,"45,257,745","211,485","189,150",461,2.3
May 2017,275,"58,011,941","210,953","195,000",452,2.2
Jun 2017,246,"49,812,061","202,488","182,500",527,2.5
Jul 2017,228,"48,667,396","213,453","196,400",583,2.8
Aug 2017,278,"61,484,727","221,168","202,500",558,2.7
Sep 2017,235,"51,856,680","220,667","194,000",543,2.6
Oct 2017,218,"50,077,656","229,714","197,450",537,2.5
Nov 2017,193,"39,654,180","205,462","185,000",495,2.3
Dec 2017,226,"49,682,662","219,835","194,900",467,2.2
Jan 2018,145,"31,988,346","220,609","194,900",479,2.2
Feb 2018,173,"38,878,771","224,733","198,400",490,2.2
Mar 2018,210,"48,941,723","233,056","215,900",501,2.3
Apr 2018,256,"56,354,998","220,137","195,000",505,2.3
May 2018,291,"69,131,618","237,566","215,000",567,2.5
Jun 2018,250,"57,363,620","229,454","200,000",627,2.8
Jul 2018,262,"62,356,912","238,003","217,500",641,2.8
Aug 2018,284,"66,442,700","233,953","212,450",612,2.7
Sep 2018,236,"56,165,433","237,989","214,900",628,2.7
Oct 2018,196,"44,409,924","226,581","198,450",624,2.8
Nov 2018,231,"51,011,486","220,829","200,900",597,2.6
