Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,64,"7,678,956","119,984","119,500",,
Feb 2011,63,"8,518,050","135,207","112,900",,
Mar 2011,103,"10,763,651","104,501","105,000",,
Apr 2011,88,"10,078,144","114,524","110,000",,
May 2011,106,"14,386,278","135,720","137,000",,
Jun 2011,99,"11,837,098","119,567","103,150",,
Jul 2011,91,"11,755,710","129,184","124,000",,
Aug 2011,112,"14,731,966","131,535","121,500",,
Sep 2011,99,"12,709,550","128,379","123,000",,
Oct 2011,93,"10,594,077","113,915","105,000",,
Nov 2011,99,"10,500,464","106,065","102,094",,
Dec 2011,93,"12,555,732","135,008","120,106",,
Jan 2012,64,"7,605,352","118,834","110,490",,
Feb 2012,84,"8,979,540","106,899","101,500",,
Mar 2012,91,"13,371,268","146,937","129,500",,
Apr 2012,78,"9,964,392","127,749","127,495",,
May 2012,128,"18,899,628","147,653","122,445",,
Jun 2012,133,"17,207,887","129,383","125,200",,
Jul 2012,114,"16,215,531","142,242","134,750",,
Aug 2012,139,"20,310,959","146,122","141,195",,
Sep 2012,109,"15,038,821","137,971","134,900",,
Oct 2012,134,"19,514,238","145,629","129,950",,
Nov 2012,109,"14,684,659","134,722","133,000",,
Dec 2012,99,"14,592,631","147,400","133,900",,
Jan 2013,103,"14,294,553","138,782","135,000",,
Feb 2013,108,"15,603,797","144,480","133,398",,
Mar 2013,120,"17,797,211","148,310","136,495",,
Apr 2013,137,"20,744,951","151,423","134,000",,
May 2013,174,"27,381,008","157,362","141,000",,
Jun 2013,140,"21,517,427","153,696","133,150",,
Jul 2013,174,"29,069,575","167,067","155,250",,
Aug 2013,181,"30,200,060","166,851","158,500",,
Sep 2013,126,"20,060,522","159,210","147,000",,
Oct 2013,129,"20,358,586","157,818","144,001",,
Nov 2013,103,"14,914,926","144,805","140,000",,
Dec 2013,105,"16,727,192","159,307","141,500",,
Jan 2014,120,"18,477,371","153,978","150,500",,
Feb 2014,126,"20,864,948","165,595","149,950",,
Mar 2014,140,"23,414,539","167,247","155,000",,
Apr 2014,139,"21,008,880","151,143","140,000",,
May 2014,173,"30,364,995","175,520","151,000",,
Jun 2014,151,"24,568,923","162,708","155,000",,
Jul 2014,160,"25,869,142","161,682","145,500",,
Aug 2014,161,"28,729,305","178,443","165,000",,
Sep 2014,141,"24,161,780","171,360","160,000",,
Oct 2014,147,"24,116,167","164,056","152,000",,
Nov 2014,115,"19,347,216","168,237","160,000",,
Dec 2014,139,"24,603,006","177,000","166,000",,
Jan 2015,89,"15,499,621","174,153","158,170",443,3.2
Feb 2015,103,"16,592,183","161,089","158,370",419,3.0
Mar 2015,145,"26,183,564","180,576","171,900",411,3.0
Apr 2015,167,"32,356,555","193,752","178,000",443,3.1
May 2015,174,"31,843,757","183,010","175,000",464,3.3
Jun 2015,206,"47,659,309","231,356","173,900",467,3.2
Jul 2015,213,"43,380,390","203,664","183,400",493,3.3
Aug 2015,189,"37,662,367","199,272","185,000",470,3.1
Sep 2015,213,"40,884,438","191,946","174,900",463,2.9
Oct 2015,158,"31,743,041","200,905","174,900",449,2.8
Nov 2015,130,"25,380,600","195,235","177,500",437,2.7
Dec 2015,172,"33,861,318","196,868","180,100",394,2.4
Jan 2016,116,"20,747,611","178,859","173,000",410,2.5
Feb 2016,124,"23,391,843","188,644","176,950",415,2.5
Mar 2016,176,"33,533,030","190,529","184,000",418,2.5
Apr 2016,191,"35,983,413","188,395","179,995",419,2.4
May 2016,201,"43,892,763","218,372","197,500",434,2.5
Jun 2016,224,"46,981,373","209,738","183,900",439,2.5
Jul 2016,217,"44,541,410","205,260","195,900",509,2.9
Aug 2016,221,"45,033,268","203,770","193,962",462,2.6
Sep 2016,199,"41,125,796","206,662","197,000",437,2.5
Oct 2016,192,"42,135,284","219,455","196,695",427,2.4
Nov 2016,149,"32,432,321","217,667","198,500",415,2.3
Dec 2016,164,"34,374,178","209,599","200,995",401,2.2
Jan 2017,136,"28,235,376","207,613","197,572",404,2.2
Feb 2017,148,"32,440,106","219,190","201,495",446,2.4
Mar 2017,231,"50,762,750","219,752","204,900",516,2.7
Apr 2017,191,"43,824,263","229,446","222,500",491,2.6
May 2017,261,"58,200,813","222,992","213,464",540,2.8
Jun 2017,242,"56,133,234","231,956","219,995",577,2.9
Jul 2017,245,"57,321,027","233,963","222,000",539,2.7
Aug 2017,249,"58,515,539","235,002","225,000",553,2.8
Sep 2017,206,"49,523,545","240,406","225,675",579,2.9
Oct 2017,183,"41,880,746","228,857","219,500",603,3.0
Nov 2017,211,"49,102,909","232,715","225,179",565,2.7
Dec 2017,238,"55,340,260","232,522","225,000",509,2.4
Jan 2018,170,"37,287,363","219,337","215,000",506,2.4
Feb 2018,192,"43,615,023","227,162","217,000",491,2.3
Mar 2018,245,"57,798,379","235,912","220,990",525,2.4
Apr 2018,233,"53,991,728","231,724","223,000",576,2.6
May 2018,254,"60,543,868","238,362","229,000",611,2.8
Jun 2018,274,"65,647,955","239,591","233,500",666,3.0
Jul 2018,262,"63,455,726","242,197","227,975",697,3.1
Aug 2018,313,"76,262,756","243,651","235,091",657,2.8
Sep 2018,213,"53,263,413","250,063","226,500",655,2.8
Oct 2018,216,"48,249,416","223,377","217,500",681,2.9
Nov 2018,181,"44,357,832","245,071","234,450",679,2.9
