Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,30,"6,917,849","230,595","167,500",696,19.8
Feb 2011,25,"4,175,515","167,021","156,750",707,19.9
Mar 2011,28,"4,738,765","169,242","133,200",760,21.4
Apr 2011,37,"6,597,460","178,310","159,500",774,21.2
May 2011,45,"7,797,074","173,268","148,500",795,21.5
Jun 2011,44,"9,773,029","222,114","173,950",804,21.3
Jul 2011,31,"4,997,788","161,219","145,000",830,22.5
Aug 2011,36,"6,025,000","167,361","154,000",829,23.1
Sep 2011,42,"6,439,935","153,332","133,250",782,21.9
Oct 2011,33,"7,932,357","240,374","169,000",758,21.4
Nov 2011,38,"6,946,700","182,808","152,500",712,20.1
Dec 2011,29,"4,151,705","143,162","142,000",664,19.1
Jan 2012,29,"5,663,159","195,281","160,000",698,20.1
Feb 2012,38,"6,595,270","173,560","137,700",719,20.1
Mar 2012,42,"7,587,525","180,655","139,950",757,20.5
Apr 2012,43,"11,335,242","263,610","189,000",754,20.1
May 2012,63,"12,825,504","203,579","162,750",795,20.4
Jun 2012,39,"8,691,672","222,863","179,000",801,20.8
Jul 2012,64,"11,063,778","172,872","146,250",798,19.3
Aug 2012,64,"12,524,475","195,695","150,188",800,18.3
Sep 2012,40,"6,384,640","159,616","130,000",755,17.4
Oct 2012,42,"8,653,221","206,029","164,950",799,18.1
Nov 2012,44,"9,606,562","218,331","170,500",807,18.0
Dec 2012,34,"8,021,392","235,923","154,288",729,16.1
Jan 2013,37,"6,961,675","188,153","141,000",749,16.3
Feb 2013,38,"7,604,100","200,108","145,500",743,16.2
Mar 2013,51,"9,589,271","188,025","140,000",727,15.6
Apr 2013,61,"12,601,460","206,581","182,500",604,12.6
May 2013,59,"11,164,327","189,226","149,612",743,15.6
Jun 2013,53,"9,531,277","179,835","160,000",700,14.3
Jul 2013,62,"17,659,663","284,833","195,000",689,14.1
Aug 2013,83,"17,603,925","212,095","176,000",677,13.5
Sep 2013,56,"11,351,528","202,706","162,000",642,12.4
Oct 2013,53,"11,496,060","216,907","147,900",658,12.5
Nov 2013,48,"8,384,100","174,669","154,500",629,11.9
Dec 2013,38,"7,874,446","207,222","183,750",604,11.3
Jan 2014,38,"7,244,310","190,640","158,600",640,12.0
Feb 2014,38,"8,892,231","234,006","167,646",647,12.1
Mar 2014,59,"12,194,793","206,691","145,000",660,12.2
Apr 2014,78,"15,993,930","205,050","164,000",644,11.6
May 2014,58,"19,586,125","337,692","161,225",619,11.2
Jun 2014,59,"14,373,316","243,616","202,000",600,10.7
Jul 2014,66,"13,909,265","210,746","160,500",634,11.3
Aug 2014,73,"13,498,657","184,913","161,750",610,11.0
Sep 2014,57,"9,984,548","175,168","152,044",632,11.4
Oct 2014,66,"15,814,368","239,612","188,700",627,11.1
Nov 2014,47,"10,457,780","222,506","180,000",602,10.7
Dec 2014,58,"10,864,799","187,324","163,250",540,9.3
Jan 2015,56,"12,033,475","214,883","175,250",534,9.0
Feb 2015,57,"11,114,069","194,984","155,000",511,8.4
Mar 2015,78,"18,178,406","233,056","189,900",486,7.7
Apr 2015,78,"17,546,703","224,958","207,750",520,8.3
May 2015,76,"21,526,701","283,246","170,000",513,8.0
Jun 2015,84,"16,506,776","196,509","163,250",499,7.5
Jul 2015,77,"17,514,280","227,458","190,000",493,7.3
Aug 2015,73,"14,732,009","201,808","165,000",518,7.7
Sep 2015,77,"16,803,410","218,226","180,000",535,7.8
Oct 2015,67,"15,416,393","230,095","195,000",511,7.4
Nov 2015,64,"13,386,413","209,163","178,500",474,6.7
Dec 2015,64,"14,085,576","220,087","172,500",435,6.1
Jan 2016,60,"14,563,866","242,731","184,000",432,6.1
Feb 2016,61,"14,157,370","232,088","187,500",435,6.1
Mar 2016,60,"12,561,183","209,353","170,000",428,6.1
Apr 2016,56,"11,642,300","207,898","175,000",448,6.6
May 2016,74,"16,104,957","217,635","175,250",442,6.5
Jun 2016,72,"18,794,043","261,028","218,500",439,6.5
Jul 2016,83,"19,594,440","236,078","199,000",440,6.5
Aug 2016,77,"18,336,424","238,135","228,900",454,6.7
Sep 2016,92,"32,619,281","354,557","230,000",422,6.1
Oct 2016,69,"15,594,817","226,012","180,100",412,5.9
Nov 2016,65,"15,385,536","236,701","210,000",406,5.8
Dec 2016,55,"12,732,193","231,494","219,000",384,5.6
Jan 2017,46,"10,492,050","228,088","195,250",389,5.8
Feb 2017,59,"15,405,425","261,109","194,500",390,5.8
Mar 2017,80,"25,017,771","312,722","221,000",381,5.5
Apr 2017,84,"23,144,535","275,530","245,000",408,5.7
May 2017,66,"16,894,091","255,971","230,000",424,6.0
Jun 2017,93,"26,092,387","280,563","236,250",419,5.8
Jul 2017,68,"17,170,659","252,510","212,500",403,5.7
Aug 2017,83,"20,786,123","250,435","209,950",387,5.4
Sep 2017,68,"17,936,075","263,766","198,000",374,5.4
Oct 2017,68,"19,227,861","282,763","246,906",355,5.1
Nov 2017,58,"15,499,546","267,234","225,000",366,5.3
Dec 2017,79,"26,178,016","331,367","244,000",296,4.2
Jan 2018,42,"12,171,556","289,799","247,000",290,4.1
Feb 2018,47,"13,042,850","277,507","215,000",295,4.2
Mar 2018,59,"13,913,075","235,815","189,000",302,4.4
Apr 2018,62,"26,669,646","430,156","253,125",321,4.9
May 2018,77,"22,197,736","288,282","249,000",320,4.8
Jun 2018,62,"19,036,150","307,035","267,000",371,5.8
Jul 2018,66,"19,420,449","294,249","257,500",378,5.9
Aug 2018,80,"20,794,100","259,926","228,750",383,6.0
Sep 2018,57,"16,275,057","285,527","237,000",368,5.8
Oct 2018,70,"23,227,224","331,817","265,000",351,5.5
Nov 2018,51,"16,110,536","315,893","275,000",350,5.6
