Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,13,"757,521","58,271","48,875",311,17.0
Feb 2011,19,"2,202,500","115,921","91,000",292,15.0
Mar 2011,26,"3,011,950","115,844","94,750",305,14.7
Apr 2011,36,"3,480,499","96,681","89,000",321,14.3
May 2011,31,"3,492,628","112,665","85,000",343,15.0
Jun 2011,29,"4,066,200","140,214","113,000",349,14.9
Jul 2011,29,"2,376,586","81,951","60,000",333,13.5
Aug 2011,29,"3,234,925","111,549","81,500",345,13.9
Sep 2011,29,"3,299,900","113,790","109,000",348,13.9
Oct 2011,27,"2,964,910","109,811","97,500",355,13.8
Nov 2011,34,"3,634,533","106,898","85,250",357,13.1
Dec 2011,24,"2,059,335","85,806","71,450",357,13.1
Jan 2012,23,"1,981,856","86,168","75,000",301,10.8
Feb 2012,24,"2,787,800","116,158","97,500",335,11.8
Mar 2012,27,"3,130,150","115,931","115,900",352,12.4
Apr 2012,23,"2,516,491","109,413","95,000",360,13.1
May 2012,32,"3,505,672","109,552","93,000",366,13.3
Jun 2012,20,"1,864,647","93,232","95,000",361,13.5
Jul 2012,36,"3,425,000","95,139","79,500",343,12.5
Aug 2012,37,"4,316,200","116,654","115,000",346,12.4
Sep 2012,32,"3,052,500","95,391","89,750",343,12.1
Oct 2012,25,"2,862,769","114,511","58,000",353,12.6
Nov 2012,28,"3,517,530","125,626","116,420",345,12.5
Dec 2012,19,"3,003,300","158,068","130,000",319,11.7
Jan 2013,22,"2,234,781","101,581","92,000",345,12.7
Feb 2013,31,"4,142,250","133,621","118,000",342,12.4
Mar 2013,36,"4,184,679","116,241","98,000",332,11.7
Apr 2013,29,"3,068,900","105,824","70,000",329,11.4
May 2013,34,"3,182,576","93,605","78,625",325,11.2
Jun 2013,33,"4,684,724","141,961","105,000",347,11.5
Jul 2013,34,"4,345,525","127,810","101,850",357,11.9
Aug 2013,31,"3,580,117","115,488","94,800",359,12.2
Sep 2013,43,"4,365,564","101,525","89,000",361,11.9
Oct 2013,28,"3,460,165","123,577","104,900",365,11.9
