Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,12,"1,845,400","153,783","122,250",,
Feb 2011,11,"1,219,295","110,845","110,000",,
Mar 2011,11,"1,411,700","128,336","138,000",,
Apr 2011,14,"1,690,300","120,736","101,450",,
May 2011,15,"2,191,800","146,120","109,000",,
Jun 2011,16,"2,556,016","159,751","164,475",,
Jul 2011,8,"840,393","105,049","118,950",,
Aug 2011,18,"3,006,400","167,022","154,500",,
Sep 2011,14,"2,428,700","173,479","148,500",,
Oct 2011,18,"2,984,113","165,784","145,950",,
Nov 2011,7,"776,945","110,992","130,000",,
Dec 2011,12,"1,537,000","128,083","131,000",,
Jan 2012,16,"2,524,200","157,762","122,000",,
Feb 2012,15,"1,975,063","131,671","135,000",,
Mar 2012,13,"1,876,846","144,373","135,000",,
Apr 2012,15,"1,965,899","131,060","116,900",,
May 2012,23,"3,042,801","132,296","119,500",,
Jun 2012,15,"3,267,336","217,822","151,250",,
Jul 2012,11,"1,405,700","127,791","130,000",,
Aug 2012,29,"4,471,727","154,197","149,900",,
Sep 2012,11,"1,598,050","145,277","126,250",,
Oct 2012,9,"1,281,053","142,339","140,000",,
Nov 2012,16,"3,730,021","233,126","131,250",,
Dec 2012,19,"3,329,724","175,249","157,500",,
Jan 2013,10,"1,055,800","105,580","114,500",,
Feb 2013,16,"1,950,500","121,906","132,500",,
Mar 2013,16,"2,095,200","130,950","128,450",,
Apr 2013,12,"1,545,400","128,783","124,000",,
May 2013,20,"2,979,531","148,977","139,250",,
Jun 2013,24,"3,538,548","147,440","146,250",,
Jul 2013,19,"3,937,300","207,226","168,000",,
Aug 2013,23,"4,278,114","186,005","128,000",,
Sep 2013,14,"1,650,774","117,912","120,000",,
Oct 2013,24,"3,630,163","151,257","127,500",,
Nov 2013,12,"1,976,950","164,746","164,950",,
Dec 2013,9,"1,222,000","135,778","135,000",,
Jan 2014,16,"2,532,300","158,269","171,000",,
Feb 2014,18,"5,699,500","316,639","137,250",,
Mar 2014,15,"2,372,000","158,133","120,000",,
Apr 2014,27,"3,622,320","134,160","104,000",,
May 2014,31,"4,988,600","160,923","155,300",,
Jun 2014,24,"7,288,602","303,692","158,750",,
Jul 2014,28,"4,809,126","171,754","144,950",,
Aug 2014,20,"3,780,535","189,027","160,500",,
Sep 2014,17,"3,180,800","187,106","185,000",,
Oct 2014,37,"4,243,060","114,677","108,500",,
Nov 2014,16,"2,736,156","171,010","133,125",,
Dec 2014,23,"2,897,797","125,991","115,000",,
Jan 2015,15,"2,253,356","150,224","147,000",124,5.5
Feb 2015,18,"2,405,300","133,628","120,750",127,5.6
Mar 2015,14,"2,382,500","170,179","155,750",120,5.3
Apr 2015,21,"2,506,050","119,336","106,650",115,5.2
May 2015,22,"4,388,588","199,481","167,400",125,5.9
Jun 2015,20,"3,244,186","162,209","120,000",110,5.3
Jul 2015,30,"5,529,150","184,305","179,000",114,5.4
Aug 2015,28,"4,959,001","177,107","149,950",120,5.5
Sep 2015,26,"4,144,200","159,392","142,500",116,5.2
Oct 2015,15,"2,572,700","171,513","161,000",108,5.2
Nov 2015,18,"3,177,695","176,539","180,500",114,5.5
Dec 2015,19,"2,966,515","156,132","140,000",109,5.3
Jan 2016,11,"1,719,350","156,305","143,000",112,5.6
Feb 2016,13,"2,089,629","160,741","121,000",108,5.5
Mar 2016,18,"2,635,713","146,428","153,500",105,5.2
Apr 2016,33,"5,149,400","156,042","122,000",95,4.5
May 2016,32,"7,133,252","222,914","147,450",89,4.1
Jun 2016,25,"4,237,600","169,504","160,000",94,4.2
Jul 2016,38,"9,646,111","253,845","155,000",101,4.4
Aug 2016,41,"8,245,843","201,118","155,000",111,4.6
Sep 2016,21,"4,709,200","224,248","189,900",98,4.1
Oct 2016,33,"5,076,270","153,826","140,000",78,3.1
Nov 2016,30,"5,047,256","168,242","130,000",81,3.1
Dec 2016,22,"3,508,100","159,459","137,500",84,3.2
Jan 2017,18,"2,934,800","163,044","163,000",89,3.3
Feb 2017,19,"2,712,400","142,758","147,500",74,2.7
Mar 2017,35,"6,168,750","176,250","159,000",72,2.5
Apr 2017,20,"3,615,200","180,760","181,200",79,2.8
May 2017,20,"4,142,863","207,143","216,750",74,2.8
Jun 2017,28,"5,210,122","186,076","146,450",85,3.1
Jul 2017,31,"5,134,318","165,623","167,950",78,2.9
Aug 2017,29,"12,472,000","430,069","199,500",73,2.9
Sep 2017,22,"4,432,450","201,475","199,750",73,2.9
Oct 2017,28,"4,723,288","168,689","146,620",90,3.6
Nov 2017,19,"3,343,945","175,997","150,000",89,3.7
Dec 2017,16,"3,733,246","233,328","142,850",83,3.5
Jan 2018,14,"2,513,900","179,564","144,950",87,3.7
Feb 2018,28,"5,083,078","181,538","157,500",74,3.1
Mar 2018,26,"3,805,095","146,350","130,500",75,3.2
Apr 2018,28,"8,411,944","300,427","226,250",86,3.6
May 2018,25,"5,327,150","213,086","182,000",77,3.1
Jun 2018,39,"7,268,497","186,372","160,000",85,3.3
Jul 2018,40,"9,084,774","227,119","186,850",81,3.1
Aug 2018,36,"6,659,187","184,977","189,500",106,4.0
Sep 2018,26,"5,249,800","201,915","164,950",113,4.2
Oct 2018,23,"4,086,675","177,682","167,000",112,4.2
Nov 2018,27,"6,925,545","256,502","229,900",115,4.2
