Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,115,"16,147,772","140,415","112,500",,
Feb 2011,137,"16,668,587","121,669","108,500",,
Mar 2011,189,"27,701,309","146,568","119,900",,
Apr 2011,232,"29,888,831","128,831","111,700",,
May 2011,261,"37,082,582","142,079","115,000",,
Jun 2011,307,"42,113,657","137,178","117,500",,
Jul 2011,286,"40,455,378","141,452","116,500",,
Aug 2011,246,"40,281,059","163,744","124,500",,
Sep 2011,236,"34,815,984","147,525","124,750",,
Oct 2011,184,"25,669,400","139,508","114,925",,
Nov 2011,171,"25,247,963","147,649","125,000",,
Dec 2011,190,"28,620,779","150,636","123,608",,
Jan 2012,129,"19,589,128","151,854","116,000",,
Feb 2012,182,"25,349,774","139,284","115,738",,
Mar 2012,254,"34,284,075","134,977","119,975",,
Apr 2012,263,"35,439,102","134,749","111,000",,
May 2012,331,"47,630,436","143,899","121,000",,
Jun 2012,331,"52,031,993","157,196","125,000",,
Jul 2012,302,"43,033,895","142,496","120,000",,
Aug 2012,326,"47,333,541","145,195","118,500",,
Sep 2012,227,"34,111,118","150,269","120,000",,
Oct 2012,232,"33,478,538","144,304","123,500",,
Nov 2012,228,"34,360,560","150,704","126,750",,
Dec 2012,250,"36,093,261","144,373","119,950",,
Jan 2013,199,"28,383,856","142,632","115,000",,
Feb 2013,241,"38,605,143","160,187","125,000",,
Mar 2013,342,"50,299,853","147,076","123,000",,
Apr 2013,328,"47,957,065","146,211","120,000",,
May 2013,401,"59,590,977","148,606","127,000",,
Jun 2013,378,"56,990,092","150,767","125,750",,
Jul 2013,445,"67,293,225","151,221","127,370",,
Aug 2013,336,"51,473,641","153,195","127,319",,
Sep 2013,283,"45,652,914","161,318","133,500",,
Oct 2013,256,"39,751,921","155,281","128,250",,
Nov 2013,242,"36,424,671","150,515","128,500",,
Dec 2013,220,"33,347,447","151,579","129,700",,
Jan 2014,193,"30,766,657","159,413","124,900",,
Feb 2014,199,"29,480,518","148,143","127,000",,
Mar 2014,246,"37,821,097","153,744","125,250",,
Apr 2014,335,"55,676,339","166,198","132,600",,
May 2014,352,"55,561,896","157,846","129,350",,
Jun 2014,416,"67,742,711","162,843","138,500",,
Jul 2014,398,"67,264,863","169,007","135,000",,
Aug 2014,368,"55,983,940","152,130","127,000",,
Sep 2014,245,"39,396,823","160,803","140,000",,
Oct 2014,286,"44,378,214","155,169","132,000",,
Nov 2014,233,"37,798,953","162,227","127,300",,
Dec 2014,278,"43,222,262","155,476","128,750",,
Jan 2015,185,"30,678,646","165,831","132,500",712,2.4
Feb 2015,214,"35,888,865","167,705","132,750",746,2.5
Mar 2015,342,"52,923,531","154,747","135,000",731,2.4
Apr 2015,324,"52,275,341","161,344","135,000",716,2.4
May 2015,404,"70,045,585","173,380","142,500",764,2.5
Jun 2015,414,"68,513,885","165,492","139,250",807,2.6
Jul 2015,426,"68,971,737","161,905","137,750",865,2.8
Aug 2015,363,"59,761,921","164,633","143,000",889,2.9
Sep 2015,284,"48,472,711","170,679","139,700",941,3.0
Oct 2015,245,"41,155,060","167,980","145,000",929,3.0
Nov 2015,203,"37,276,010","183,626","139,150",869,2.8
Dec 2015,288,"48,576,882","168,670","139,950",776,2.5
Jan 2016,200,"32,814,712","164,074","147,750",805,2.6
Feb 2016,215,"35,148,462","163,481","135,750",780,2.5
Mar 2016,344,"58,802,490","170,937","145,250",765,2.5
Apr 2016,367,"64,531,465","175,835","155,000",768,2.5
May 2016,387,"67,323,187","173,962","154,150",793,2.5
Jun 2016,426,"76,958,339","180,653","149,000",831,2.7
Jul 2016,437,"79,504,213","181,932","150,500",872,2.8
Aug 2016,367,"65,954,707","179,713","161,000",885,2.8
Sep 2016,306,"54,661,796","178,633","149,425",862,2.7
Oct 2016,266,"48,889,713","183,796","159,450",879,2.8
Nov 2016,263,"44,538,791","169,349","152,500",819,2.5
Dec 2016,296,"52,444,593","177,178","145,000",757,2.3
Jan 2017,211,"33,529,947","158,910","136,500",786,2.4
Feb 2017,219,"36,936,075","168,658","143,000",741,2.3
Mar 2017,358,"64,300,337","179,610","149,750",764,2.3
Apr 2017,312,"55,516,639","177,938","163,755",733,2.3
May 2017,413,"74,386,572","180,113","155,700",812,2.5
Jun 2017,418,"79,889,506","191,123","166,960",901,2.8
Jul 2017,379,"69,155,628","182,469","156,000",933,2.9
Aug 2017,339,"62,671,573","184,872","150,000","1,023",3.2
Sep 2017,306,"54,091,703","176,770","153,000","1,022",3.2
Oct 2017,282,"53,607,000","190,096","153,500","1,002",3.2
Nov 2017,283,"51,705,673","182,706","155,300",980,3.1
Dec 2017,271,"46,583,036","171,893","155,000",936,3.0
Jan 2018,212,"37,836,291","178,473","159,975",934,3.0
Feb 2018,289,"51,591,670","178,518","162,500",922,2.9
Mar 2018,372,"68,046,315","182,920","157,200",913,2.8
Apr 2018,409,"81,658,283","199,654","165,500",956,2.9
May 2018,440,"85,811,266","195,026","163,750","1,013",3.0
Jun 2018,483,"98,495,652","203,925","165,000","1,125",3.3
Jul 2018,463,"93,522,664","201,993","171,900","1,115",3.2
Aug 2018,404,"79,165,307","195,954","169,950","1,169",3.3
Sep 2018,343,"72,765,304","212,144","175,000","1,108",3.1
Oct 2018,328,"70,065,541","213,614","165,000","1,113",3.1
Nov 2018,305,"66,270,476","217,280","170,000","1,120",3.1
