Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,96,"20,062,622","208,986","179,250",,
Feb 2011,125,"26,517,393","212,139","179,420",,
Mar 2011,162,"35,631,079","219,945","187,350",,
Apr 2011,136,"23,786,571","174,901","159,900",,
May 2011,192,"42,484,989","221,276","189,400",,
Jun 2011,167,"36,223,286","216,906","184,500",,
Jul 2011,156,"34,131,929","218,794","186,000",,
Aug 2011,210,"44,677,405","212,750","195,250",,
Sep 2011,173,"37,483,392","216,667","198,000",,
Oct 2011,136,"28,098,564","206,607","173,000",,
Nov 2011,129,"27,394,886","212,363","200,000",,
Dec 2011,143,"29,272,290","204,701","180,000",,
Jan 2012,113,"28,275,933","250,229","200,000",,
Feb 2012,168,"38,450,951","228,875","180,000",,
Mar 2012,162,"34,972,712","215,881","192,500",,
Apr 2012,159,"36,014,096","226,504","197,000",,
May 2012,192,"46,583,086","242,620","225,000",,
Jun 2012,182,"42,883,593","235,624","206,250",,
Jul 2012,167,"41,711,264","249,768","205,000",,
Aug 2012,194,"47,412,022","244,392","212,500",,
Sep 2012,178,"40,519,124","227,636","195,000",,
Oct 2012,173,"44,226,247","255,643","223,000",,
Nov 2012,154,"38,730,673","251,498","209,500",,
Dec 2012,170,"40,252,077","236,777","218,250",,
Jan 2013,112,"26,802,581","239,309","212,750",,
Feb 2013,137,"33,504,384","244,558","215,000",,
Mar 2013,167,"39,226,395","234,889","192,500",,
Apr 2013,175,"41,943,235","239,676","206,500",,
May 2013,181,"44,358,665","245,075","217,400",,
Jun 2013,182,"46,122,888","253,422","234,950",,
Jul 2013,201,"51,566,154","256,548","221,500",,
Aug 2013,182,"49,383,990","271,341","231,700",,
Sep 2013,165,"45,690,657","276,913","239,900",,
Oct 2013,173,"44,879,688","259,420","225,000",,
Nov 2013,144,"35,640,981","247,507","220,000",,
Dec 2013,143,"37,178,439","259,989","235,000",,
Jan 2014,135,"37,141,507","275,122","249,900",,
Feb 2014,140,"35,375,914","252,685","230,750",,
Mar 2014,177,"51,383,406","290,302","230,000",,
Apr 2014,186,"49,897,274","268,265","226,250",,
May 2014,191,"50,325,114","263,482","235,000",,
Jun 2014,235,"78,589,575","334,424","280,000",,
Jul 2014,242,"66,053,118","272,947","242,000",,
Aug 2014,208,"59,803,791","287,518","242,250",,
Sep 2014,192,"56,228,318","292,856","242,500",,
Oct 2014,214,"63,586,324","297,132","256,630",,
Nov 2014,170,"50,614,885","297,735","249,950",,
Dec 2014,175,"47,228,052","269,875","234,500",,
Jan 2015,102,"27,007,523","264,780","230,992",537,2.9
Feb 2015,92,"23,290,239","253,155","230,728",589,3.2
Mar 2015,154,"41,888,371","272,002","225,000",630,3.5
Apr 2015,148,"37,839,591","255,673","230,000",603,3.4
May 2015,225,"63,443,291","281,970","249,000",538,3.0
Jun 2015,235,"68,706,111","292,366","259,900",556,3.1
Jul 2015,248,"68,060,471","274,437","247,000",549,3.0
Aug 2015,195,"50,613,051","259,554","228,500",575,3.2
Sep 2015,188,"48,103,700","255,871","221,250",621,3.5
Oct 2015,145,"42,974,764","296,378","257,900",603,3.5
Nov 2015,119,"34,238,361","287,717","254,500",583,3.5
Dec 2015,163,"42,451,565","260,439","240,910",554,3.3
Jan 2016,101,"25,153,405","249,044","225,000",595,3.5
Feb 2016,117,"30,788,693","263,151","229,717",634,3.7
Mar 2016,178,"46,593,599","261,762","223,500",647,3.8
Apr 2016,153,"39,326,158","257,034","217,000",646,3.8
May 2016,187,"53,501,307","286,103","240,000",637,3.8
Jun 2016,244,"67,586,615","276,994","246,500",665,3.9
Jul 2016,197,"55,067,166","279,529","223,730",675,4.1
Aug 2016,199,"59,929,581","301,154","245,000",696,4.2
Sep 2016,188,"51,239,599","272,551","246,500",624,3.8
Oct 2016,157,"44,046,202","280,549","250,000",652,3.9
Nov 2016,162,"44,801,938","276,555","228,250",618,3.6
Dec 2016,177,"49,562,091","280,012","244,500",548,3.2
Jan 2017,174,"47,610,278","273,622","232,450",473,2.7
Feb 2017,188,"48,582,242","258,416","234,500",420,2.3
Mar 2017,260,"73,449,191","282,497","245,000",391,2.1
Apr 2017,238,"68,679,755","288,570","250,000",401,2.0
May 2017,230,"70,941,262","308,440","252,950",458,2.3
Jun 2017,276,"86,577,541","313,687","269,000",513,2.5
Jul 2017,240,"75,165,846","313,191","267,700",514,2.5
Aug 2017,245,"72,811,131","297,188","262,000",475,2.2
Sep 2017,224,"69,026,300","308,153","261,250",426,2.0
Oct 2017,255,"66,622,675","261,265","235,000",408,1.8
Nov 2017,194,"59,924,177","308,888","268,886",360,1.6
Dec 2017,215,"63,119,066","293,577","262,968",292,1.3
Jan 2018,164,"47,379,123","288,897","265,000",273,1.2
Feb 2018,198,"60,840,893","307,277","277,000",228,1.0
Mar 2018,229,"68,614,475","299,627","270,000",214,0.9
Apr 2018,239,"77,208,183","323,047","284,900",228,1.0
May 2018,247,"86,447,372","349,989","300,000",285,1.3
Jun 2018,265,"90,750,200","342,454","310,000",333,1.5
Jul 2018,245,"83,872,347","342,336","299,000",391,1.7
Aug 2018,270,"79,844,809","295,722","289,000",401,1.8
Sep 2018,251,"88,662,869","353,239","301,750",396,1.7
Oct 2018,254,"78,525,865","309,157","290,000",412,1.8
Nov 2018,225,"72,058,035","320,258","284,000",402,1.7
