Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,20,"3,920,150","196,008","135,000",224,8.0
Feb 2011,25,"3,081,800","123,272","111,000",226,8.0
Mar 2011,22,"3,499,195","159,054","131,450",259,9.1
Apr 2011,18,"2,660,300","147,794","131,750",270,10.0
May 2011,31,"3,659,283","118,041","98,333",253,9.4
Jun 2011,35,"4,964,650","141,847","135,000",268,9.9
Jul 2011,40,"6,041,070","151,027","138,500",282,10.1
Aug 2011,41,"5,870,450","143,182","138,000",292,10.7
Sep 2011,38,"5,041,066","132,660","112,500",277,9.7
Oct 2011,14,"1,712,500","122,321","120,500",253,9.2
Nov 2011,17,"2,812,600","165,447","144,500",254,9.5
Dec 2011,18,"2,203,300","122,406","124,500",226,8.5
Jan 2012,16,"2,375,200","148,450","151,000",216,8.2
Feb 2012,34,"4,899,658","144,108","127,325",218,8.1
Mar 2012,28,"4,570,250","163,223","151,450",210,7.6
Apr 2012,32,"4,080,850","127,527","126,500",215,7.5
May 2012,40,"5,421,960","135,549","115,000",226,7.7
Jun 2012,29,"4,324,740","149,129","120,000",228,7.9
Jul 2012,41,"6,807,332","166,032","156,500",227,7.8
Aug 2012,38,"5,748,400","151,274","157,000",240,8.3
Sep 2012,26,"3,839,400","147,669","149,750",238,8.6
Oct 2012,16,"2,606,500","162,906","139,500",243,8.7
Nov 2012,20,"2,979,850","148,992","137,325",248,8.8
Dec 2012,20,"3,106,250","155,312","150,500",236,8.3
Jan 2013,21,"3,146,500","149,833","128,000",247,8.6
Feb 2013,22,"3,230,703","146,850","127,200",262,9.4
Mar 2013,33,"5,478,140","166,004","148,500",274,9.7
Apr 2013,33,"5,862,436","177,650","140,000",263,9.3
May 2013,41,"6,159,000","150,220","130,000",274,9.7
Jun 2013,41,"6,056,075","147,709","137,500",274,9.3
Jul 2013,61,"8,933,785","146,455","134,500",272,8.8
Aug 2013,28,"3,652,140","130,434","112,000",265,8.8
Sep 2013,24,"3,154,200","131,425","116,500",262,8.7
Oct 2013,20,"2,465,910","123,296","100,000",263,8.7
Nov 2013,21,"2,355,570","112,170","103,000",253,8.3
Dec 2013,34,"5,871,050","172,678","160,750",240,7.6
Jan 2014,14,"2,204,780","157,484","111,500",261,8.4
Feb 2014,15,"2,540,400","169,360","156,000",262,8.6
Mar 2014,24,"3,393,705","141,404","139,000",276,9.3
Apr 2014,21,"3,210,500","152,881","128,900",265,9.2
May 2014,38,"4,446,885","117,023","104,000",273,9.6
Jun 2014,36,"5,969,362","165,816","126,250",281,10.0
Jul 2014,44,"6,832,550","155,285","159,950",281,10.6
Aug 2014,36,"6,419,575","178,322","150,750",292,10.7
Sep 2014,26,"3,860,190","148,469","151,950",299,10.9
Oct 2014,27,"4,607,300","170,641","166,500",323,11.5
Nov 2014,21,"3,148,460","149,927","136,500",303,10.8
Dec 2014,23,"3,422,600","148,809","153,000",271,10.0
Jan 2015,23,"3,594,650","156,289","139,900",255,9.2
Feb 2015,15,"3,068,300","204,553","192,500",261,9.4
Mar 2015,34,"7,251,817","213,289","149,750",245,8.5
Apr 2015,35,"4,350,940","124,313","112,000",251,8.4
May 2015,36,"5,943,825","165,106","149,500",259,8.7
