Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,149,"22,722,118","152,497","134,800",,
Feb 2011,155,"24,216,061","156,233","149,000",,
Mar 2011,230,"35,287,667","153,425","136,250",,
Apr 2011,239,"38,989,159","163,135","140,000",,
May 2011,226,"33,556,111","148,478","129,950",,
Jun 2011,288,"46,228,152","160,514","144,250",,
Jul 2011,265,"43,821,920","165,366","145,000",,
Aug 2011,318,"52,471,468","165,005","140,000",,
Sep 2011,248,"38,827,810","156,564","143,250",,
Oct 2011,223,"36,847,245","165,234","133,000",,
Nov 2011,220,"36,641,073","166,550","139,000",,
Dec 2011,244,"43,452,998","178,086","149,950",,
Jan 2012,166,"25,114,723","151,294","139,500",,
Feb 2012,232,"37,185,419","160,282","142,950",,
Mar 2012,271,"41,952,508","154,806","135,000",,
Apr 2012,279,"52,800,803","189,250","147,750",,
May 2012,317,"60,312,763","190,261","151,000",,
Jun 2012,347,"64,050,796","184,584","149,900",,
Jul 2012,281,"49,639,322","176,652","155,000",,
Aug 2012,371,"66,569,668","179,433","149,900",,
Sep 2012,285,"46,920,788","164,634","147,500",,
Oct 2012,265,"43,403,061","163,785","150,000",,
Nov 2012,282,"49,812,307","176,639","155,000",,
Dec 2012,261,"46,714,545","178,983","148,000",,
Jan 2013,209,"36,589,788","175,071","145,000",,
Feb 2013,232,"41,356,083","178,259","155,000",,
Mar 2013,310,"56,751,450","183,069","150,000",,
Apr 2013,344,"59,149,674","171,947","150,000",,
May 2013,391,"72,360,182","185,064","158,000",,
Jun 2013,368,"68,814,597","186,996","165,000",,
Jul 2013,411,"77,265,725","187,994","168,500",,
Aug 2013,356,"66,501,980","186,803","159,250",,
Sep 2013,309,"57,573,924","186,323","166,500",,
Oct 2013,309,"58,096,795","188,016","160,000",,
Nov 2013,268,"51,917,217","193,721","159,900",,
Dec 2013,290,"53,860,894","185,727","146,925",,
Jan 2014,211,"36,210,454","171,614","152,000",,
Feb 2014,271,"53,706,271","198,178","172,900",,
Mar 2014,323,"62,960,264","194,923","163,000",,
Apr 2014,338,"62,308,834","184,346","160,838",,
May 2014,406,"82,510,171","203,227","168,000",,
Jun 2014,401,"81,393,338","202,976","172,000",,
Jul 2014,416,"85,018,365","204,371","180,500",,
Aug 2014,360,"73,923,257","205,342","178,500",,
Sep 2014,356,"73,829,327","207,386","169,625",,
Oct 2014,341,"69,069,052","202,549","171,500",,
Nov 2014,258,"52,302,486","202,723","173,650",,
Dec 2014,303,"63,873,242","210,803","177,900",,
Jan 2015,187,"34,886,885","186,561","167,000","1,457",4.4
Feb 2015,256,"54,753,241","213,880","175,250","1,501",4.6
Mar 2015,329,"65,926,649","200,385","174,000","1,480",4.5
Apr 2015,363,"74,226,241","204,480","179,000","1,501",4.5
May 2015,348,"72,729,382","208,992","188,700","1,499",4.6
Jun 2015,416,"92,268,040","221,798","193,500","1,597",4.9
Jul 2015,417,"89,637,899","214,959","187,000","1,665",5.1
Aug 2015,364,"73,171,746","201,021","180,000","1,616",4.9
Sep 2015,381,"81,412,934","213,682","185,000","1,642",5.0
Oct 2015,329,"71,984,223","218,797","182,500","1,688",5.1
Nov 2015,270,"57,104,103","211,497","181,000","1,691",5.1
Dec 2015,332,"65,930,347","198,585","175,500","1,565",4.7
Jan 2016,231,"47,437,944","205,359","187,000","1,650",4.9
Feb 2016,305,"62,356,025","204,446","173,000","1,731",5.1
Mar 2016,340,"70,336,522","206,872","182,250","1,792",5.2
Apr 2016,370,"80,373,599","217,226","184,950","1,854",5.4
May 2016,413,"88,815,473","215,050","191,000","1,830",5.3
Jun 2016,434,"97,615,352","224,920","185,000","1,956",5.6
Jul 2016,380,"82,784,321","217,853","187,875","1,974",5.7
Aug 2016,367,"79,760,718","217,332","188,500","1,945",5.6
Sep 2016,389,"87,823,382","225,767","194,100","1,957",5.6
Oct 2016,285,"62,563,349","219,521","193,700","2,004",5.8
Nov 2016,272,"59,510,273","218,788","187,750","1,934",5.6
Dec 2016,287,"66,772,428","232,657","191,000","1,856",5.5
Jan 2017,220,"51,775,673","235,344","205,000","1,971",5.8
Feb 2017,275,"59,187,881","215,229","185,000","2,030",6.0
Mar 2017,343,"71,659,814","208,921","185,000","2,132",6.3
Apr 2017,338,"73,754,469","218,208","180,250","2,202",6.6
May 2017,438,"103,339,717","235,935","195,000","2,218",6.6
Jun 2017,453,"101,605,355","224,294","194,900","2,299",6.8
Jul 2017,345,"81,667,814","236,718","199,950","2,352",7.0
Aug 2017,319,"67,859,384","212,725","180,000","2,195",6.6
Sep 2017,314,"66,026,832","210,277","191,855","1,999",6.2
Oct 2017,328,"71,036,821","216,576","180,000","1,932",5.9
Nov 2017,261,"56,151,766","215,141","192,500","1,834",5.6
Dec 2017,314,"69,418,871","221,079","182,750","1,680",5.1
Jan 2018,241,"48,691,841","202,041","188,000","1,742",5.3
Feb 2018,281,"57,325,264","204,004","185,000","1,781",5.4
Mar 2018,401,"86,699,875","216,209","187,000","1,818",5.4
Apr 2018,391,"82,813,393","211,799","187,500","1,804",5.3
May 2018,448,"99,377,322","221,824","195,500","1,863",5.5
Jun 2018,473,"103,420,902","218,649","199,900","1,920",5.6
Jul 2018,394,"91,817,574","233,040","202,200","1,897",5.5
Aug 2018,479,"112,319,659","234,488","205,000","1,873",5.2
Sep 2018,313,"71,842,409","229,528","193,000","1,843",5.1
Oct 2018,372,"81,098,802","218,008","188,500","1,828",5.0
Nov 2018,320,"73,893,205","230,916","195,000","1,850",5.0
