Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,55,"8,167,590","148,502","140,000",,
Feb 2011,85,"15,060,268","177,180","176,000",,
Mar 2011,121,"19,872,100","164,232","145,000",,
Apr 2011,124,"20,983,584","169,222","151,502",,
May 2011,120,"23,147,469","192,896","154,556",,
Jun 2011,119,"21,925,818","184,251","162,000",,
Jul 2011,122,"22,852,462","187,315","160,474",,
Aug 2011,151,"28,814,399","190,824","169,500",,
Sep 2011,139,"26,047,542","187,392","164,000",,
Oct 2011,120,"21,640,273","180,336","155,595",,
Nov 2011,113,"21,194,362","187,561","172,500",,
Dec 2011,99,"17,856,725","180,371","165,000",,
Jan 2012,81,"14,739,403","181,968","165,000",,
Feb 2012,86,"13,946,267","162,166","145,000",,
Mar 2012,131,"22,960,956","175,274","145,000",,
Apr 2012,118,"21,939,675","185,929","171,200",,
May 2012,136,"27,213,834","200,102","174,200",,
Jun 2012,159,"29,804,073","187,447","174,000",,
Jul 2012,149,"27,718,307","186,029","163,000",,
Aug 2012,149,"32,090,849","215,375","180,000",,
Sep 2012,120,"22,792,675","189,939","166,000",,
Oct 2012,126,"22,683,388","180,027","157,225",,
Nov 2012,127,"26,899,055","211,804","187,500",,
Dec 2012,115,"25,782,068","224,192","193,000",,
Jan 2013,109,"20,459,414","187,701","165,000",,
Feb 2013,103,"22,681,013","220,204","175,000",,
Mar 2013,173,"33,434,435","193,263","179,900",,
Apr 2013,148,"30,265,672","204,498","186,250",,
May 2013,201,"41,956,961","208,741","200,000",,
Jun 2013,164,"34,916,380","212,905","189,000",,
Jul 2013,207,"45,679,223","220,673","193,500",,
Aug 2013,200,"40,521,124","202,606","186,925",,
Sep 2013,172,"34,926,551","203,061","170,000",,
Oct 2013,153,"33,398,296","218,290","185,900",,
Nov 2013,158,"31,074,976","196,677","174,950",,
Dec 2013,126,"27,898,369","221,416","172,616",,
Jan 2014,87,"18,753,851","215,562","164,500",,
Feb 2014,112,"23,166,951","206,848","198,700",,
Mar 2014,154,"31,756,513","206,211","189,500",,
Apr 2014,146,"32,488,636","222,525","193,775",,
May 2014,195,"42,616,332","218,545","195,000",,
Jun 2014,210,"48,681,703","231,818","206,000",,
Jul 2014,174,"40,986,171","235,553","213,000",,
Aug 2014,218,"52,076,712","238,884","213,650",,
Sep 2014,178,"37,948,174","213,192","190,500",,
Oct 2014,178,"43,657,558","245,267","207,000",,
Nov 2014,144,"35,241,961","244,736","217,000",,
Dec 2014,144,"29,786,790","206,853","183,250",,
Jan 2015,115,"26,516,713","230,580","190,000",705,4.3
Feb 2015,121,"25,108,820","207,511","191,500",685,4.2
Mar 2015,190,"46,644,110","245,495","224,448",666,4.0
Apr 2015,185,"43,011,931","232,497","199,500",705,4.1
May 2015,182,"46,023,110","252,874","218,450",724,4.3
Jun 2015,225,"57,003,900","253,351","225,000",769,4.5
Jul 2015,222,"57,455,687","258,809","237,750",813,4.6
Aug 2015,198,"51,671,954","260,969","229,000",763,4.4
Sep 2015,216,"67,596,280","312,946","230,000",802,4.5
Oct 2015,171,"39,006,076","228,106","200,000",750,4.3
Nov 2015,138,"32,483,613","235,388","200,000",766,4.4
Dec 2015,181,"42,950,802","237,297","223,000",696,3.9
Jan 2016,114,"26,664,819","233,902","204,000",699,3.9
Feb 2016,161,"41,994,736","260,837","222,000",712,3.9
Mar 2016,187,"45,875,974","245,326","222,000",787,4.3
Apr 2016,187,"46,441,559","248,351","220,575",820,4.5
May 2016,236,"63,086,294","267,315","245,000",774,4.2
Jun 2016,263,"65,739,125","249,959","229,900",817,4.3
Jul 2016,235,"60,718,870","258,378","232,000",817,4.3
Aug 2016,237,"60,645,661","255,889","225,000",836,4.3
Sep 2016,222,"56,285,030","253,536","239,750",831,4.3
Oct 2016,206,"52,778,870","256,208","234,250",787,4.0
Nov 2016,181,"45,277,875","250,154","218,500",794,4.0
Dec 2016,205,"54,571,090","266,200","234,900",682,3.4
Jan 2017,165,"44,020,357","266,790","235,000",673,3.2
Feb 2017,153,"41,642,204","272,171","247,000",696,3.4
Mar 2017,223,"56,227,375","252,141","235,000",780,3.7
Apr 2017,220,"63,039,749","286,544","255,000",779,3.7
May 2017,271,"77,239,156","285,015","272,000",862,4.0
Jun 2017,303,"83,330,976","275,020","260,000",864,4.0
Jul 2017,253,"73,947,215","292,281","282,200",881,4.0
Aug 2017,280,"81,120,420","289,716","273,950",864,3.9
Sep 2017,236,"69,532,375","294,629","280,000",856,3.8
Oct 2017,212,"63,670,841","300,334","270,000",851,3.8
Nov 2017,199,"56,160,616","282,214","249,205",816,3.6
Dec 2017,217,"61,797,796","284,782","284,000",696,3.1
Jan 2018,147,"41,124,796","279,761","265,000",717,3.2
Feb 2018,161,"46,009,009","285,770","262,380",705,3.1
Mar 2018,226,"65,639,394","290,440","270,000",754,3.3
Apr 2018,268,"84,855,529","316,625","278,000",790,3.4
May 2018,299,"95,693,588","320,045","295,000",804,3.4
Jun 2018,305,"100,088,007","328,157","305,325",843,3.6
Jul 2018,293,"88,262,448","301,237","279,900",826,3.5
Aug 2018,309,"98,746,864","319,569","294,900",804,3.4
Sep 2018,222,"73,135,225","329,438","280,000",755,3.2
Oct 2018,212,"66,795,718","315,074","293,400",717,3.0
Nov 2018,166,"46,867,306","282,333","265,000",706,3.0
