Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,75,"11,732,733","156,436","133,500",,
Feb 2011,98,"14,977,032","152,827","129,500",,
Mar 2011,143,"22,141,692","154,837","138,750",,
Apr 2011,137,"23,819,002","173,861","141,250",,
May 2011,152,"25,298,183","166,435","140,000",,
Jun 2011,183,"32,274,358","176,363","150,500",,
Jul 2011,175,"29,858,697","170,621","153,450",,
Aug 2011,173,"29,962,499","173,194","150,000",,
Sep 2011,127,"20,255,399","159,491","141,000",,
Oct 2011,138,"25,711,819","186,318","145,500",,
Nov 2011,122,"22,440,833","183,941","153,950",,
Dec 2011,129,"21,008,402","162,856","142,250",,
Jan 2012,84,"13,545,229","161,253","138,752",,
Feb 2012,93,"14,231,246","153,024","141,653",,
Mar 2012,156,"25,387,189","162,738","145,000",,
Apr 2012,155,"24,411,992","157,497","147,000",,
May 2012,160,"31,820,668","198,879","160,000",,
Jun 2012,199,"33,076,431","166,213","144,000",,
Jul 2012,178,"31,674,520","177,947","158,000",,
Aug 2012,202,"37,579,627","186,038","158,250",,
Sep 2012,163,"27,784,638","170,458","150,000",,
Oct 2012,159,"29,638,079","186,403","155,000",,
Nov 2012,146,"26,411,772","180,903","145,500",,
Dec 2012,124,"21,825,623","176,013","149,750",,
Jan 2013,118,"19,036,672","161,328","132,500",,
Feb 2013,115,"18,914,971","164,478","149,400",,
Mar 2013,154,"27,605,927","179,259","147,000",,
Apr 2013,214,"35,028,798","163,686","150,919",,
May 2013,205,"34,622,358","168,890","150,000",,
Jun 2013,182,"34,018,600","186,915","158,950",,
Jul 2013,213,"37,384,846","175,516","161,500",,
Aug 2013,195,"36,874,900","189,102","158,000",,
Sep 2013,178,"32,716,471","183,800","155,000",,
Oct 2013,162,"29,617,835","182,826","157,750",,
Nov 2013,127,"21,960,806","172,920","145,000",,
Dec 2013,178,"32,096,535","180,318","160,000",,
Jan 2014,108,"22,178,604","205,357","161,000",,
Feb 2014,144,"24,954,859","173,298","157,770",,
Mar 2014,155,"27,307,106","176,175","155,000",,
Apr 2014,157,"28,564,572","181,940","155,090",,
May 2014,188,"34,314,156","182,522","162,000",,
Jun 2014,232,"41,985,335","180,971","158,450",,
Jul 2014,201,"38,681,981","192,448","162,250",,
Aug 2014,189,"37,097,333","196,282","168,500",,
Sep 2014,173,"32,416,523","187,379","156,725",,
Oct 2014,174,"31,493,445","180,997","154,750",,
Nov 2014,145,"26,109,092","180,063","152,000",,
Dec 2014,149,"28,484,145","191,169","157,450",,
Jan 2015,117,"21,932,636","187,458","150,000",589,3.5
Feb 2015,114,"24,968,011","219,018","175,500",584,3.5
Mar 2015,216,"40,442,574","187,234","155,000",560,3.3
Apr 2015,211,"38,575,193","182,821","164,200",544,3.1
May 2015,239,"45,666,937","191,075","165,000",593,3.3
Jun 2015,225,"44,340,931","197,071","170,000",635,3.5
Jul 2015,227,"42,351,061","186,569","164,850",648,3.6
Aug 2015,214,"46,164,183","215,720","180,450",623,3.4
Sep 2015,185,"33,837,793","182,907","169,500",644,3.5
Oct 2015,185,"39,154,396","211,645","174,900",607,3.3
Nov 2015,146,"26,029,308","178,283","145,000",550,3.0
Dec 2015,166,"31,838,507","191,798","165,000",505,2.7
Jan 2016,115,"22,240,394","193,395","164,500",497,2.7
Feb 2016,156,"27,611,499","176,997","155,000",519,2.7
Mar 2016,209,"42,013,211","201,020","170,538",544,2.9
Apr 2016,220,"44,584,574","202,657","177,750",546,2.9
May 2016,228,"47,081,054","206,496","173,000",570,3.0
Jun 2016,229,"49,578,248","216,499","180,000",604,3.2
Jul 2016,214,"41,881,909","195,710","173,000",598,3.2
Aug 2016,238,"43,021,261","180,762","165,000",603,3.2
Sep 2016,217,"46,915,772","216,202","185,000",605,3.1
Oct 2016,167,"32,107,474","192,260","175,000",625,3.3
Nov 2016,139,"27,542,780","198,149","171,055",606,3.2
Dec 2016,159,"33,422,624","210,205","172,000",547,2.9
Jan 2017,121,"21,632,770","178,783","168,000",558,2.9
Feb 2017,148,"29,093,776","196,580","168,925",557,2.9
Mar 2017,189,"35,049,193","185,445","156,000",603,3.2
Apr 2017,163,"33,607,244","206,179","176,000",578,3.1
May 2017,242,"50,519,791","208,759","177,252",608,3.3
Jun 2017,216,"47,227,976","218,648","181,000",661,3.6
Jul 2017,216,"46,136,388","213,594","179,750",690,3.7
Aug 2017,193,"41,293,645","213,957","179,500",721,4.0
Sep 2017,194,"41,166,765","212,200","175,500",742,4.1
Oct 2017,181,"41,859,341","231,267","180,000",708,3.9
Nov 2017,147,"27,427,322","186,580","166,000",688,3.8
Dec 2017,165,"31,331,871","189,890","162,950",620,3.4
Jan 2018,100,"20,882,549","208,825","180,000",617,3.4
Feb 2018,133,"26,007,210","195,543","165,000",574,3.2
Mar 2018,183,"40,155,604","219,430","170,000",622,3.5
Apr 2018,197,"40,085,537","203,480","174,900",626,3.5
May 2018,228,"49,317,784","216,306","175,500",717,4.0
Jun 2018,239,"51,108,136","213,842","175,000",757,4.2
Jul 2018,206,"41,917,829","203,485","178,000",775,4.3
Aug 2018,237,"52,399,452","221,095","174,581",782,4.2
Sep 2018,180,"38,808,905","215,605","180,470",813,4.4
Oct 2018,191,"39,692,546","207,814","177,700",802,4.4
Nov 2018,159,"31,597,785","198,728","173,712",806,4.4
