Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,60,"15,113,514","251,892","182,500",,
Feb 2011,72,"16,569,848","230,137","178,400",,
Mar 2011,103,"21,430,586","208,064","174,500",,
Apr 2011,97,"19,082,043","196,722","166,240",,
May 2011,111,"23,601,841","212,629","185,900",,
Jun 2011,135,"31,453,013","232,985","175,000",,
Jul 2011,98,"22,333,820","227,896","177,000",,
Aug 2011,118,"27,254,267","230,968","170,250",,
Sep 2011,107,"21,081,602","197,024","172,400",,
Oct 2011,102,"21,111,701","206,977","161,750",,
Nov 2011,86,"18,400,048","213,954","176,500",,
Dec 2011,88,"20,260,422","230,232","187,450",,
Jan 2012,86,"18,454,228","214,584","161,500",,
Feb 2012,84,"15,553,772","185,164","157,000",,
Mar 2012,109,"24,977,635","229,153","182,990",,
Apr 2012,121,"25,415,860","210,048","178,000",,
May 2012,137,"33,633,844","245,503","200,000",,
Jun 2012,154,"33,913,539","220,218","179,950",,
Jul 2012,144,"29,617,819","205,679","181,000",,
Aug 2012,142,"30,656,762","215,893","180,000",,
Sep 2012,117,"27,742,717","237,117","172,000",,
Oct 2012,120,"24,984,434","208,204","181,000",,
Nov 2012,98,"22,850,179","233,165","189,000",,
Dec 2012,80,"17,321,785","216,522","178,000",,
Jan 2013,109,"22,260,287","204,223","170,000",,
Feb 2013,116,"26,440,176","227,933","181,250",,
Mar 2013,163,"36,230,157","222,271","190,000",,
Apr 2013,168,"40,124,293","238,835","202,250",,
May 2013,158,"37,625,321","238,135","193,275",,
Jun 2013,216,"55,940,719","258,985","218,500",,
Jul 2013,204,"51,166,412","250,816","200,000",,
Aug 2013,225,"54,391,472","241,740","199,900",,
Sep 2013,130,"31,304,219","240,802","195,750",,
Oct 2013,140,"33,877,634","241,983","201,000",,
Nov 2013,124,"28,578,994","230,476","194,225",,
Dec 2013,127,"29,287,879","230,613","200,000",,
Jan 2014,101,"20,771,197","205,655","179,900",,
Feb 2014,103,"24,563,295","238,479","209,000",,
Mar 2014,148,"36,061,617","243,660","211,598",,
Apr 2014,149,"37,930,695","254,568","208,000",,
May 2014,182,"46,418,411","255,046","223,063",,
Jun 2014,210,"52,456,671","249,794","219,750",,
Jul 2014,213,"52,857,130","248,156","208,000",,
Aug 2014,214,"51,854,568","242,311","213,628",,
Sep 2014,192,"48,331,961","251,729","215,000",,
Oct 2014,162,"44,439,233","274,316","220,000",,
Nov 2014,132,"35,784,103","271,092","214,006",,
Dec 2014,142,"35,492,533","249,947","211,900",,
Jan 2015,81,"20,881,674","257,798","200,000",410,2.6
Feb 2015,110,"30,296,184","275,420","218,950",426,2.6
Mar 2015,150,"41,466,481","276,443","233,125",441,2.7
Apr 2015,177,"45,982,199","259,786","234,990",468,2.9
May 2015,190,"55,725,864","293,294","250,000",479,2.9
Jun 2015,225,"60,430,024","268,578","239,000",481,2.9
Jul 2015,247,"68,872,917","278,838","239,999",486,2.9
Aug 2015,220,"61,453,532","279,334","231,400",482,2.9
Sep 2015,147,"41,640,704","283,270","238,000",510,3.1
Oct 2015,164,"43,320,147","264,147","218,500",477,2.9
Nov 2015,142,"40,887,121","287,937","252,500",458,2.8
Dec 2015,168,"46,684,255","277,882","249,850",385,2.3
Jan 2016,115,"30,779,588","267,649","231,000",377,2.2
Feb 2016,131,"36,573,638","279,188","221,090",404,2.3
Mar 2016,164,"43,993,333","268,252","245,000",452,2.6
Apr 2016,210,"61,914,056","294,829","260,500",427,2.4
May 2016,190,"54,995,251","289,449","263,950",480,2.7
Jun 2016,198,"60,461,473","305,361","260,500",511,2.9
Jul 2016,207,"61,327,580","296,269","250,000",529,3.1
Aug 2016,218,"67,275,062","308,601","268,250",502,2.9
Sep 2016,180,"56,099,115","311,662","250,955",477,2.7
Oct 2016,153,"48,226,446","315,206","250,000",511,3.0
Nov 2016,178,"54,073,500","303,784","260,116",476,2.7
Dec 2016,173,"52,365,664","302,692","259,000",405,2.3
Jan 2017,117,"35,095,261","299,959","282,000",431,2.4
Feb 2017,146,"42,310,533","289,798","266,500",432,2.4
Mar 2017,197,"66,231,948","336,203","277,500",477,2.6
Apr 2017,198,"61,569,433","310,957","270,000",468,2.6
May 2017,215,"68,294,908","317,651","280,500",545,3.0
Jun 2017,213,"69,555,467","326,551","290,000",615,3.4
Jul 2017,213,"73,040,026","342,911","280,250",587,3.2
Aug 2017,233,"69,208,004","297,030","265,000",601,3.3
Sep 2017,193,"63,533,195","329,188","300,000",577,3.1
Oct 2017,173,"57,147,744","330,334","285,000",564,3.0
Nov 2017,152,"51,269,090","337,297","288,875",519,2.8
Dec 2017,180,"57,379,611","318,776","281,834",441,2.4
Jan 2018,117,"35,158,876","300,503","271,000",467,2.5
Feb 2018,140,"44,031,524","314,511","289,500",463,2.5
Mar 2018,197,"62,354,767","316,522","284,500",523,2.8
Apr 2018,207,"67,042,988","323,879","290,000",537,2.9
May 2018,218,"72,070,204","330,597","292,000",634,3.4
Jun 2018,233,"82,229,943","352,918","295,000",703,3.7
Jul 2018,244,"85,460,088","350,246","296,475",723,3.8
Aug 2018,224,"72,781,802","324,919","300,178",735,3.9
Sep 2018,165,"51,551,380","312,433","275,232",714,3.8
Oct 2018,150,"46,050,065","307,000","267,500",691,3.7
Nov 2018,169,"62,702,177","371,019","299,500",657,3.5
