Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,86,"14,162,153","164,676","127,725",,
Feb 2011,119,"19,151,387","160,936","135,000",,
Mar 2011,147,"22,487,418","152,976","135,000",,
Apr 2011,176,"28,666,094","162,876","136,000",,
May 2011,167,"30,993,842","185,592","148,000",,
Jun 2011,225,"38,273,759","170,106","150,000",,
Jul 2011,184,"34,427,093","187,104","150,000",,
Aug 2011,169,"28,587,541","169,157","149,400",,
Sep 2011,177,"28,786,451","162,635","139,000",,
Oct 2011,143,"23,419,396","163,772","142,500",,
Nov 2011,140,"25,891,272","184,938","166,500",,
Dec 2011,135,"22,914,058","169,734","137,500",,
Jan 2012,101,"17,151,034","169,812","145,000",,
Feb 2012,150,"26,079,522","173,863","151,500",,
Mar 2012,175,"28,749,654","164,284","143,000",,
Apr 2012,164,"27,724,242","169,050","143,250",,
May 2012,197,"39,926,468","202,672","142,500",,
Jun 2012,181,"35,418,468","195,682","167,850",,
Jul 2012,225,"40,586,964","180,387","154,900",,
Aug 2012,193,"36,165,681","187,387","159,500",,
Sep 2012,198,"37,710,101","190,455","151,000",,
Oct 2012,185,"32,734,514","176,943","153,500",,
Nov 2012,138,"22,388,351","162,234","149,670",,
Dec 2012,152,"26,839,011","176,572","159,000",,
Jan 2013,144,"24,626,537","171,018","135,000",,
Feb 2013,157,"27,352,978","174,223","150,000",,
Mar 2013,196,"35,247,621","179,835","156,000",,
Apr 2013,207,"39,866,838","192,593","148,500",,
May 2013,226,"42,312,258","187,222","148,000",,
Jun 2013,228,"43,637,035","191,391","156,850",,
Jul 2013,244,"44,846,070","183,795","158,952",,
Aug 2013,226,"39,040,708","172,746","149,875",,
Sep 2013,198,"36,796,151","185,839","149,000",,
Oct 2013,169,"31,501,230","186,398","155,000",,
Nov 2013,165,"30,230,537","183,215","148,900",,
Dec 2013,135,"28,508,814","211,176","156,000",,
Jan 2014,140,"26,019,848","185,856","147,750",,
Feb 2014,145,"27,916,291","192,526","169,000",,
Mar 2014,170,"31,366,455","184,509","159,250",,
Apr 2014,202,"35,240,324","174,457","154,000",,
May 2014,225,"44,193,876","196,417","160,000",,
Jun 2014,255,"52,115,698","204,375","170,000",,
Jul 2014,212,"40,659,879","191,792","159,450",,
Aug 2014,203,"40,304,502","198,544","158,550",,
Sep 2014,222,"43,708,626","196,886","165,250",,
Oct 2014,209,"41,031,268","196,322","157,000",,
Nov 2014,186,"36,132,281","194,260","171,550",,
Dec 2014,208,"41,849,178","201,198","172,750",,
Jan 2015,140,"25,663,940","183,314","156,250",999,5.0
Feb 2015,142,"27,306,656","192,300","165,000","1,065",5.4
Mar 2015,225,"42,374,425","188,331","157,000","1,076",5.3
Apr 2015,205,"39,608,417","193,212","158,000","1,190",5.9
May 2015,235,"48,154,518","204,913","164,000","1,237",6.1
Jun 2015,272,"57,739,312","212,277","180,500","1,236",6.0
Jul 2015,285,"56,694,079","198,927","173,500","1,281",6.1
Aug 2015,288,"61,675,798","214,152","182,250","1,207",5.5
Sep 2015,217,"42,166,031","194,314","157,500","1,213",5.6
Oct 2015,217,"40,273,432","185,592","159,500","1,212",5.6
Nov 2015,167,"31,470,104","188,444","165,000","1,163",5.4
Dec 2015,210,"38,699,678","184,284","153,250","1,034",4.8
Jan 2016,153,"33,251,055","217,327","182,000","1,054",4.8
Feb 2016,160,"31,075,281","194,221","159,450","1,035",4.7
Mar 2016,201,"42,598,606","211,933","170,000","1,042",4.8
Apr 2016,224,"43,704,979","195,112","168,475","1,109",5.1
May 2016,257,"53,338,609","207,543","175,000","1,106",5.0
Jun 2016,295,"63,056,653","213,751","180,400","1,163",5.2
Jul 2016,256,"51,786,457","202,291","170,000","1,209",5.5
Aug 2016,304,"65,722,421","216,192","175,000","1,176",5.3
Sep 2016,261,"54,562,584","209,052","181,000","1,133",5.0
Oct 2016,237,"47,440,698","200,172","173,000","1,124",4.9
Nov 2016,183,"35,568,087","194,361","173,000","1,066",4.7
Dec 2016,192,"39,541,962","205,948","172,400",995,4.4
Jan 2017,153,"35,945,955","234,941","165,000","1,030",4.5
Feb 2017,192,"38,602,784","201,056","172,000","1,050",4.6
Mar 2017,273,"57,237,689","209,662","183,000","1,099",4.7
Apr 2017,236,"52,074,559","220,655","178,500","1,174",5.0
May 2017,278,"64,464,390","231,886","189,000","1,191",5.0
Jun 2017,308,"69,570,941","225,880","195,000","1,218",5.1
Jul 2017,260,"61,245,729","235,560","193,450","1,260",5.3
Aug 2017,315,"65,628,564","208,345","183,250","1,199",5.0
Sep 2017,238,"52,291,906","219,714","192,500","1,154",4.8
Oct 2017,226,"50,102,555","221,693","197,000","1,121",4.7
Nov 2017,235,"51,614,898","219,638","189,000","1,065",4.4
Dec 2017,211,"48,809,807","231,326","186,500",977,4.0
Jan 2018,154,"33,660,765","218,576","188,225",958,3.9
Feb 2018,164,"35,774,267","218,136","193,950",986,4.1
Mar 2018,222,"52,497,050","236,473","202,500","1,017",4.3
Apr 2018,278,"61,382,477","220,800","189,500","1,067",4.4
May 2018,264,"61,600,784","233,336","199,000","1,092",4.6
Jun 2018,273,"65,807,410","241,053","207,750","1,170",4.9
Jul 2018,323,"80,697,474","249,837","214,900","1,127",4.7
Aug 2018,289,"68,131,694","235,750","191,000","1,094",4.6
Sep 2018,227,"54,489,298","240,041","204,500","1,057",4.4
Oct 2018,246,"56,046,312","227,831","191,000","1,040",4.3
Nov 2018,219,"51,351,439","234,481","192,500",930,3.9
