Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,899,"148,895,263","165,623","130,000",,
Feb 2011,945,"154,063,910","163,031","127,300",,
Mar 2011,"1,427","236,740,897","165,901","127,000",,
Apr 2011,"1,586","264,744,995","166,926","124,436",,
May 2011,"1,728","308,630,441","178,606","133,375",,
Jun 2011,"1,893","342,992,466","181,190","136,555",,
Jul 2011,"1,617","283,730,291","175,467","133,087",,
Aug 2011,"1,797","336,608,217","187,317","140,000",,
Sep 2011,"1,578","282,329,613","178,916","133,000",,
Oct 2011,"1,345","229,517,040","170,645","132,688",,
Nov 2011,"1,286","226,128,651","175,839","132,750",,
Dec 2011,"1,351","233,957,627","173,174","133,900",,
Jan 2012,"1,049","171,506,018","163,495","130,000",,
Feb 2012,"1,238","212,688,494","171,800","130,054",,
Mar 2012,"1,596","276,276,733","173,106","139,900",,
Apr 2012,"1,732","314,252,505","181,439","140,000",,
May 2012,"1,987","381,464,898","191,980","144,000",,
Jun 2012,"2,084","417,825,484","200,492","149,750",,
Jul 2012,"1,995","400,622,454","200,813","149,000",,
Aug 2012,"2,151","419,567,135","195,057","145,000",,
Sep 2012,"1,586","290,669,146","183,272","142,788",,
Oct 2012,"1,697","307,952,313","181,469","139,900",,
Nov 2012,"1,474","256,327,278","173,899","136,186",,
Dec 2012,"1,545","290,339,704","187,922","139,000",,
Jan 2013,"1,249","205,363,582","164,422","129,500",,
Feb 2013,"1,492","267,253,715","179,124","143,194",,
Mar 2013,"2,030","389,271,785","191,760","149,000",,
Apr 2013,"2,152","416,871,220","193,713","150,500",,
May 2013,"2,571","532,568,144","207,144","155,000",,
Jun 2013,"2,357","495,314,445","210,146","157,750",,
Jul 2013,"2,489","528,142,456","212,191","160,500",,
Aug 2013,"2,406","490,905,052","204,034","158,000",,
Sep 2013,"1,956","388,361,922","198,549","153,000",,
Oct 2013,"1,968","382,905,962","194,566","150,000",,
Nov 2013,"1,624","313,138,575","192,819","150,000",,
Dec 2013,"1,784","353,365,003","198,075","153,870",,
Jan 2014,"1,290","243,459,132","188,728","144,635",,
Feb 2014,"1,482","291,821,210","196,910","150,278",,
Mar 2014,"1,901","382,263,712","201,086","155,643",,
Apr 2014,"2,176","454,959,458","209,081","160,346",,
May 2014,"2,549","550,696,842","216,044","164,768",,
Jun 2014,"2,578","586,991,101","227,692","170,000",,
Jul 2014,"2,558","559,701,696","218,804","169,250",,
Aug 2014,"2,478","553,993,344","223,565","169,900",,
