Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,60,"8,151,990","135,866","131,450",,
Feb 2011,75,"9,297,100","123,961","114,900",,
Mar 2011,115,"14,828,771","128,946","117,500",,
Apr 2011,119,"14,738,895","123,856","122,000",,
May 2011,128,"17,029,594","133,044","129,950",,
Jun 2011,142,"19,610,252","138,100","130,000",,
Jul 2011,126,"18,490,127","146,747","130,500",,
Aug 2011,122,"16,535,467","135,537","133,000",,
Sep 2011,97,"14,191,594","146,305","127,400",,
Oct 2011,102,"13,740,650","134,712","129,500",,
Nov 2011,92,"13,641,620","148,278","138,000",,
Dec 2011,94,"13,591,959","144,595","129,750",,
Jan 2012,69,"8,874,440","128,615","120,500",,
Feb 2012,105,"14,312,234","136,307","123,000",,
Mar 2012,137,"18,118,059","132,249","120,000",,
Apr 2012,132,"17,445,970","132,166","118,500",,
May 2012,150,"23,062,825","153,752","127,500",,
Jun 2012,135,"20,013,586","148,249","130,000",,
Jul 2012,147,"23,026,103","156,640","143,000",,
Aug 2012,160,"25,149,400","157,184","149,450",,
Sep 2012,108,"15,557,538","144,051","127,250",,
Oct 2012,123,"17,404,233","141,498","120,000",,
Nov 2012,104,"16,108,646","154,891","138,950",,
Dec 2012,113,"15,098,422","133,614","117,000",,
Jan 2013,80,"12,544,563","156,807","144,500",,
Feb 2013,101,"13,120,490","129,906","117,900",,
Mar 2013,117,"15,854,854","135,512","121,150",,
Apr 2013,157,"22,501,801","143,324","125,200",,
May 2013,171,"26,058,690","152,390","138,800",,
Jun 2013,157,"23,644,826","150,604","135,000",,
Jul 2013,170,"28,393,012","167,018","154,000",,
Aug 2013,176,"24,410,998","138,699","127,000",,
Sep 2013,147,"21,489,226","146,185","139,900",,
Oct 2013,124,"17,452,583","140,747","132,250",,
Nov 2013,95,"15,368,712","161,776","149,900",,
Dec 2013,99,"14,771,177","149,204","123,000",,
Jan 2014,81,"11,840,944","146,184","125,000",,
Feb 2014,100,"14,401,744","144,017","139,750",,
Mar 2014,119,"17,464,820","146,763","131,000",,
Apr 2014,138,"20,276,097","146,928","133,000",,
May 2014,153,"22,653,525","148,062","142,000",,
Jun 2014,182,"28,306,393","155,530","143,000",,
Jul 2014,170,"28,585,718","168,151","162,700",,
Aug 2014,146,"22,672,868","155,294","135,159",,
Sep 2014,156,"25,358,992","162,558","144,450",,
Oct 2014,128,"18,337,942","143,265","139,250",,
Nov 2014,119,"20,986,363","176,356","140,000",,
Dec 2014,132,"21,150,342","160,230","140,450",,
Jan 2015,122,"18,924,715","155,121","140,500",446,3.2
Feb 2015,105,"15,953,384","151,937","146,900",414,3.0
Mar 2015,151,"25,902,952","171,543","142,000",402,2.8
Apr 2015,147,"22,431,705","152,597","137,000",442,3.1
May 2015,154,"25,125,460","163,152","149,450",494,3.5
Jun 2015,183,"33,337,541","182,172","163,000",538,3.8
Jul 2015,191,"35,059,145","183,556","162,900",560,3.9
Aug 2015,174,"28,362,660","163,004","153,250",567,3.9
Sep 2015,165,"27,819,844","168,605","155,000",580,3.9
Oct 2015,156,"25,551,230","163,790","154,500",579,3.9
Nov 2015,109,"17,160,453","157,435","144,500",550,3.7
Dec 2015,152,"24,966,204","164,251","154,250",517,3.4
Jan 2016,112,"19,773,472","176,549","149,700",537,3.6
Feb 2016,119,"19,441,481","163,374","148,000",550,3.6
Mar 2016,170,"28,517,222","167,748","161,000",539,3.5
Apr 2016,172,"31,288,494","181,910","157,750",552,3.6
May 2016,190,"34,921,141","183,795","170,950",567,3.6
Jun 2016,211,"37,967,379","179,940","169,650",586,3.7
Jul 2016,160,"27,103,700","169,398","159,500",613,3.9
Aug 2016,190,"36,431,419","191,744","157,250",648,4.1
Sep 2016,157,"24,892,138","158,549","153,000",642,4.1
Oct 2016,153,"24,532,244","160,341","147,000",667,4.2
Nov 2016,126,"22,826,058","181,159","148,500",636,4.0
Dec 2016,182,"29,577,015","162,511","157,500",531,3.3
Jan 2017,110,"20,642,934","187,663","164,750",566,3.5
Feb 2017,130,"19,971,013","153,623","145,000",542,3.3
Mar 2017,203,"36,669,613","180,638","165,000",553,3.3
Apr 2017,168,"28,223,129","167,995","149,950",554,3.4
May 2017,201,"35,436,317","176,300","160,020",570,3.4
Jun 2017,220,"38,314,812","174,158","167,100",574,3.4
Jul 2017,201,"37,235,610","185,252","169,000",533,3.1
Aug 2017,211,"37,256,199","176,570","154,750",535,3.1
Sep 2017,174,"34,354,142","197,438","168,750",503,2.9
Oct 2017,171,"29,627,610","173,261","158,900",468,2.7
Nov 2017,164,"27,794,710","169,480","157,500",480,2.7
Dec 2017,135,"22,960,617","170,079","155,000",435,2.5
Jan 2018,107,"17,288,776","161,577","154,500",467,2.7
Feb 2018,115,"18,088,630","157,292","154,000",490,2.8
Mar 2018,188,"34,325,864","182,584","165,650",511,3.0
Apr 2018,191,"34,159,371","178,845","159,900",530,3.1
May 2018,225,"41,548,520","184,660","162,500",548,3.1
Jun 2018,222,"43,457,633","195,755","175,750",596,3.4
Jul 2018,212,"32,536,040","153,472","154,900",600,3.4
Aug 2018,222,"39,599,651","178,377","159,450",571,3.2
Sep 2018,161,"29,756,785","184,825","175,000",535,3.0
Oct 2018,166,"31,800,102","191,567","175,000",561,3.2
Nov 2018,128,"24,124,368","188,472","167,500",552,3.2
