Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,54,"7,674,600","142,122","135,450",,
Feb 2011,71,"10,164,665","143,164","120,600",,
Mar 2011,81,"13,056,597","161,193","137,000",,
Apr 2011,82,"11,491,550","140,141","116,700",,
May 2011,101,"13,810,700","136,740","128,000",,
Jun 2011,117,"17,738,632","151,612","128,500",,
Jul 2011,99,"13,955,492","140,965","132,000",,
Aug 2011,113,"15,803,860","139,857","119,900",,
Sep 2011,112,"16,002,063","142,876","126,450",,
Oct 2011,65,"7,912,478","121,730","115,000",,
Nov 2011,85,"12,401,863","145,904","128,500",,
Dec 2011,82,"11,530,250","140,613","123,250",,
Jan 2012,58,"7,388,549","127,389","109,950",,
Feb 2012,79,"11,327,885","143,391","128,500",,
Mar 2012,115,"14,682,073","127,670","112,000",,
Apr 2012,110,"16,795,293","152,684","125,400",,
May 2012,121,"18,182,929","150,272","129,900",,
Jun 2012,107,"16,228,935","151,672","123,750",,
Jul 2012,126,"19,809,491","157,218","143,500",,
Aug 2012,122,"18,585,690","152,342","141,925",,
Sep 2012,70,"10,120,030","144,572","120,000",,
Oct 2012,109,"17,951,878","164,696","139,900",,
Nov 2012,114,"17,760,917","155,798","147,975",,
Dec 2012,113,"15,569,372","137,782","129,000",,
Jan 2013,96,"14,219,913","148,124","120,750",,
Feb 2013,138,"20,408,519","147,888","131,250",,
Mar 2013,175,"27,403,600","156,592","136,000",,
Apr 2013,157,"24,068,176","153,300","144,000",,
May 2013,166,"28,595,550","172,262","155,000",,
Jun 2013,123,"22,362,794","181,811","152,000",,
Jul 2013,146,"24,312,055","166,521","144,750",,
Aug 2013,154,"25,306,785","164,330","151,900",,
Sep 2013,130,"20,220,335","155,541","138,250",,
Oct 2013,112,"18,917,900","168,910","145,500",,
Nov 2013,87,"12,642,137","145,312","135,000",,
Dec 2013,93,"16,613,549","178,640","160,000",,
Jan 2014,68,"10,965,350","161,255","138,500",,
Feb 2014,99,"17,736,722","179,159","145,500",,
Mar 2014,119,"19,464,061","163,564","150,000",,
Apr 2014,136,"21,780,974","160,154","152,000",,
May 2014,112,"18,513,049","165,295","155,000",,
Jun 2014,125,"22,416,950","179,336","168,000",,
Jul 2014,150,"28,380,780","189,205","167,950",,
Aug 2014,141,"25,261,280","179,158","166,000",,
Sep 2014,132,"26,513,285","200,858","170,000",,
Oct 2014,119,"21,309,930","179,075","159,500",,
Nov 2014,121,"21,723,726","179,535","158,000",,
Dec 2014,108,"20,001,037","185,195","170,950",,
Jan 2015,78,"12,965,044","166,219","136,750",413,3.4
Feb 2015,99,"16,008,089","161,698","149,000",413,3.4
Mar 2015,121,"20,792,892","171,842","150,000",393,3.3
Apr 2015,126,"23,533,579","186,774","165,450",432,3.6
May 2015,140,"25,641,495","183,154","163,750",450,3.7
Jun 2015,153,"29,241,717","191,122","179,000",463,3.7
Jul 2015,167,"32,611,780","195,280","175,250",466,3.7
Aug 2015,137,"24,243,702","176,961","163,500",463,3.7
Sep 2015,123,"21,908,565","178,118","161,000",464,3.7
Oct 2015,110,"20,078,000","182,527","156,200",479,3.9
Nov 2015,87,"14,838,754","170,560","157,500",493,4.1
Dec 2015,94,"17,637,877","187,637","165,000",486,4.1
Jan 2016,77,"13,264,061","172,261","155,000",490,4.1
Feb 2016,81,"14,331,849","176,936","165,000",500,4.2
Mar 2016,116,"21,888,319","188,692","180,900",512,4.4
Apr 2016,117,"19,749,800","168,802","148,000",506,4.3
May 2016,145,"27,202,223","187,602","160,000",508,4.3
Jun 2016,158,"31,608,589","200,054","177,000",485,4.1
Jul 2016,147,"26,007,498","176,922","164,000",512,4.4
Aug 2016,122,"21,326,818","174,810","153,188",559,4.9
Sep 2016,109,"18,957,980","173,926","155,000",533,4.7
Oct 2016,99,"17,847,751","180,280","160,000",528,4.7
Nov 2016,102,"20,513,030","201,108","180,250",497,4.4
Dec 2016,106,"20,486,965","193,273","167,700",477,4.2
Jan 2017,65,"12,112,452","186,345","155,000",456,4.0
Feb 2017,83,"14,384,105","173,302","147,500",461,4.0
Mar 2017,133,"26,695,230","200,716","159,450",459,4.0
Apr 2017,109,"22,520,831","206,613","172,000",478,4.2
May 2017,143,"26,750,116","187,064","160,000",514,4.5
Jun 2017,157,"30,228,685","192,539","178,000",514,4.5
Jul 2017,159,"29,378,397","184,770","170,000",538,4.7
Aug 2017,144,"26,768,849","185,895","166,450",505,4.3
Sep 2017,104,"19,358,045","186,135","164,950",503,4.3
Oct 2017,103,"18,986,585","184,336","161,000",502,4.3
Nov 2017,114,"20,610,630","180,795","165,665",493,4.2
Dec 2017,121,"21,655,781","178,973","165,000",447,3.7
Jan 2018,79,"14,189,700","179,616","173,000",444,3.7
Feb 2018,99,"18,389,550","185,753","167,000",419,3.4
Mar 2018,132,"23,202,141","175,774","158,550",411,3.4
Apr 2018,153,"27,177,815","177,633","158,500",387,3.1
May 2018,157,"30,850,864","196,502","178,000",370,2.9
Jun 2018,183,"36,128,846","197,425","179,000",395,3.1
Jul 2018,162,"33,495,019","206,759","185,250",415,3.2
Aug 2018,144,"30,451,855","211,471","183,400",422,3.3
Sep 2018,115,"21,263,919","184,904","162,000",424,3.3
Oct 2018,130,"23,254,556","178,881","160,000",435,3.3
Nov 2018,101,"19,932,819","197,355","181,050",406,3.1
