Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,587,"163,599,681","278,705","209,000",,
Feb 2011,686,"188,589,492","274,912","209,900",,
Mar 2011,993,"274,390,081","276,324","210,000",,
Apr 2011,"1,105","340,222,305","307,893","218,500",,
May 2011,"1,198","365,007,689","304,681","229,950",,
Jun 2011,"1,364","427,348,546","313,305","238,000",,
Jul 2011,"1,265","373,562,770","295,307","224,950",,
Aug 2011,"1,224","353,375,201","288,705","220,000",,
Sep 2011,997,"277,153,581","277,988","208,400",,
Oct 2011,862,"251,775,900","292,083","210,000",,
Nov 2011,814,"227,392,570","279,352","209,000",,
Dec 2011,968,"279,474,637","288,713","218,600",,
Jan 2012,653,"165,886,102","254,037","191,000",,
Feb 2012,812,"233,074,639","287,038","220,000",,
Mar 2012,"1,167","347,091,289","297,422","225,500",,
Apr 2012,"1,204","374,771,570","311,272","235,000",,
May 2012,"1,530","483,626,922","316,096","249,550",,
Jun 2012,"1,654","541,100,540","327,147","247,500",,
Jul 2012,"1,487","483,131,975","324,904","236,000",,
Aug 2012,"1,465","463,236,545","316,202","241,280",,
Sep 2012,"1,103","336,173,620","304,781","225,370",,
Oct 2012,"1,193","388,298,468","325,481","226,989",,
Nov 2012,"1,025","323,212,667","315,329","233,000",,
Dec 2012,"1,131","369,624,025","326,812","242,000",,
Jan 2013,838,"251,544,903","300,173","230,000",,
Feb 2013,972,"301,915,484","310,613","234,000",,
Mar 2013,"1,299","425,197,884","327,327","250,000",,
Apr 2013,"1,496","552,891,912","369,580","261,526",,
May 2013,"1,752","616,102,294","351,657","261,500",,
Jun 2013,"1,658","577,451,546","348,282","263,500",,
Jul 2013,"1,807","630,543,602","348,945","259,900",,
Aug 2013,"1,762","588,411,301","333,945","251,400",,
Sep 2013,"1,370","458,703,449","334,820","258,000",,
Oct 2013,"1,273","407,921,633","320,441","240,000",,
Nov 2013,"1,106","375,794,498","339,778","245,124",,
Dec 2013,"1,204","418,151,520","347,302","254,450",,
Jan 2014,842,"265,317,823","315,104","236,500",,
Feb 2014,"1,047","356,662,448","340,652","268,000",,
Mar 2014,"1,256","437,203,589","348,092","265,800",,
Apr 2014,"1,420","508,972,912","358,432","275,000",,
May 2014,"1,693","637,809,168","376,733","284,900",,
Jun 2014,"1,677","646,337,930","385,413","287,800",,
Jul 2014,"1,650","605,284,801","366,839","280,000",,
Aug 2014,"1,580","571,104,961","361,459","275,500",,
Sep 2014,"1,354","497,057,804","367,103","274,950",,
Oct 2014,"1,350","483,451,365","358,112","272,975",,
Nov 2014,"1,041","371,618,310","356,982","275,000",,
Dec 2014,"1,300","473,239,483","364,030","279,998",,
Jan 2015,810,"304,208,422","375,566","278,450","2,633",2.0
Feb 2015,"1,060","369,502,182","348,587","277,166","2,684",2.0
Mar 2015,"1,408","546,211,813","387,935","285,000","2,831",2.1
Apr 2015,"1,483","580,209,918","391,241","305,000","3,175",2.3
May 2015,"1,647","667,374,477","405,206","315,000","3,366",2.5
Jun 2015,"1,764","678,809,632","384,813","313,500","3,516",2.6
