Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,37,"6,662,585","180,070","143,000",340,6.8
Feb 2011,34,"4,654,750","136,904","114,125",356,7.3
Mar 2011,55,"7,186,036","130,655","119,900",348,7.0
Apr 2011,54,"8,222,969","152,277","127,500",324,6.6
May 2011,76,"10,484,179","137,950","118,200",311,6.3
Jun 2011,67,"10,216,591","152,486","139,000",297,5.8
Jul 2011,72,"11,155,230","154,934","137,750",281,5.4
Aug 2011,76,"11,390,247","149,872","138,000",257,4.7
Sep 2011,68,"11,351,254","166,930","132,500",263,4.7
Oct 2011,56,"8,487,589","151,564","117,000",246,4.3
Nov 2011,63,"9,533,605","151,327","135,000",234,4.0
Dec 2011,61,"9,488,412","155,548","132,500",224,3.7
Jan 2012,41,"6,066,294","147,958","133,500",204,3.4
Feb 2012,59,"10,713,319","181,582","146,000",204,3.3
Mar 2012,57,"7,808,776","136,996","127,000",204,3.3
Apr 2012,68,"11,006,183","161,856","150,250",232,3.6
May 2012,66,"11,662,495","176,704","152,500",263,4.2
Jun 2012,51,"10,023,564","196,540","170,000",268,4.4
Jul 2012,71,"11,865,842","167,125","141,350",268,4.4
Aug 2012,78,"14,148,005","181,385","159,450",257,4.2
Sep 2012,72,"12,699,539","176,382","152,000",253,4.1
Oct 2012,61,"11,706,216","191,905","169,900",261,4.2
Nov 2012,60,"10,407,935","173,466","154,000",249,4.0
Dec 2012,49,"10,009,450","204,274","163,000",214,3.5
Jan 2013,34,"4,824,172","141,887","154,950",224,3.7
Feb 2013,47,"8,038,804","171,038","134,000",238,4.0
Mar 2013,52,"9,462,289","181,967","156,250",233,3.9
Apr 2013,64,"9,732,218","152,066","146,500",237,4.0
May 2013,82,"12,926,159","157,636","144,200",233,3.9
Jun 2013,74,"13,191,853","178,268","158,150",233,3.8
Jul 2013,64,"10,974,519","171,477","155,500",246,4.0
Aug 2013,88,"14,491,502","164,676","161,000",246,4.0
Sep 2013,77,"12,999,483","168,824","153,000",259,4.1
Oct 2013,49,"8,185,511","167,051","153,500",251,4.1
Nov 2013,77,"14,542,420","188,863","169,000",239,3.8
Dec 2013,65,"12,520,943","192,630","162,000",245,3.8
Jan 2014,47,"8,199,368","174,455","150,000",222,3.4
Feb 2014,47,"8,358,568","177,842","166,000",226,3.5
Mar 2014,69,"11,061,315","160,309","140,400",215,3.2
Apr 2014,66,"11,336,849","171,770","153,750",227,3.4
May 2014,75,"14,081,365","187,752","175,000",231,3.5
Jun 2014,74,"14,410,119","194,731","165,500",237,3.6
Jul 2014,83,"15,223,332","183,414","176,000",246,3.6
Aug 2014,77,"13,590,085","176,495","175,000",256,3.8
Sep 2014,78,"13,488,844","172,934","161,500",245,3.6
Oct 2014,66,"12,614,659","191,131","183,750",226,3.3
Nov 2014,53,"9,431,686","177,956","160,000",239,3.6
Dec 2014,60,"12,072,393","201,207","175,944",231,3.5
Jan 2015,48,"8,872,908","184,852","174,900",220,3.3
