Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,68,"7,407,327","108,931","94,950",,
Feb 2011,74,"8,456,452","114,276","94,250",,
Mar 2011,103,"11,496,444","111,616","104,000",,
Apr 2011,102,"12,724,949","124,754","109,250",,
May 2011,113,"14,046,414","124,305","116,000",,
Jun 2011,96,"11,323,400","117,952","95,500",,
Jul 2011,110,"11,757,033","106,882","103,000",,
Aug 2011,122,"13,109,984","107,459","101,500",,
Sep 2011,110,"13,015,855","118,326","101,000",,
Oct 2011,86,"8,389,902","97,557","75,000",,
Nov 2011,82,"9,828,182","119,856","88,750",,
Dec 2011,70,"8,167,197","116,674","99,450",,
Jan 2012,96,"9,468,722","98,633","84,500",,
Feb 2012,87,"10,841,829","124,619","110,500",,
Mar 2012,106,"12,297,816","116,017","99,600",,
Apr 2012,120,"13,231,826","110,265","95,000",,
May 2012,93,"11,355,050","122,097","96,000",,
Jun 2012,120,"15,826,122","131,884","115,000",,
Jul 2012,113,"14,570,716","128,944","122,500",,
Aug 2012,108,"12,010,175","111,205","97,500",,
Sep 2012,88,"11,547,408","131,221","120,000",,
Oct 2012,90,"9,272,244","103,025","92,000",,
Nov 2012,103,"14,229,147","138,147","107,750",,
Dec 2012,106,"11,435,001","107,877","93,000",,
Jan 2013,68,"8,284,293","121,828","106,000",,
Feb 2013,81,"9,712,012","119,901","98,200",,
Mar 2013,136,"13,746,243","101,075","84,000",,
Apr 2013,107,"12,440,442","116,266","101,000",,
May 2013,118,"15,616,520","132,343","122,750",,
Jun 2013,103,"13,303,992","129,165","100,000",,
Jul 2013,122,"15,290,700","125,334","107,438",,
Aug 2013,139,"16,755,982","120,547","106,000",,
Sep 2013,103,"13,407,112","130,166","119,900",,
Oct 2013,93,"11,665,010","125,430","120,000",,
Nov 2013,76,"9,745,487","128,230","108,850",,
Dec 2013,82,"11,138,850","135,840","111,050",,
Jan 2014,79,"8,953,980","113,342","92,625",,
Feb 2014,82,"9,554,227","116,515","108,000",,
Mar 2014,89,"11,513,938","129,370","84,900",,
Apr 2014,121,"14,914,964","123,264","109,000",,
May 2014,128,"17,157,684","134,044","117,500",,
Jun 2014,108,"15,279,385","141,476","128,950",,
Jul 2014,128,"15,748,755","123,037","98,000",,
Aug 2014,118,"13,603,316","115,282","97,150",,
Sep 2014,93,"10,938,579","117,619","106,000",,
Oct 2014,107,"13,453,843","125,737","119,000",,
Nov 2014,83,"10,359,808","124,817","119,000",,
Dec 2014,101,"12,550,525","124,263","106,250",,
Jan 2015,55,"5,250,470","95,463","75,000",695,6.9
Feb 2015,97,"10,849,500","111,851","95,000",649,6.3
Mar 2015,121,"12,968,709","107,179","85,500",683,6.5
Apr 2015,119,"15,515,181","130,380","114,500",652,6.2
May 2015,149,"16,905,505","113,460","102,000",653,6.1
Jun 2015,123,"16,441,220","133,668","112,500",679,6.3
Jul 2015,142,"20,285,813","142,858","122,000",713,6.5
Aug 2015,134,"16,970,315","126,644","108,250",688,6.2
Sep 2015,142,"16,249,469","114,433","89,900",685,6.0
Oct 2015,120,"14,186,082","118,217","101,000",686,5.9
Nov 2015,96,"10,980,771","114,383","98,500",646,5.5
Dec 2015,123,"14,862,650","120,835","106,200",622,5.3
Jan 2016,78,"8,637,991","110,743","96,500",618,5.1
Feb 2016,109,"13,040,636","119,639","94,000",609,5.0
Mar 2016,123,"15,704,690","127,680","103,500",583,4.8
Apr 2016,141,"17,743,486","125,840","112,500",580,4.7
May 2016,140,"17,637,452","125,982","106,000",563,4.6
Jun 2016,155,"20,980,689","135,359","126,250",568,4.5
Jul 2016,166,"22,733,503","136,949","128,000",600,4.7
Aug 2016,165,"22,000,005","133,333","116,700",583,4.5
Sep 2016,126,"15,587,681","123,712","109,000",595,4.6
Oct 2016,121,"15,187,475","125,516","116,000",568,4.4
Nov 2016,117,"15,750,349","134,618","108,000",550,4.2
Dec 2016,106,"15,258,394","143,947","130,000",503,3.9
Jan 2017,97,"11,156,032","115,011","96,750",511,3.9
Feb 2017,103,"11,696,863","113,562","97,500",515,4.0
Mar 2017,128,"15,408,770","120,381","111,250",511,3.9
Apr 2017,140,"19,432,373","138,803","125,000",506,3.9
May 2017,151,"20,193,394","133,731","114,000",524,4.0
Jun 2017,161,"22,882,009","142,124","128,000",544,4.1
Jul 2017,131,"20,294,226","154,918","146,000",506,3.9
Aug 2017,157,"20,524,154","130,727","120,500",511,4.0
Sep 2017,120,"14,712,627","122,605","104,900",494,3.9
Oct 2017,115,"15,658,478","136,161","111,000",482,3.8
Nov 2017,137,"18,494,499","134,996","110,000",434,3.4
Dec 2017,114,"14,757,612","129,453","117,000",428,3.3
Jan 2018,95,"13,332,713","140,344","100,950",407,3.1
Feb 2018,125,"14,272,295","114,178","106,250",409,3.1
Mar 2018,142,"18,319,922","129,014","105,000",384,2.9
Apr 2018,157,"22,125,841","140,929","122,000",377,2.8
May 2018,179,"27,484,166","153,543","131,000",402,3.0
Jun 2018,172,"26,083,404","151,648","133,750",425,3.1
Jul 2018,162,"23,005,653","142,010","120,375",436,3.1
Aug 2018,130,"18,487,378","142,211","125,450",456,3.3
Sep 2018,118,"16,560,320","140,342","115,250",486,3.5
Oct 2018,127,"17,179,180","135,269","127,500",513,3.7
Nov 2018,133,"18,185,018","136,729","122,500",527,3.8
