Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,1,"31,400","31,400","31,400",,
Feb 2011,1,"6,300","6,300","6,300",,
Mar 2011,2,"48,000","24,000","24,000",,
Apr 2011,2,"140,700","70,350","70,350",,
May 2011,9,"654,684","72,743","58,300",,
Jun 2011,3,"209,763","69,921","66,500",,
Jul 2011,4,"422,200","105,550","92,900",,
Aug 2011,,,,,,
Sep 2011,2,"107,750","53,875","53,875",,
Oct 2011,4,"171,000","42,750","38,000",,
Nov 2011,3,"139,500","46,500","53,000",,
Dec 2011,3,"202,400","67,467","80,000",,
Jan 2012,2,"260,000","130,000","130,000",,
Feb 2012,1,"69,000","69,000","69,000",,
Mar 2012,6,"748,055","124,676","121,375",,
Apr 2012,3,"299,000","99,667","80,000",,
May 2012,4,"432,250","108,062","110,500",,
Jun 2012,1,"124,000","124,000","124,000",,
Jul 2012,2,"171,000","85,500","85,500",,
Aug 2012,2,"64,000","32,000","32,000",,
Sep 2012,,,,,,
Oct 2012,2,"86,000","43,000","43,000",,
Nov 2012,1,"27,500","27,500","27,500",,
Dec 2012,2,"228,000","114,000","114,000",,
Jan 2013,1,"64,900","64,900","64,900",,
Feb 2013,4,"383,002","95,750","104,051",,
Mar 2013,3,"181,500","60,500","80,000",,
Apr 2013,6,"806,770","134,462","65,935",,
May 2013,1,"160,000","160,000","160,000",,
Jun 2013,2,"309,000","154,500","154,500",,
Jul 2013,3,"207,600","69,200","74,000",,
Aug 2013,1,"132,000","132,000","132,000",,
Sep 2013,3,"475,500","158,500","145,000",,
Oct 2013,4,"430,100","107,525","105,950",,
Nov 2013,3,"208,681","69,560","73,681",,
Dec 2013,3,"448,000","149,333","138,000",,
Jan 2014,2,"173,000","86,500","86,500",,
Feb 2014,2,"105,000","52,500","52,500",,
Mar 2014,4,"437,200","109,300","105,000",,
Apr 2014,8,"846,840","105,855","84,500",,
May 2014,5,"240,775","48,155","32,375",,
Jun 2014,6,"618,500","103,083","96,250",,
Jul 2014,2,"267,000","133,500","133,500",,
Aug 2014,5,"386,900","77,380","80,000",,
Sep 2014,4,"509,000","127,250","125,000",,
Oct 2014,7,"580,087","82,870","80,000",,
Nov 2014,1,"35,000","35,000","35,000",,
Dec 2014,1,"40,000","40,000","40,000",,
Jan 2015,2,"409,900","204,950","204,950",59,15.1
Feb 2015,1,"150,000","150,000","150,000",61,15.9
Mar 2015,4,"380,410","95,102","112,250",56,14.6
Apr 2015,3,"204,565","68,188","69,900",52,15.2
May 2015,2,"209,000","104,500","104,500",55,17.4
Jun 2015,6,"656,700","109,450","85,000",58,18.3
Jul 2015,3,"232,505","77,502","68,500",47,14.5
Aug 2015,2,"174,096","87,048","87,048",51,17.0
Sep 2015,2,"182,000","91,000","91,000",52,18.4
Oct 2015,4,"605,900","151,475","187,200",49,19.0
Nov 2015,3,"140,500","46,833","27,500",41,14.9
Dec 2015,6,"605,900","100,983","77,500",36,11.4
Jan 2016,5,"453,650","90,730","86,000",42,12.3
Feb 2016,2,"242,000","121,000","121,000",40,11.4
Mar 2016,2,"227,850","113,925","113,925",43,12.9
Apr 2016,3,"526,500","175,500","186,000",41,12.3
May 2016,1,"186,000","186,000","186,000",40,12.3
Jun 2016,3,"455,575","151,858","100,000",42,14.0
Jul 2016,3,"404,000","134,667","159,000",42,14.0
Aug 2016,4,"355,000","88,750","79,750",44,13.9
Sep 2016,,,,,45,15.0
Oct 2016,1,"272,000","272,000","272,000",43,15.6
Nov 2016,3,"302,900","100,967","88,000",40,14.5
Dec 2016,1,"115,000","115,000","115,000",42,18.0
Jan 2017,5,"375,324","75,065","55,000",42,18.0
Feb 2017,1,"249,900","249,900","249,900",44,19.6
Mar 2017,1,"103,000","103,000","103,000",42,19.4
Apr 2017,3,"487,000","162,333","160,000",38,17.5
May 2017,2,"270,000","135,000","135,000",46,20.4
Jun 2017,4,"666,500","166,625","175,000",45,19.3
Jul 2017,3,"286,900","95,633","89,900",45,19.3
Aug 2017,2,"354,500","177,250","177,250",44,20.3
Sep 2017,3,"349,900","116,633","130,000",54,22.3
Oct 2017,1,"104,000","104,000","104,000",51,21.1
Nov 2017,,,,,50,23.1
Dec 2017,1,"156,000","156,000","156,000",51,23.5
Jan 2018,2,"424,000","212,000","212,000",50,26.1
Feb 2018,6,"941,000","156,833","122,500",48,20.6
Mar 2018,1,"200,000","200,000","200,000",47,20.1
Apr 2018,2,"196,000","98,000","98,000",44,19.6
May 2018,5,"570,400","114,080","130,000",44,17.6
Jun 2018,10,"1,446,900","144,690","163,500",50,16.7
Jul 2018,9,"767,400","85,267","50,000",47,13.4
Aug 2018,6,"945,000","157,500","166,500",48,12.5
Sep 2018,6,"648,500","108,083","83,000",44,10.8
Oct 2018,3,"208,500","69,500","66,500",45,10.6
Nov 2018,2,"107,600","53,800","53,800",42,9.5
