Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,352,"69,367,413","197,067","176,450",,
Feb 2011,345,"65,697,716","190,428","169,500",,
Mar 2011,537,"100,118,452","186,440","167,000",,
Apr 2011,504,"96,754,062","191,972","169,950",,
May 2011,575,"110,770,742","192,645","170,900",,
Jun 2011,690,"135,760,489","196,754","174,000",,
Jul 2011,616,"121,659,619","197,499","171,000",,
Aug 2011,696,"138,416,036","198,874","180,000",,
Sep 2011,557,"107,493,330","192,986","173,668",,
Oct 2011,469,"90,460,787","192,880","173,500",,
Nov 2011,447,"83,368,315","186,506","165,415",,
Dec 2011,509,"97,069,785","190,707","175,000",,
Jan 2012,369,"70,797,735","191,864","167,500",,
Feb 2012,411,"78,512,833","191,029","169,895",,
Mar 2012,642,"130,156,939","202,737","178,000",,
Apr 2012,673,"136,346,785","202,596","182,900",,
May 2012,757,"153,526,755","202,809","182,000",,
Jun 2012,831,"171,301,395","206,139","185,000",,
Jul 2012,781,"162,221,995","207,711","185,900",,
Aug 2012,816,"168,153,585","206,071","185,000",,
Sep 2012,612,"125,107,741","204,424","178,250",,
Oct 2012,674,"133,146,280","197,546","173,975",,
Nov 2012,572,"116,203,626","203,153","184,698",,
Dec 2012,614,"132,792,692","216,275","188,000",,
Jan 2013,471,"101,033,560","214,509","188,185",,
Feb 2013,570,"118,751,712","208,336","184,000",,
Mar 2013,743,"161,995,249","218,029","197,000",,
Apr 2013,821,"181,944,603","221,613","200,516",,
May 2013,"1,011","232,852,362","230,319","205,000",,
Jun 2013,916,"212,002,450","231,444","208,750",,
Jul 2013,"1,121","257,513,473","229,718","207,000",,
Aug 2013,"1,062","235,142,196","221,414","199,000",,
Sep 2013,808,"176,150,254","218,008","195,950",,
Oct 2013,714,"163,762,068","229,359","200,000",,
Nov 2013,644,"149,920,101","232,795","198,700",,
Dec 2013,695,"160,768,577","231,322","210,000",,
Jan 2014,470,"104,984,734","223,372","198,678",,
Feb 2014,566,"127,398,569","225,086","200,000",,
Mar 2014,791,"191,946,011","242,662","218,000",,
Apr 2014,837,"198,739,347","237,442","217,500",,
May 2014,982,"245,050,315","249,542","225,000",,
Jun 2014,"1,026","256,228,294","249,735","226,250",,
Jul 2014,"1,001","258,829,219","258,571","227,900",,
Aug 2014,935,"233,777,085","250,029","225,000",,
Sep 2014,874,"214,748,656","245,708","223,836",,
Oct 2014,795,"201,579,663","253,559","222,000",,
Nov 2014,654,"163,415,152","249,870","228,000",,
Dec 2014,751,"188,788,420","251,383","226,000",,
Jan 2015,536,"129,185,097","241,017","229,000","1,443",1.8
Feb 2015,602,"150,498,397","249,997","234,100","1,444",1.8
Mar 2015,824,"217,794,316","264,313","244,207","1,443",1.8
Apr 2015,898,"238,059,117","265,099","244,950","1,610",2.0
May 2015,900,"244,225,706","271,362","247,500","1,762",2.2
Jun 2015,"1,062","284,933,648","268,299","245,000","1,896",2.3
Jul 2015,"1,113","300,891,247","270,343","243,300","2,078",2.5
Aug 2015,"1,077","288,186,393","267,583","241,500","2,042",2.4
Sep 2015,931,"240,018,949","257,808","238,500","1,929",2.3
Oct 2015,874,"232,893,137","266,468","237,625","1,897",2.2
Nov 2015,629,"167,880,966","266,901","241,990","1,706",2.0
Dec 2015,801,"222,504,440","277,783","249,900","1,527",1.8
Jan 2016,542,"143,702,660","265,134","240,000","1,423",1.7
Feb 2016,646,"170,206,063","263,477","244,345","1,493",1.7
Mar 2016,873,"244,268,734","279,804","258,500","1,626",1.9
Apr 2016,851,"237,438,845","279,012","255,000","1,706",2.0
May 2016,"1,081","310,139,050","286,900","261,822","1,693",1.9
Jun 2016,"1,201","351,899,035","293,005","267,000","1,945",2.2
Jul 2016,"1,005","292,722,046","291,266","261,000","2,142",2.4
Aug 2016,"1,058","302,611,799","286,022","257,263","2,170",2.5
Sep 2016,915,"250,948,931","274,261","248,005","2,148",2.5
Oct 2016,779,"218,391,220","280,348","251,695","1,983",2.3
Nov 2016,737,"215,727,036","292,710","270,000","1,812",2.1
Dec 2016,854,"247,215,899","289,480","260,750","1,644",1.9
Jan 2017,545,"158,252,360","290,371","265,000","1,622",1.8
Feb 2017,642,"189,244,765","294,774","267,502","1,713",2.0
Mar 2017,889,"260,883,583","293,457","263,904","2,031",2.3
Apr 2017,888,"263,031,682","296,207","270,000","2,151",2.4
May 2017,"1,148","346,855,083","302,139","280,000","2,235",2.5
Jun 2017,"1,244","381,502,463","306,674","283,125","2,542",2.8
Jul 2017,"1,065","318,673,895","299,224","270,000","2,668",3.0
Aug 2017,"1,062","316,453,495","297,979","273,000","2,607",2.9
Sep 2017,934,"273,168,870","292,472","268,000","2,482",2.8
Oct 2017,815,"242,761,950","297,867","265,000","2,401",2.7
Nov 2017,810,"242,812,585","299,769","271,500","2,125",2.3
Dec 2017,"1,026","317,730,211","309,679","285,000","1,879",2.0
Jan 2018,598,"183,900,212","307,525","267,227","1,763",1.9
Feb 2018,742,"223,267,831","300,900","270,000","1,796",1.9
Mar 2018,947,"289,018,474","305,194","275,096","1,997",2.1
Apr 2018,946,"296,980,640","313,933","282,000","2,154",2.3
May 2018,"1,173","379,241,938","323,309","297,000","2,413",2.5
Jun 2018,"1,179","380,853,458","323,031","294,000","2,603",2.8
Jul 2018,"1,081","330,471,447","305,709","278,900","2,612",2.8
Aug 2018,"1,087","343,553,281","316,056","290,000","2,850",3.0
Sep 2018,814,"251,014,748","308,372","272,000","2,820",3.0
Oct 2018,814,"250,181,728","307,349","278,010","2,716",2.9
Nov 2018,841,"253,697,574","301,662","276,055","2,559",2.7
